,link,title,description
0,/news/2020-04-08/jobkeeper-coronavirus-legislation-passes-parliament/12132458,Massive JobKeeper package passes Parliament after Labor amendments fail,The Government's $130 billion package to keep people employed during the coronavirus pandemic passes the Senate after Labor's attempts to broaden its reach fail.
1,/news/2020-04-08/coronavirus-live-updates-covid-19-latest-news-australia-deaths/12131024,Live: Frydenberg lauds 'biggest economic lifeline' in Australia's history but 1.1 million casuals miss out,Federal Treasurer Josh Frydenberg says the 1.1 million casual workers who will miss out on the JobKeeper payments will still have the safety net of the JobSeeker coronavirus supplement to fall back on. Follow live. Follow live.
2,/news/2020-04-08/coronavirus-data-to-dictate-next-stage-of-australian-response/12132516,Experts set to plan Australia's 'way out' of coronavirus crisis within weeks,"As the country enters its fourth week of physical-distancing measures — resulting in a gradual flattening of the curve — health experts begin contemplating the ""next phase"" of Australia's response to the coronavirus pandemic."
3,/news/2020-03-17/coronavirus-cases-data-reveals-how-covid-19-spreads-in-australia/12060704,Charting the coronavirus spread: Growth rate of new cases shows signs of slowdown,Latest figures show that the growth rate of total confirmed COVID-19 cases has fallen significantly from a peak in mid-March.
4,/news/2020-04-08/coronavirus-abf-reveal-late-night-phone-call-about-ruby-princess/12134870,Border Force received concerned phone call hours before Ruby Princess was due to dock,The Australian Border Force confirms it received a phone call from the NSW Port Authority over fears for the health of passengers on the Ruby Princess hours before the cruise ship docked in Sydney.
5,/news/2020-04-08/coronavirus-masks-greg-hunt-press-conference/12133106,Here's what we learned from the Health Minister's latest press conference,"Tens of millions of medical masks have entered Australia in recent days, testing for healthcare workers will be expanded, and Australians are being reminded not to neglect their health amid the coronavirus crisis."
6,/news/2020-04-08/wuhan-flight-lands-sydney-medical-equipment-coronavirus-covid19/12135016,Wuhan freight flight lands in Australia with tonnes of medical equipment,"A cargo plane from the city where coronavirus first appeared has landed in Sydney carrying 90 tonnes of masks, gowns and ventilators."
7,/news/2020-04-08/man-coma-with-coronavirus-after-hotel-quarantine-at-crown-perth/12133386,Kenny Watson is fighting for his life after his wife tried for hours to get help in hotel quarantine,A 70-year-old man is in intensive care after his wife's pleas for medical help when he fell ill in hotel quarantine in Perth were unanswered for hours.
8,/news/health/2020-04-08/coronavirus-vaccine-explainer/12132414,We've been told social distancing restrictions will remain until a vaccine. Do we know when that will be?,"The New South Wales Premier says social distancing restrictions will be in place ""until a vaccine is found"". But what exactly goes into developing a vaccine for a new disease? "
9,/news/2020-04-08/india-plans-to-convert-trains-into-hospitals-amid-coronavirus/12126104,They were under lockdown but held an event anyway. Now there are COVID-19 cases all over India,"Empty sport stadiums and train carriages in India are being converted into quarantine centres and makeshift hospitals, as the country prepares for the possibility of hundreds of thousands of people becoming infected with coronavirus."
