,link,header,article,author,date
0,/news/2020-04-09/sydney-fish-markets-coronavirus-easter-demand-seafood/12132668,Sydney Fish Markets open for Easter with coronavirus crowd-control measures allowing a seafood splurge,"Australia's biggest seafood outlet is open for business this Easter under special COVID-19 restrictions.   The Sydney Fish Market, which usually attracts more than 40,000 people over the holiday weekend, has beefed up security and will restrict numbers in its retail outlets.   Chief executive officer Greg Dyer said the market could turn over $10 million in a normal Easter period, but he expected the public's general compliance with stay-at-home advice could halve this. ""We're not entirely sure how many visitors we'll get on the site, but we expect a dramatic reduction and those that do come will see a very different Sydney Fish Market,"" Mr Dyer said. ""A very well organised and highly drilled Sydney Fish Market will make sure we are maintaining all of the requirements under the COVID-19 regulations.""   Good Friday, traditionally the busiest day of the year, will operate with extended trading hours from 5am until 5pm. Parking and pedestrian entry will be restricted on site and police will support enhanced security. The market's five seafood retailers will limit the number of customers allowed inside at any one time and will operate under a one-way traffic system.    De Costi Seafood manager Carmelo Lombardo said online orders had grown by close to 70 per cent during the COVID-19 crisis but he wanted to reassure customers physical-distancing measures would not detract from their Easter market experience. ""Rest assured that when you do buy seafood down the market, you know we have an environment where you can shop at your own leisure but in a safe way,"" Mr Lombardo said.   Prices on Australia's biggest seafood auction floor have surged this week in the lead-up to Easter.   According to Kerry Strangas from the Master Fish Merchants Association, prices collapsed last month after restaurants and the food service industry stopped trading. ""The prices have steadied again, there's not as much product so the fishermen are getting a reasonable price and a fair price,"" Mr Strangas said. ""We want the fishermen to keep fishing and for us to keep trading."" He said if prices collapsed it would be dire. ""Then the industry is gone because you're not going to get out of bed if you don't get what you deserve for your product.""   The improved market has been a godsend for fishers such as Danny Green who operates a trap fishing business out of Coffs Harbour in New South Wales.   ""Probably two weeks ago, up until this last week, fish prices have been crap,"" Mr Green said. ""Now, just before Easter, snapper prices are the highest I've ever seen them. You're looking at $25 to $26 a kilogram.""   At Lake Munmorah in NSW, mesh net and mud crab fisher Allan Reed said some of his catch had been sold for bait two weeks ago because of the reduced demand.    He was also getting less than $8 a kilogram for mud crabs, but this week they earned $57 a kilogram. ""It got so bad I was only working one day a week,"" Mr Reed said.    ",Landline      By                                 Sean Murphy,"April 09, 2020"
1,/news/2020-04-09/sydney-fish-markets-coronavirus-easter-demand-seafood/12132668,Sydney Fish Markets open for Easter with coronavirus crowd-control measures allowing a seafood splurge,"Australia's biggest seafood outlet is open for business this Easter under special COVID-19 restrictions.   The Sydney Fish Market, which usually attracts more than 40,000 people over the holiday weekend, has beefed up security and will restrict numbers in its retail outlets.   Chief executive officer Greg Dyer said the market could turn over $10 million in a normal Easter period, but he expected the public's general compliance with stay-at-home advice could halve this. ""We're not entirely sure how many visitors we'll get on the site, but we expect a dramatic reduction and those that do come will see a very different Sydney Fish Market,"" Mr Dyer said. ""A very well organised and highly drilled Sydney Fish Market will make sure we are maintaining all of the requirements under the COVID-19 regulations.""   Good Friday, traditionally the busiest day of the year, will operate with extended trading hours from 5am until 5pm. Parking and pedestrian entry will be restricted on site and police will support enhanced security. The market's five seafood retailers will limit the number of customers allowed inside at any one time and will operate under a one-way traffic system.    De Costi Seafood manager Carmelo Lombardo said online orders had grown by close to 70 per cent during the COVID-19 crisis but he wanted to reassure customers physical-distancing measures would not detract from their Easter market experience. ""Rest assured that when you do buy seafood down the market, you know we have an environment where you can shop at your own leisure but in a safe way,"" Mr Lombardo said.   Prices on Australia's biggest seafood auction floor have surged this week in the lead-up to Easter.   According to Kerry Strangas from the Master Fish Merchants Association, prices collapsed last month after restaurants and the food service industry stopped trading. ""The prices have steadied again, there's not as much product so the fishermen are getting a reasonable price and a fair price,"" Mr Strangas said. ""We want the fishermen to keep fishing and for us to keep trading."" He said if prices collapsed it would be dire. ""Then the industry is gone because you're not going to get out of bed if you don't get what you deserve for your product.""   The improved market has been a godsend for fishers such as Danny Green who operates a trap fishing business out of Coffs Harbour in New South Wales.   ""Probably two weeks ago, up until this last week, fish prices have been crap,"" Mr Green said. ""Now, just before Easter, snapper prices are the highest I've ever seen them. You're looking at $25 to $26 a kilogram.""   At Lake Munmorah in NSW, mesh net and mud crab fisher Allan Reed said some of his catch had been sold for bait two weeks ago because of the reduced demand.    He was also getting less than $8 a kilogram for mud crabs, but this week they earned $57 a kilogram. ""It got so bad I was only working one day a week,"" Mr Reed said.    ",Landline      By                                 Sean Murphy,"April 09, 2020"
2,/news/2020-04-09/backpacker-accommodation-shortage-risks-veg-harvest-coronavirus/12132718,"Essential fruit and veg pickers 'homeless' due to coronavirus, meaning crops may be left to rot","The fruit and vegetable industry has warned that crops may be left to rot in fields because of a major shortage of accommodation for backpackers who pick the produce.   Growcom, the peak industry body in Queensland, said many hostels and caravan parks, where backpackers usually stayed in farming towns, had closed their doors in response to coronavirus. Some young travellers told the ABC they had resorted to camping illegally in forests and on rural land and were sleeping in their cars because of the lack of accommodation. Lasse Ortmann had been travelling the world before COVID-19 abruptly disrupted his working holiday.   ""Until this point I have really enjoyed my trip. Hopefully after the crisis I can keep on travelling,"" he said. Far from his home in northern Germany, Mr Ortmann is in Bridgetown, three hours south of Perth. But for him and the backpackers he has met in Australia, finding a roof for the night is nearly impossible. ""We were homeless. All the hostels, caravan parks, even the free caravan parks are closed,"" he said. ""So we stayed illegally in the forest; it was the only possibility we had at this time. ""We felt pretty desperate because we didn't know where to go, we didn't know what we should do next.""     Like many young international travellers, Mr Ortmann has been employed at cattle stations and watermelon and pumpkin farms to comply with his working holiday visa requirements. Holiday makers and seasonal workers are crucial to ensuring fruit and vegetable farmers have enough labour to plant and pick their crops. The Federal Government has announced it will allow backpackers to extend their stays in Australia to help meet the agricultural labour demand. But the horticulture industry said there was nowhere for many of those travellers to sleep, prompting warnings about the supply of winter fruit and vegetables in the coming months. ""We need to acknowledge there is some risk that a lack of accommodation could mean that some crops don't get harvested,"" said Growcom spokesman Richard Shannon. He said while many accommodation options such as hostels and caravan parks were closed, supply was even tighter because the Commonwealth announced that, in a bid to protect regional communities, backpackers would also have to self-isolate for 14 days before they started work.     ""We need to distance ourselves personally from one another; that means that less people can live in the same sorts of arrangements we had previously, and that just reduces the number of beds that are available,"" Mr Shannon said. ""We've seen plenty of rough camping, people sleeping in cars, pulling up wherever they can get access to at least some facilities like toilet blocks.   ""I am concerned. I think it's indicative of there being a great amount of disruption in the rest of the economy."" Mr Shannon said he understood why some hostels and caravan parks had closed and he called on governments to help solve the problem. Citrus grower Judy Shepherd, who farms at Gayndah, three-and-a-half hours north-west of Brisbane, said without appropriate accommodation for backpackers, some fruit and vegetables might not be picked. ""There's always a concern that getting enough staff at the right time in a harvest is difficult; this year it's even more difficult because of the new restrictions around travel,"" she said. ""There is a risk some crops may not be harvested."" Ms Shepherd said farming communities were urgently trying to find a solution. ""Trying to assist farmers to develop programs to take more [backpackers] than they would normally accommodate on their own farms, there's a lot of problems around that issue,"" she said. ""Another solution is potentially setting up temporary large-scale accommodation centres in towns that could cover the overflow from the parks, could provide some security for backpackers, and also offer isolation areas should someone become ill.""     That would be a huge relief for backpackers like Jan Spacek from the Czech Republic, who is trying to find farm work in New South Wales. He said the stress of looking for employment and a place to sleep was taking its toll. ""I would become homeless if there are no people who would help me, because I have no shelter or a place to stay,"" Mr Spacek said. ""I would be just completely without anything in the land I am a stranger. ""It's a situation you don't wish upon anyone; it's just a hard situation and I have to handle it in some way.""    ",ABC Rural      By national rural reporter Caitlyn Gribbin,"April 09, 2020"
3,/news/2020-04-09/backpacker-accommodation-shortage-risks-veg-harvest-coronavirus/12132718,"Essential fruit and veg pickers 'homeless' due to coronavirus, meaning crops may be left to rot","The fruit and vegetable industry has warned that crops may be left to rot in fields because of a major shortage of accommodation for backpackers who pick the produce.   Growcom, the peak industry body in Queensland, said many hostels and caravan parks, where backpackers usually stayed in farming towns, had closed their doors in response to coronavirus. Some young travellers told the ABC they had resorted to camping illegally in forests and on rural land and were sleeping in their cars because of the lack of accommodation. Lasse Ortmann had been travelling the world before COVID-19 abruptly disrupted his working holiday.   ""Until this point I have really enjoyed my trip. Hopefully after the crisis I can keep on travelling,"" he said. Far from his home in northern Germany, Mr Ortmann is in Bridgetown, three hours south of Perth. But for him and the backpackers he has met in Australia, finding a roof for the night is nearly impossible. ""We were homeless. All the hostels, caravan parks, even the free caravan parks are closed,"" he said. ""So we stayed illegally in the forest; it was the only possibility we had at this time. ""We felt pretty desperate because we didn't know where to go, we didn't know what we should do next.""     Like many young international travellers, Mr Ortmann has been employed at cattle stations and watermelon and pumpkin farms to comply with his working holiday visa requirements. Holiday makers and seasonal workers are crucial to ensuring fruit and vegetable farmers have enough labour to plant and pick their crops. The Federal Government has announced it will allow backpackers to extend their stays in Australia to help meet the agricultural labour demand. But the horticulture industry said there was nowhere for many of those travellers to sleep, prompting warnings about the supply of winter fruit and vegetables in the coming months. ""We need to acknowledge there is some risk that a lack of accommodation could mean that some crops don't get harvested,"" said Growcom spokesman Richard Shannon. He said while many accommodation options such as hostels and caravan parks were closed, supply was even tighter because the Commonwealth announced that, in a bid to protect regional communities, backpackers would also have to self-isolate for 14 days before they started work.     ""We need to distance ourselves personally from one another; that means that less people can live in the same sorts of arrangements we had previously, and that just reduces the number of beds that are available,"" Mr Shannon said. ""We've seen plenty of rough camping, people sleeping in cars, pulling up wherever they can get access to at least some facilities like toilet blocks.   ""I am concerned. I think it's indicative of there being a great amount of disruption in the rest of the economy."" Mr Shannon said he understood why some hostels and caravan parks had closed and he called on governments to help solve the problem. Citrus grower Judy Shepherd, who farms at Gayndah, three-and-a-half hours north-west of Brisbane, said without appropriate accommodation for backpackers, some fruit and vegetables might not be picked. ""There's always a concern that getting enough staff at the right time in a harvest is difficult; this year it's even more difficult because of the new restrictions around travel,"" she said. ""There is a risk some crops may not be harvested."" Ms Shepherd said farming communities were urgently trying to find a solution. ""Trying to assist farmers to develop programs to take more [backpackers] than they would normally accommodate on their own farms, there's a lot of problems around that issue,"" she said. ""Another solution is potentially setting up temporary large-scale accommodation centres in towns that could cover the overflow from the parks, could provide some security for backpackers, and also offer isolation areas should someone become ill.""     That would be a huge relief for backpackers like Jan Spacek from the Czech Republic, who is trying to find farm work in New South Wales. He said the stress of looking for employment and a place to sleep was taking its toll. ""I would become homeless if there are no people who would help me, because I have no shelter or a place to stay,"" Mr Spacek said. ""I would be just completely without anything in the land I am a stranger. ""It's a situation you don't wish upon anyone; it's just a hard situation and I have to handle it in some way.""    ",ABC Rural      By national rural reporter Caitlyn Gribbin,"April 09, 2020"
4,/news/2020-04-09/coronavirus-queensland-seafood-sales-easter-cheap/12129506,Coronavirus lockdown sees prawns drop to 1980 prices ahead of Easter splurge,"Seafood suppliers, fish markets and trawlers have been hit hard by the impacts of coronavirus but Queenslanders' love of seafood and unusually low prices have given the industry a temporary boost.   Normally seafood suppliers are gearing up for one of the busiest times of the year, but this Easter long queues and huge volumes of pre-orders have been replaced with takeaway services and home deliveries. Prawn trawler Daryl Davis, based at Shorncliffe on Brisbane's bayside, said consumers would benefit with freshly caught prawns at the lowest prices he had ever seen. He said medium to large tiger and green prawns were selling for between $15 to $20 a kilo. ""That's the lowest prices we've ever sold them, they're going back to 1980 prices,"" Mr Davis said.   ""We've just got to take it — if we don't take that price, we don't sell them."" He said business had picked up in the past two weeks heading into Easter. ""Since late February, early March it's been a hard time for us all,"" he said. ""We'll get through it, we've been through it before.""     The manager of Morgan's Seafood at Scarborough, Julie Hanson, said record low prices were a result of the volume of ocean-caught seafood and low demand. ""There's so much product out there and the demand hasn't been there, we've been able to buy the product at cheaper prices and pass it on,"" she said. ""I've got prawns at only $12.99 a kilo — that hasn't happened since I've been here, and I've been here for 11 years.""   Many seafood markets have adapted to offer takeaway services, with customers required to stand 1.5 metres apart and pay by card to follow social distancing rules.   Local seafood restaurants and suppliers are accepting pre-orders on wholesale products that can be picked up from stores. For people who cannot leave home, several outlets have started delivering fresh produce to nearby residents on top of offering a takeaway service. Some are even offering a drive-through service so customers can call ahead and pick up their order without leaving the car. In North Queensland, Ingham Road Seafood is operating a drive-through service at the Townsville Showgrounds. Owner Mark Partland said the set-up had been embraced by the community. ""There's plenty of product around, but we've just got to get it out the door with the spacing.""   Mr Partland said the closure of so many restaurants down had been a big blow for the wholesale side of his business, but retail sales remained healthy as ever. ""It's really taken me by surprise actually, it's very strong – I haven't seen it this strong for a long time in the retail sector,"" he said. ""Obviously people aren't going out to eat, so maybe they're treating themselves to some seafood as well – and there's not a lot open. ""We're quite lucky … and people are taking advantage of us being open and buying up for Easter.""   In Bundaberg, Red Shed Seafood has markers on the footpath up to the sales window to ensure customers keep a safe distance apart. Owner Marguerite Conroy Mills said it had been a busy few weeks with high demand for frozen seafood. ""We're only to have a few people in the shop at a time so that also means we have less staff as well but we're getting through it as quickly as we can,"" she said.   ""Everyone still wants their fresh seafood so we've been inundated with frozen orders so that people can do a bit of stockpiling. ""There's two sides to our business, the retail side and the wholesale. The wholesale has been heavily impacted. ""The trawlers have been impacted because they're not able to sell onto to restaurants and anything that might go for export,"" Ms Mills said.   Last month, agricultural forecaster ABARES predicted a $389 million fall in the value of the Australian fisheries and aquaculture industries to $2.81 billion.  Commercial fishers across Queensland have been hit both by restaurant closures and the shutdown of export markets. Queensland Seafood Marketers Association president Marshall Betzel said export and domestic markets had plunged.   ""We saw the export market for our products, particularly live lobster and live coral trout into Asia, disappear overnight,"" he said.   Mr Betzel said while domestic demand had improved in the past few weeks, there was uncertainty about what the future held for the commercial sector long-term. ""Unfortunately, post-Easter we'll probably see the domestic market reduce even further,"" he said. ""The commercial catching sector is under enormous pressure … the morale hasn't been the best given the fact there's a lot of uncertainty. ""This has really been just another blow to the industry, but if we can all wait and see how this pans out, hopefully there will be better days to come. ""I'm sure once we're all out and about and these various measure are reduced, people will get out in droves and we'll see consumer demand as good as it ever was for Queensland seafood.""    ",By Rachel Riga and Lily Nothling,"April 09, 2020"
5,/news/2020-04-09/coronavirus-queensland-seafood-sales-easter-cheap/12129506,Coronavirus lockdown sees prawns drop to 1980 prices ahead of Easter splurge,"Seafood suppliers, fish markets and trawlers have been hit hard by the impacts of coronavirus but Queenslanders' love of seafood and unusually low prices have given the industry a temporary boost.   Normally seafood suppliers are gearing up for one of the busiest times of the year, but this Easter long queues and huge volumes of pre-orders have been replaced with takeaway services and home deliveries. Prawn trawler Daryl Davis, based at Shorncliffe on Brisbane's bayside, said consumers would benefit with freshly caught prawns at the lowest prices he had ever seen. He said medium to large tiger and green prawns were selling for between $15 to $20 a kilo. ""That's the lowest prices we've ever sold them, they're going back to 1980 prices,"" Mr Davis said.   ""We've just got to take it — if we don't take that price, we don't sell them."" He said business had picked up in the past two weeks heading into Easter. ""Since late February, early March it's been a hard time for us all,"" he said. ""We'll get through it, we've been through it before.""     The manager of Morgan's Seafood at Scarborough, Julie Hanson, said record low prices were a result of the volume of ocean-caught seafood and low demand. ""There's so much product out there and the demand hasn't been there, we've been able to buy the product at cheaper prices and pass it on,"" she said. ""I've got prawns at only $12.99 a kilo — that hasn't happened since I've been here, and I've been here for 11 years.""   Many seafood markets have adapted to offer takeaway services, with customers required to stand 1.5 metres apart and pay by card to follow social distancing rules.   Local seafood restaurants and suppliers are accepting pre-orders on wholesale products that can be picked up from stores. For people who cannot leave home, several outlets have started delivering fresh produce to nearby residents on top of offering a takeaway service. Some are even offering a drive-through service so customers can call ahead and pick up their order without leaving the car. In North Queensland, Ingham Road Seafood is operating a drive-through service at the Townsville Showgrounds. Owner Mark Partland said the set-up had been embraced by the community. ""There's plenty of product around, but we've just got to get it out the door with the spacing.""   Mr Partland said the closure of so many restaurants down had been a big blow for the wholesale side of his business, but retail sales remained healthy as ever. ""It's really taken me by surprise actually, it's very strong – I haven't seen it this strong for a long time in the retail sector,"" he said. ""Obviously people aren't going out to eat, so maybe they're treating themselves to some seafood as well – and there's not a lot open. ""We're quite lucky … and people are taking advantage of us being open and buying up for Easter.""   In Bundaberg, Red Shed Seafood has markers on the footpath up to the sales window to ensure customers keep a safe distance apart. Owner Marguerite Conroy Mills said it had been a busy few weeks with high demand for frozen seafood. ""We're only to have a few people in the shop at a time so that also means we have less staff as well but we're getting through it as quickly as we can,"" she said.   ""Everyone still wants their fresh seafood so we've been inundated with frozen orders so that people can do a bit of stockpiling. ""There's two sides to our business, the retail side and the wholesale. The wholesale has been heavily impacted. ""The trawlers have been impacted because they're not able to sell onto to restaurants and anything that might go for export,"" Ms Mills said.   Last month, agricultural forecaster ABARES predicted a $389 million fall in the value of the Australian fisheries and aquaculture industries to $2.81 billion.  Commercial fishers across Queensland have been hit both by restaurant closures and the shutdown of export markets. Queensland Seafood Marketers Association president Marshall Betzel said export and domestic markets had plunged.   ""We saw the export market for our products, particularly live lobster and live coral trout into Asia, disappear overnight,"" he said.   Mr Betzel said while domestic demand had improved in the past few weeks, there was uncertainty about what the future held for the commercial sector long-term. ""Unfortunately, post-Easter we'll probably see the domestic market reduce even further,"" he said. ""The commercial catching sector is under enormous pressure … the morale hasn't been the best given the fact there's a lot of uncertainty. ""This has really been just another blow to the industry, but if we can all wait and see how this pans out, hopefully there will be better days to come. ""I'm sure once we're all out and about and these various measure are reduced, people will get out in droves and we'll see consumer demand as good as it ever was for Queensland seafood.""    ",By Rachel Riga and Lily Nothling,"April 09, 2020"
6,/news/2020-04-09/tasmania-champagne-bubbly-france-comite-champagne/12132304,Tasmanian farmer's rhubarb champagne post sparks legal warning from France,"A Tasmanian farmer's suggestion that people make champagne with their surplus rhubarb has drawn a legal warning from the French.   Guy Robertson from Penguin-based Mount Gnomon Farm suggested on social media that those with surplus rhubarb could treat themselves, as he had, by brewing some homemade rhubarb bubbly, which he termed champagne. A couple of days later he received a phone call from a French official in relation to the post. ""He was a really nice guy, he said: 'I know it's a really bad time around the world at the moment, but our legal team takes it very seriously',"" Mr Robertson told Helen Shield on ABC Radio Hobart. ""He said he has been doing it for three years and it's his job to make sure everyone complies and nobody markets their bubbles as champagne unless you come from the Champagne region in France. ""It was a funny moment for me, I just couldn't believe I had a call from France in the current climate about 10 litres of home-brew that we aren't even marketing.""   Organisations such as the Comité Champagne protect and promote the Champagne brand. Mr Robertson said the official had received a complaint about his social media post and had to follow it up, but managed to see the funny side of it. ""They take their job very seriously,"" Mr Robertson said. ""It made me laugh and laugh. ""If I ever go into the production of rhubarb champagne, I'll have to call it something different.""   Mount Gnomon Farm sells produce at farmers' markets and festivals, hosts on-farm experiences, and supplies restaurants. The COVID-19 crisis has resulted in the business losing almost 100 per cent of its revenue overnight. ""When we found out we wouldn't be able to attend Dark Mofo the dominoes started to fall,"" he said. In early March, Tasmania's largest festival Dark Mofo announced it would not go ahead due to the virus outbreak. ""The first week was the sleepless week,"" Mr Robertson said. ""Then we realised we could put everything online."" Mr Robertson said he had created a website for his business and was now incredibly busy selling meat, vegetables, and fruit online, as well as the products of other local artisan producers. Since going online, he has sold 1,000 products and is delivering food boxes all around the state. ""The most encouraging thing is the community support,"" he said. ""We're trying to focus on what we can do rather than what we can't do."" For Easter, he has 70 deliveries around the North West, 50 to Launceston and 60 to Hobart — all being driven himself. And rhubarb is making an appearance in all the produce boxes.",ABC Radio Hobart      By Georgie Burgess,"April 09, 2020"
7,/news/2020-04-09/tasmania-champagne-bubbly-france-comite-champagne/12132304,Tasmanian farmer's rhubarb champagne post sparks legal warning from France,"A Tasmanian farmer's suggestion that people make champagne with their surplus rhubarb has drawn a legal warning from the French.   Guy Robertson from Penguin-based Mount Gnomon Farm suggested on social media that those with surplus rhubarb could treat themselves, as he had, by brewing some homemade rhubarb bubbly, which he termed champagne. A couple of days later he received a phone call from a French official in relation to the post. ""He was a really nice guy, he said: 'I know it's a really bad time around the world at the moment, but our legal team takes it very seriously',"" Mr Robertson told Helen Shield on ABC Radio Hobart. ""He said he has been doing it for three years and it's his job to make sure everyone complies and nobody markets their bubbles as champagne unless you come from the Champagne region in France. ""It was a funny moment for me, I just couldn't believe I had a call from France in the current climate about 10 litres of home-brew that we aren't even marketing.""   Organisations such as the Comité Champagne protect and promote the Champagne brand. Mr Robertson said the official had received a complaint about his social media post and had to follow it up, but managed to see the funny side of it. ""They take their job very seriously,"" Mr Robertson said. ""It made me laugh and laugh. ""If I ever go into the production of rhubarb champagne, I'll have to call it something different.""   Mount Gnomon Farm sells produce at farmers' markets and festivals, hosts on-farm experiences, and supplies restaurants. The COVID-19 crisis has resulted in the business losing almost 100 per cent of its revenue overnight. ""When we found out we wouldn't be able to attend Dark Mofo the dominoes started to fall,"" he said. In early March, Tasmania's largest festival Dark Mofo announced it would not go ahead due to the virus outbreak. ""The first week was the sleepless week,"" Mr Robertson said. ""Then we realised we could put everything online."" Mr Robertson said he had created a website for his business and was now incredibly busy selling meat, vegetables, and fruit online, as well as the products of other local artisan producers. Since going online, he has sold 1,000 products and is delivering food boxes all around the state. ""The most encouraging thing is the community support,"" he said. ""We're trying to focus on what we can do rather than what we can't do."" For Easter, he has 70 deliveries around the North West, 50 to Launceston and 60 to Hobart — all being driven himself. And rhubarb is making an appearance in all the produce boxes.",ABC Radio Hobart      By Georgie Burgess,"April 09, 2020"
8,/news/2020-04-09/star-of-the-south-windfarm-to-run-cable-under-farmland/12133166,Star of the South announces cable routes through farmland for Australia's largest offshore windfarm,"Star of the South has released three proposed easements for underground cables through farmland in South Gippsland to connect Australia's first offshore windfarm to the national electricity grid.   The $10 billion windfarm would comprise approximately 250 turbines in the ocean off the Victorian coast and up to 80 kilometres of underground cabling to the Latrobe Valley. Substations would also be built along the cable route. If approved, the 2,000 megawatt windfarm would produce 18 per cent of Victoria's electricity needs, enough power to service 1.2 million homes. In a letter to be sent to affected landholders next week, the company outlines where the three potential easements would come ashore and the private property that would be affected. Landholders, anxious about being reasonably compensated, met last month to discuss their concerns about the disruption to their farm businesses.   Many of them were involved in a bitter battle with National Grid more than a decade ago, when large overhead pylons were built on their farms to allow for the Victoria–Tasmania power connector, Basslink. ""That's partly why we decided to put our cable underground and from day one. We have certainly tried to be very transparent,"" Star of the South chief development officer Erin Coldham said.  One proposed easement brings the cable to land at McGaurans Beach, south of Sale, and follows a 30-metre-wide easement used by Basslink. The other two suggested cable routes start at nearby Reeves Beach. ""We've had to look for relatively flat terrain … and we've also looked at the Old Rosedale Road as a corridor,"" Ms Coldham said. ""But we've got more work to do to narrow that down and come to a preferred option.""   The company has met with about 50 affected landholders, and said compensation offers would be fair and reasonable. Landholders would sign an option agreement contract during the planning stage, that gives Star of the South partial rights to the land for an agreed use, price, and time.  That option is taken up and full compensation is paid once the easement is built and registered.    Farmers would be compensated for land value, lost production, and the cost of returning the land to its original condition once the cable has been laid. Landholders' legal and surveying costs would also be covered, to a degree. ""We are obviously looking to have negotiations with individuals but based on a fair and equitable formula across the board,"" Ms Coldham said. Landholders would retain ownership of the easement but would not be allowed to build anything, stockpile materials, or plant trees on the land. Star of the South has referred the windfarm project to the Victorian Minister for Planning to consider an Environmental Effects Statement and to the Federal Minister for Environment, under the Environment Protection and Biodiversity Conservation Act.  The company has been monitoring wave and wind conditions since November 2019.   Acoustic monitoring equipment has been placed on the sea floor to record the sounds of marine mammals including dolphins and seals. Birds are being tagged to better understand whether the proposed turbines would disrupt their flight paths.  A large ship out of Lakes Entrance was used to map the seabed and measure water depths down to 80 metres to identify any buried obstacles including shipwrecks and old cables.  The company has signed a lease to open a project office in the main street of Yarram, and is inviting local residents to join a community advisory group for the project.",ABC Gippsland      By Kellie Lazzaro,"April 09, 2020"
9,/news/2020-04-09/star-of-the-south-windfarm-to-run-cable-under-farmland/12133166,Star of the South announces cable routes through farmland for Australia's largest offshore windfarm,"Star of the South has released three proposed easements for underground cables through farmland in South Gippsland to connect Australia's first offshore windfarm to the national electricity grid.   The $10 billion windfarm would comprise approximately 250 turbines in the ocean off the Victorian coast and up to 80 kilometres of underground cabling to the Latrobe Valley. Substations would also be built along the cable route. If approved, the 2,000 megawatt windfarm would produce 18 per cent of Victoria's electricity needs, enough power to service 1.2 million homes. In a letter to be sent to affected landholders next week, the company outlines where the three potential easements would come ashore and the private property that would be affected. Landholders, anxious about being reasonably compensated, met last month to discuss their concerns about the disruption to their farm businesses.   Many of them were involved in a bitter battle with National Grid more than a decade ago, when large overhead pylons were built on their farms to allow for the Victoria–Tasmania power connector, Basslink. ""That's partly why we decided to put our cable underground and from day one. We have certainly tried to be very transparent,"" Star of the South chief development officer Erin Coldham said.  One proposed easement brings the cable to land at McGaurans Beach, south of Sale, and follows a 30-metre-wide easement used by Basslink. The other two suggested cable routes start at nearby Reeves Beach. ""We've had to look for relatively flat terrain … and we've also looked at the Old Rosedale Road as a corridor,"" Ms Coldham said. ""But we've got more work to do to narrow that down and come to a preferred option.""   The company has met with about 50 affected landholders, and said compensation offers would be fair and reasonable. Landholders would sign an option agreement contract during the planning stage, that gives Star of the South partial rights to the land for an agreed use, price, and time.  That option is taken up and full compensation is paid once the easement is built and registered.    Farmers would be compensated for land value, lost production, and the cost of returning the land to its original condition once the cable has been laid. Landholders' legal and surveying costs would also be covered, to a degree. ""We are obviously looking to have negotiations with individuals but based on a fair and equitable formula across the board,"" Ms Coldham said. Landholders would retain ownership of the easement but would not be allowed to build anything, stockpile materials, or plant trees on the land. Star of the South has referred the windfarm project to the Victorian Minister for Planning to consider an Environmental Effects Statement and to the Federal Minister for Environment, under the Environment Protection and Biodiversity Conservation Act.  The company has been monitoring wave and wind conditions since November 2019.   Acoustic monitoring equipment has been placed on the sea floor to record the sounds of marine mammals including dolphins and seals. Birds are being tagged to better understand whether the proposed turbines would disrupt their flight paths.  A large ship out of Lakes Entrance was used to map the seabed and measure water depths down to 80 metres to identify any buried obstacles including shipwrecks and old cables.  The company has signed a lease to open a project office in the main street of Yarram, and is inviting local residents to join a community advisory group for the project.",ABC Gippsland      By Kellie Lazzaro,"April 09, 2020"
