,link,header,article,author,date
0,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320,Pink supermoon just what the coronavirus lockdown doctor ordered,"So you've been cooped up in a global pandemic, caning the bandwidth, Marie Kondo-ing the cupboards and creating mini tent cities to entertain the kids.   Never fear. There's a circuit-breaker on the way tonight and all have you have to do is look up. A supermoon tipped to be the biggest this year will grace southern hemisphere skies. It has already made an appearance in the northern hemisphere, where it was reported to be the largest supermoon of the year. A supermoon occurs when a full moon is especially close to the Earth, making it look up to 10 per cent bigger and brighter than normal. This one will be a mere 356,907 kilometres away. These moons have many types: super blue blood moon and super blood wolf moon are just two. Tonight's is called a pink supermoon. In northern climes, the April supermoon is so named because it often arrives at the same time as early spring pink phlox flowers. The best time to see it will be 11:00pm AEST. If you want to get ahead of the game, use a phone app to work out where it will be rising. You might have seen those seemingly massive moons rising early in the evening throughout March. They are an illusion and are just being tricky. The moon this time of year might look closer earlier in the evening, but the tip is to set the alarm for a bit later. By 11:00pm, it will be higher in the sky.   People in the northern hemisphere have reported the lack of pollution in some centres — where industry has been reduced or entirely shut down by coronavirus restrictions — has given them the best supermoon view for some time. Here, where pollution is not the main enemy, fingers will be crossed for a cloud-free night.  Sydney is not looking great and cloudy conditions are forecast in Melbourne, Brisbane and Canberra as well. Darwin will have a bit of cloud around but Perth and Adelaide look to be clear. The best Tasmanian locations will be in the south. If you want to snap a photo at home, there are some things to remember: Don't expect wonders from your smartphone.  While their cameras are getting better and better, they can still distort the image and make the Moon look quite small. You could try zooming in (although digital zoom will reduce the quality) or attaching your phone to a telescope. A tripod or a solid surface like a windowsill can help get a sharp picture, and turning off lights nearby can also help. And remember, having something like a tree or building in the frame can give it more context. For those with DSLRs, you already know what you're doing; the longer the lens, the better.  ",By                                 Ros Lehman,"April 08, 2020"
1,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320,Pink supermoon just what the coronavirus lockdown doctor ordered,"So you've been cooped up in a global pandemic, caning the bandwidth, Marie Kondo-ing the cupboards and creating mini tent cities to entertain the kids.   Never fear. There's a circuit-breaker on the way tonight and all have you have to do is look up. A supermoon tipped to be the biggest this year will grace southern hemisphere skies. It has already made an appearance in the northern hemisphere, where it was reported to be the largest supermoon of the year. A supermoon occurs when a full moon is especially close to the Earth, making it look up to 10 per cent bigger and brighter than normal. This one will be a mere 356,907 kilometres away. These moons have many types: super blue blood moon and super blood wolf moon are just two. Tonight's is called a pink supermoon. In northern climes, the April supermoon is so named because it often arrives at the same time as early spring pink phlox flowers. The best time to see it will be 11:00pm AEST. If you want to get ahead of the game, use a phone app to work out where it will be rising. You might have seen those seemingly massive moons rising early in the evening throughout March. They are an illusion and are just being tricky. The moon this time of year might look closer earlier in the evening, but the tip is to set the alarm for a bit later. By 11:00pm, it will be higher in the sky.   People in the northern hemisphere have reported the lack of pollution in some centres — where industry has been reduced or entirely shut down by coronavirus restrictions — has given them the best supermoon view for some time. Here, where pollution is not the main enemy, fingers will be crossed for a cloud-free night.  Sydney is not looking great and cloudy conditions are forecast in Melbourne, Brisbane and Canberra as well. Darwin will have a bit of cloud around but Perth and Adelaide look to be clear. The best Tasmanian locations will be in the south. If you want to snap a photo at home, there are some things to remember: Don't expect wonders from your smartphone.  While their cameras are getting better and better, they can still distort the image and make the Moon look quite small. You could try zooming in (although digital zoom will reduce the quality) or attaching your phone to a telescope. A tripod or a solid surface like a windowsill can help get a sharp picture, and turning off lights nearby can also help. And remember, having something like a tree or building in the frame can give it more context. For those with DSLRs, you already know what you're doing; the longer the lens, the better.  ",By                                 Ros Lehman,"April 08, 2020"
2,/news/2020-04-07/fossilised-tooth-tells-story-of-australias-ancient-true-seals/12125322,Fossilised seal tooth found on Portland beach reveals fate of Australia's 'true' seals,"A three-million-year-old fossilised tooth found on a south-west Victorian beach tells two stories: that of the ancient true seals that lived on Australian coastlines millions of years ago, and that of the uncertain future that awaits the fur seals and sea lions that live there today.   The fossil was picked up on a Portland beach in 1998 and donated to the Melbourne Museum but has only recently been closely studied by a team from Monash University and Museums Victoria. Researcher James Rule, who examines the evolution of seals, said the extinction of the 'true' or earless seals could shed light on how sea level rises associated with current climate change will affect the seals that now inhabit our coastline. The use of the word 'true' to describe the type of seal the tooth came from stems from the two categories that broadly define different seal species. Earless, or true seals, lack visible ear flaps and have smaller flippers, meaning it's harder for them to move around on land.   Eared seals, the category Australian fur seals and sea lions belong to, have visible ears and larger flippers that enable them to get around much more easily. ""These true seals don't exist on Australia's coast today,"" Mr Rule said. ""However, in the past, they were the only seals that were here. ""This discovery essentially tells us that at some point in the past when the climate changed the seals went extinct. ""After they went extinct the fur seals and the sea lions colonised Australia and New Zealand from the North Pacific.""   The only other fossil showing the seals lived along the coastline millions of years ago was found at Beaumaris, in Melbourne, and has been dated at six million years old. Mr Rule said higher sea levels associated with a warmer period in the Earth's history would have presented an ideal habitat for the true seals. He said the climate began cooling roughly two-and-a-half million years ago, meaning more ice formed at the poles and the sea level fell. ""When the sea level dropped it essentially eliminated the shallow coastal environment this seal would have relied upon to live,"" Mr Rule said. ""It would have exposed a lot of islands and rocky beaches along the coast, and this sort of environment is perfect for fur seals and sea lions.""   ""Fur seals and sea lions can actually still sort of walk when they're on the beach and on rocks because they can bring their hind flippers forward to help them. ""Unfortunately … true seals can only bounce and when they don't have a flat beach environment to bounce upon, they can't get up there to rest."" Mr Rule said the research into the ancient seals' fate illustrated the way climate change could affect seal populations, and current rising sea levels may threaten sea lion and fur seal colonies in Australia. ""If the Earth continues to warm and the temperatures increase, we will continue to lose ice at the poles like we are today,"" he said. ""As the sea level rises we are going to lose those environments that they rely on to rest, breed and feed.""",ABC South West Vic      By Sian Johnson,"April 07, 2020"
3,/news/2020-04-07/fossilised-tooth-tells-story-of-australias-ancient-true-seals/12125322,Fossilised seal tooth found on Portland beach reveals fate of Australia's 'true' seals,"A three-million-year-old fossilised tooth found on a south-west Victorian beach tells two stories: that of the ancient true seals that lived on Australian coastlines millions of years ago, and that of the uncertain future that awaits the fur seals and sea lions that live there today.   The fossil was picked up on a Portland beach in 1998 and donated to the Melbourne Museum but has only recently been closely studied by a team from Monash University and Museums Victoria. Researcher James Rule, who examines the evolution of seals, said the extinction of the 'true' or earless seals could shed light on how sea level rises associated with current climate change will affect the seals that now inhabit our coastline. The use of the word 'true' to describe the type of seal the tooth came from stems from the two categories that broadly define different seal species. Earless, or true seals, lack visible ear flaps and have smaller flippers, meaning it's harder for them to move around on land.   Eared seals, the category Australian fur seals and sea lions belong to, have visible ears and larger flippers that enable them to get around much more easily. ""These true seals don't exist on Australia's coast today,"" Mr Rule said. ""However, in the past, they were the only seals that were here. ""This discovery essentially tells us that at some point in the past when the climate changed the seals went extinct. ""After they went extinct the fur seals and the sea lions colonised Australia and New Zealand from the North Pacific.""   The only other fossil showing the seals lived along the coastline millions of years ago was found at Beaumaris, in Melbourne, and has been dated at six million years old. Mr Rule said higher sea levels associated with a warmer period in the Earth's history would have presented an ideal habitat for the true seals. He said the climate began cooling roughly two-and-a-half million years ago, meaning more ice formed at the poles and the sea level fell. ""When the sea level dropped it essentially eliminated the shallow coastal environment this seal would have relied upon to live,"" Mr Rule said. ""It would have exposed a lot of islands and rocky beaches along the coast, and this sort of environment is perfect for fur seals and sea lions.""   ""Fur seals and sea lions can actually still sort of walk when they're on the beach and on rocks because they can bring their hind flippers forward to help them. ""Unfortunately … true seals can only bounce and when they don't have a flat beach environment to bounce upon, they can't get up there to rest."" Mr Rule said the research into the ancient seals' fate illustrated the way climate change could affect seal populations, and current rising sea levels may threaten sea lion and fur seal colonies in Australia. ""If the Earth continues to warm and the temperatures increase, we will continue to lose ice at the poles like we are today,"" he said. ""As the sea level rises we are going to lose those environments that they rely on to rest, breed and feed.""",ABC South West Vic      By Sian Johnson,"April 07, 2020"
4,/news/2020-04-08/coronavirus-data-to-dictate-next-stage-of-australian-response/12132516,Coronavirus data due within weeks to reveal Australia's path out of health crisis,"Infectious disease experts are expecting to know a ""way out"" of the coronavirus crisis within weeks as modelling focused on community transmission rates becomes clearer.   As the country enters its fourth week of heavy physical-distancing measures — resulting in a gradual flattening of the curve — health experts have begun contemplating the ""next phase"" of Australia's response, beyond the restrictions.  However, according to the experts — including a group of epidemiologists advising the Federal Government — more data on the rate of community transmission is needed before further decisions can be made. University of Melbourne health epidemiologist Kathryn Snow told the ABC that data would help answer the pragmatic questions such as what could we expect in the next few months.    ""[It will tell us] what restrictions can we relax, as well as what measures are needed in specific locations,"" Professor Snow said.  ""What we will be getting with this new modelling is much more targeted forecasts. It will give us much more specific insight into what's happening in Australia."" Chief Medical Officer Brendan Murphy said on Tuesday the current data on infection rates was being skewed by infected international travellers, but in the ""next week or 10 days"" they would have a ""much better picture"".    Prime Minister Scott Morrison said that data would ""help us plan the way out"" and he committed to releasing the data and subsequent modelling to the public. Speaking on Wednesday, Health Minister Greg Hunt said Australia was mapping its path out of the pandemic.   ""We are working to wipe out community transmission and, as we get on top of that, with medical advice, we will begin to take the steps on the road out,"" he said. ""It is likely to be in steps and stages that we can test and reverse.   But he said it was ""highly unlikely"" restrictions such as social distancing or border control would be relaxed any time soon. ""We need to be patient and that will give us the chance to take steps on the way out earlier,"" he said. Mr Hunt said the more successful Australia was in stamping out community transmission, the earlier we could move towards lifting restrictions.   Part of the way to speed up the move to the ""next phase"" of Australia's response, according to experts, is to increase testing.  Speaking on ABC's Radio National, GP and former federal MP Kerryn Phelps said ""if you don't look, you don't find"". ""We need to know where the cases are,"" Dr Phelps said. ""To do that, we need to test."" ""Then we can find individual areas and identify clusters to get data and help stop the spread.""  Testing has been ramped up across Australia to pick up more community transmission of the virus. In NSW, pop-up clinics have been set up in hotspots such as Bondi.    In Queensland, anyone with respiratory symptoms in sites including Brisbane, Cairns and the Gold Coast can be tested. Victorian authorities are offering testing to anyone who is over the age of 65 and has symptoms, as well as people in industries such as childcare, schools, and frontline workers even if they have not travelled overseas.    Dr Phelps said in time authorities would know whether particular strategies were working, in order to determine the ""next phase"".   However she rejected the notion of herd immunity or that people needed to get sick for Australia to find a way out.   ""We don't know what the level of immunity [in the community] is likely to be, because we don't know what level of immunity is conferred by having the infection and how long that immunity will last,"" she said.    ",By medical reporter Sophie Scott and the Specialist Reporting Team's Nick Sas,"April 08, 2020"
5,/news/2020-04-08/coronavirus-data-to-dictate-next-stage-of-australian-response/12132516,Coronavirus data due within weeks to reveal Australia's path out of health crisis,"Infectious disease experts are expecting to know a ""way out"" of the coronavirus crisis within weeks as modelling focused on community transmission rates becomes clearer.   As the country enters its fourth week of heavy physical-distancing measures — resulting in a gradual flattening of the curve — health experts have begun contemplating the ""next phase"" of Australia's response, beyond the restrictions.  However, according to the experts — including a group of epidemiologists advising the Federal Government — more data on the rate of community transmission is needed before further decisions can be made. University of Melbourne health epidemiologist Kathryn Snow told the ABC that data would help answer the pragmatic questions such as what could we expect in the next few months.    ""[It will tell us] what restrictions can we relax, as well as what measures are needed in specific locations,"" Professor Snow said.  ""What we will be getting with this new modelling is much more targeted forecasts. It will give us much more specific insight into what's happening in Australia."" Chief Medical Officer Brendan Murphy said on Tuesday the current data on infection rates was being skewed by infected international travellers, but in the ""next week or 10 days"" they would have a ""much better picture"".    Prime Minister Scott Morrison said that data would ""help us plan the way out"" and he committed to releasing the data and subsequent modelling to the public. Speaking on Wednesday, Health Minister Greg Hunt said Australia was mapping its path out of the pandemic.   ""We are working to wipe out community transmission and, as we get on top of that, with medical advice, we will begin to take the steps on the road out,"" he said. ""It is likely to be in steps and stages that we can test and reverse.   But he said it was ""highly unlikely"" restrictions such as social distancing or border control would be relaxed any time soon. ""We need to be patient and that will give us the chance to take steps on the way out earlier,"" he said. Mr Hunt said the more successful Australia was in stamping out community transmission, the earlier we could move towards lifting restrictions.   Part of the way to speed up the move to the ""next phase"" of Australia's response, according to experts, is to increase testing.  Speaking on ABC's Radio National, GP and former federal MP Kerryn Phelps said ""if you don't look, you don't find"". ""We need to know where the cases are,"" Dr Phelps said. ""To do that, we need to test."" ""Then we can find individual areas and identify clusters to get data and help stop the spread.""  Testing has been ramped up across Australia to pick up more community transmission of the virus. In NSW, pop-up clinics have been set up in hotspots such as Bondi.    In Queensland, anyone with respiratory symptoms in sites including Brisbane, Cairns and the Gold Coast can be tested. Victorian authorities are offering testing to anyone who is over the age of 65 and has symptoms, as well as people in industries such as childcare, schools, and frontline workers even if they have not travelled overseas.    Dr Phelps said in time authorities would know whether particular strategies were working, in order to determine the ""next phase"".   However she rejected the notion of herd immunity or that people needed to get sick for Australia to find a way out.   ""We don't know what the level of immunity [in the community] is likely to be, because we don't know what level of immunity is conferred by having the infection and how long that immunity will last,"" she said.    ",By medical reporter Sophie Scott and the Specialist Reporting Team's Nick Sas,"April 08, 2020"
6,/news/2020-04-07/warning-adf-personnel-should-not-be-in-coronavirus-drug-trials/12125980,"ADF personnel should not be used as 'guinea pigs' in coronavirus drug trial, former Army doctor says","Health professionals and Army veterans fear military personnel may be ""used as guinea pigs"" in a drug trial conducted by the Australian Defence Force (ADF) to find a medicine that will help fight COVID-19.   Ethical approval to carry out a clinical trial of the anti-malaria drug chloroquine was granted to the ADF's Malaria and Infectious Diseases Institute on Wednesday last week. It will test whether chloroquine is effective in stopping people from contracting coronavirus. An email sent by ADF surgeon general Sarah Sharkey and obtained by the ABC's PM program said the trial would involve military personnel and frontline civilian healthcare workers who volunteered to take part. ""Well controlled trials are urgently needed given the profound global impacts of this disease,"" the email states. Major Stuart McCarthy, who was given the anti-malarial drug tafenoquine during a different trial conducted in the early 2000s, said he had serious concerns about the COVID-19 research.   ""One of my primary concerns with these proposed trials is that there will be a degree of coercion placed on exactly the people who will be at the front line of our response to the COVID-19 pandemic,"" Major McCarthy said. He said participants in past trials were pressured into taking part and felt unable to report side effects.   ""That then has a flow-on effect when those reports are published, that then distorts the safety of those drugs as they enter the civilian market,"" he said International guidelines for good clinical practice identify members of the armed forces as vulnerable subjects for medical research because they may feel an expectation to participate.   Steven Scally, a former Australian Army medical officer and practising GP with an interest in veteran health, said the ADF had a ""poor track record"" of conducting medical research. ""I wouldn't even be confident seeing them conduct trials on Panadol to be quite honest,"" Dr Scally said. ""We are nowhere near getting to the bottom of what's happened with trials that were conducted many years ago, so I just don't think the Australian Defence Force has an established reputation at all for conducting any sort of medical research at all."" In 2018, a Senate inquiry handed down its report into the mefloquine and tafenoquine trials conducted by the ADF in the late 1990s and early 2000s.   Veterans involved in the trials told the inquiry they continued to experience long-term side effects linked to the anti-malaria drugs, including psychosis, anxiety, depression and memory loss. ""Many of those individuals continue to beg to charity for medical care, some of them are homeless and sadly many of them have suicided,"" Major McCarthy said.   The Department responded to the inquiry by announcing a $2.1 million to provide comprehensive health assessments for those involved in the trials over four years.  It also agreed to the recommendation that the Defence and Veterans' Affairs Human Research Ethics Committee change its terms of reference to consider that research participants may be vulnerable to perceived coercion to participate in trials. The same committee approved the COVID-19 trial on Wednesday. An ADF spokesperson said it was part of the whole-of-Government response to the COVID-19 pandemic, and the trial would be subject to rules provided by the Therapeutic Goods Administration, including obtaining informed consent.   But Dr Scally said he did not believe that was possible. ""Consent and volunteerism is a redundant concept in the military,"" he said. ""Pretty much at the time of enlistment, upon taking the oath, you exchange free will for obedience and that is a culture that really has to exist for the purpose of carrying out your role as a soldier or a sailor or an airman to defend the country."" He said serving members of the defence force should not be subjected to further potential harm by participating in medical research. ""I don't think it's the role of the ADF to offer up its personnel and human resources to be used as guinea pigs for a drug trial,"" he said. The ADF did not responded to a series of questions from the ABC about suggestions of ongoing health issues in time for publication. In the email obtained by the ABC, the ADF surgeon general said the safety profile of chloroquine as an anti-malaria drug was well understood from its use in over a billion people. She said despite the similar sounding name, it did not share the same adverse events as mefloquine. Others have also spoken in favour of the COVID-19 trial, saying medical research into coronavirus prevention is urgently needed. The CSIRO's health and biosecurity health director Rob Grenfell said he was confident the study would be well designed. ""Australia has very tight and stringent and some of the highest order of trial-conducted studies,"" Dr Grenfell said.   The University of Sydney's head of pharmacy Andrew McLachlan said chloroquine trails were still in the very early stages. ""It is a medicine we have a lot of experience with over really decades of treatment, but like any medicine it does carry some risks, particularly at higher doses,"" he said. ""Finding the right dose will be absolutely critical, and that's why trials at the moment will be starting with the recommended current doses but potentially exploring a range of doses to see how effective this treatment might be.""   He said testing the drug on people at higher risk from exposure to COVID-19 such as the health workforce would ""make sense"". ""Of course we're always weighing that against the possible harmful effects of chloroquine and that would have to be monitored,"" Professor McLachlan said.    ",PM      By Marian Faa,"April 07, 2020"
7,/news/2020-04-07/warning-adf-personnel-should-not-be-in-coronavirus-drug-trials/12125980,"ADF personnel should not be used as 'guinea pigs' in coronavirus drug trial, former Army doctor says","Health professionals and Army veterans fear military personnel may be ""used as guinea pigs"" in a drug trial conducted by the Australian Defence Force (ADF) to find a medicine that will help fight COVID-19.   Ethical approval to carry out a clinical trial of the anti-malaria drug chloroquine was granted to the ADF's Malaria and Infectious Diseases Institute on Wednesday last week. It will test whether chloroquine is effective in stopping people from contracting coronavirus. An email sent by ADF surgeon general Sarah Sharkey and obtained by the ABC's PM program said the trial would involve military personnel and frontline civilian healthcare workers who volunteered to take part. ""Well controlled trials are urgently needed given the profound global impacts of this disease,"" the email states. Major Stuart McCarthy, who was given the anti-malarial drug tafenoquine during a different trial conducted in the early 2000s, said he had serious concerns about the COVID-19 research.   ""One of my primary concerns with these proposed trials is that there will be a degree of coercion placed on exactly the people who will be at the front line of our response to the COVID-19 pandemic,"" Major McCarthy said. He said participants in past trials were pressured into taking part and felt unable to report side effects.   ""That then has a flow-on effect when those reports are published, that then distorts the safety of those drugs as they enter the civilian market,"" he said International guidelines for good clinical practice identify members of the armed forces as vulnerable subjects for medical research because they may feel an expectation to participate.   Steven Scally, a former Australian Army medical officer and practising GP with an interest in veteran health, said the ADF had a ""poor track record"" of conducting medical research. ""I wouldn't even be confident seeing them conduct trials on Panadol to be quite honest,"" Dr Scally said. ""We are nowhere near getting to the bottom of what's happened with trials that were conducted many years ago, so I just don't think the Australian Defence Force has an established reputation at all for conducting any sort of medical research at all."" In 2018, a Senate inquiry handed down its report into the mefloquine and tafenoquine trials conducted by the ADF in the late 1990s and early 2000s.   Veterans involved in the trials told the inquiry they continued to experience long-term side effects linked to the anti-malaria drugs, including psychosis, anxiety, depression and memory loss. ""Many of those individuals continue to beg to charity for medical care, some of them are homeless and sadly many of them have suicided,"" Major McCarthy said.   The Department responded to the inquiry by announcing a $2.1 million to provide comprehensive health assessments for those involved in the trials over four years.  It also agreed to the recommendation that the Defence and Veterans' Affairs Human Research Ethics Committee change its terms of reference to consider that research participants may be vulnerable to perceived coercion to participate in trials. The same committee approved the COVID-19 trial on Wednesday. An ADF spokesperson said it was part of the whole-of-Government response to the COVID-19 pandemic, and the trial would be subject to rules provided by the Therapeutic Goods Administration, including obtaining informed consent.   But Dr Scally said he did not believe that was possible. ""Consent and volunteerism is a redundant concept in the military,"" he said. ""Pretty much at the time of enlistment, upon taking the oath, you exchange free will for obedience and that is a culture that really has to exist for the purpose of carrying out your role as a soldier or a sailor or an airman to defend the country."" He said serving members of the defence force should not be subjected to further potential harm by participating in medical research. ""I don't think it's the role of the ADF to offer up its personnel and human resources to be used as guinea pigs for a drug trial,"" he said. The ADF did not responded to a series of questions from the ABC about suggestions of ongoing health issues in time for publication. In the email obtained by the ABC, the ADF surgeon general said the safety profile of chloroquine as an anti-malaria drug was well understood from its use in over a billion people. She said despite the similar sounding name, it did not share the same adverse events as mefloquine. Others have also spoken in favour of the COVID-19 trial, saying medical research into coronavirus prevention is urgently needed. The CSIRO's health and biosecurity health director Rob Grenfell said he was confident the study would be well designed. ""Australia has very tight and stringent and some of the highest order of trial-conducted studies,"" Dr Grenfell said.   The University of Sydney's head of pharmacy Andrew McLachlan said chloroquine trails were still in the very early stages. ""It is a medicine we have a lot of experience with over really decades of treatment, but like any medicine it does carry some risks, particularly at higher doses,"" he said. ""Finding the right dose will be absolutely critical, and that's why trials at the moment will be starting with the recommended current doses but potentially exploring a range of doses to see how effective this treatment might be.""   He said testing the drug on people at higher risk from exposure to COVID-19 such as the health workforce would ""make sense"". ""Of course we're always weighing that against the possible harmful effects of chloroquine and that would have to be monitored,"" Professor McLachlan said.    ",PM      By Marian Faa,"April 07, 2020"
8,/news/2020-04-06/donald-trump-us-stockpiling-anti-malarial-for-coronavirus-fight/12124514,Donald Trump says US stockpiling anti-malarial drug for potential coronavirus use,"The US is stockpiling massive doses of an anti-malarial drug hoped to be used to treat coronavirus despite its efficacy remaining unproven.   US President Donald Trump said Washington had bought ""a tremendous amount"" of hydroxychloroquine, saying there were ""very strong signs"" it could treat coronavirus.  At a media conference on Sunday, Mr Trump said the US was ""very far down the line"" on developing vaccines for COVID-19, adding ""we'll see what happens"". But he said the US had stockpiled 29 million doses of hydroxychloroquine as a potential treatment.    ""It's a powerful drug on malaria and there are signs that it works on this, some very strong signs,"" he said. ""I would love to go to a laboratory and spend a couple of years testing something. ""We don't have time, we don't have two hours because people are dying.   ""If it does help great. If it doesn't help, we gave it a shot. What really do we have to lose?""   Mr Trump has previously hailed a French study suggesting hydroxychloroquine plus azithromycin, a common antibiotic, might be an effective treatment for COVID-19.  But he told reporters he was not promoting hydroxychloroquine, saying: ""It may work, it may not.""  He said it would be a shame ""if we didn't turn to these drugs early, if it turns out they are helpful"".   Last month, the World Health Organisation announced a mass global trial of four promising treatments, including hydroxychloroquine. But there have been warnings that there is still much work to be done testing potential cures. Anthony Fauci, who is part of the White House coronavirus task force, has reminded people that there is only ""anecdotal"" evidence of hydroxychloroquine being effective against coronavirus. The drug has major potential side effects, especially for the heart, and large studies are underway to see if it is safe and effective for treating COVID-19. For most people, the virus causes mild or moderate symptoms, such as a fever and a cough that clear up in two to three weeks.    For some, especially older adults and people with existing health problems, it can cause more severe illness and death. White House medical experts have forecast that between 100,000 to 240,000 Americans could die in the pandemic. At the weekend, there were warnings the US faced a critical week in the coronavirus pandemic, with the US surgeon-general Jerome Adams telling Americans to brace for a Pearl Harbour or 9/11 moment. But during the latest press briefing, the Mr Trump expressed hope the country was seeing a ""levelling off"" in some of the nation's coronavirus hotspots, saying Americans were starting to see ""the light at the end of the tunnel"". New York, the hardest-hit state, reported on Sunday that for the first time in a week, deaths had fallen slightly from the day before, but there were still nearly 600 new fatalities and more than 7,300 new cases. Research teams around the world are scrambling to develop a COVID-19 vaccine, including in Australia.     AP/Reuters",,"April 06, 2020"
9,/news/2020-04-06/donald-trump-us-stockpiling-anti-malarial-for-coronavirus-fight/12124514,Donald Trump says US stockpiling anti-malarial drug for potential coronavirus use,"The US is stockpiling massive doses of an anti-malarial drug hoped to be used to treat coronavirus despite its efficacy remaining unproven.   US President Donald Trump said Washington had bought ""a tremendous amount"" of hydroxychloroquine, saying there were ""very strong signs"" it could treat coronavirus.  At a media conference on Sunday, Mr Trump said the US was ""very far down the line"" on developing vaccines for COVID-19, adding ""we'll see what happens"". But he said the US had stockpiled 29 million doses of hydroxychloroquine as a potential treatment.    ""It's a powerful drug on malaria and there are signs that it works on this, some very strong signs,"" he said. ""I would love to go to a laboratory and spend a couple of years testing something. ""We don't have time, we don't have two hours because people are dying.   ""If it does help great. If it doesn't help, we gave it a shot. What really do we have to lose?""   Mr Trump has previously hailed a French study suggesting hydroxychloroquine plus azithromycin, a common antibiotic, might be an effective treatment for COVID-19.  But he told reporters he was not promoting hydroxychloroquine, saying: ""It may work, it may not.""  He said it would be a shame ""if we didn't turn to these drugs early, if it turns out they are helpful"".   Last month, the World Health Organisation announced a mass global trial of four promising treatments, including hydroxychloroquine. But there have been warnings that there is still much work to be done testing potential cures. Anthony Fauci, who is part of the White House coronavirus task force, has reminded people that there is only ""anecdotal"" evidence of hydroxychloroquine being effective against coronavirus. The drug has major potential side effects, especially for the heart, and large studies are underway to see if it is safe and effective for treating COVID-19. For most people, the virus causes mild or moderate symptoms, such as a fever and a cough that clear up in two to three weeks.    For some, especially older adults and people with existing health problems, it can cause more severe illness and death. White House medical experts have forecast that between 100,000 to 240,000 Americans could die in the pandemic. At the weekend, there were warnings the US faced a critical week in the coronavirus pandemic, with the US surgeon-general Jerome Adams telling Americans to brace for a Pearl Harbour or 9/11 moment. But during the latest press briefing, the Mr Trump expressed hope the country was seeing a ""levelling off"" in some of the nation's coronavirus hotspots, saying Americans were starting to see ""the light at the end of the tunnel"". New York, the hardest-hit state, reported on Sunday that for the first time in a week, deaths had fallen slightly from the day before, but there were still nearly 600 new fatalities and more than 7,300 new cases. Research teams around the world are scrambling to develop a COVID-19 vaccine, including in Australia.     AP/Reuters",,"April 06, 2020"
