,link,header,article,author,date
0,/news/2020-04-09/nt-scraps-one-to-one-solar-power-feed-in-tariff-renewables/11928988?section=technology,"One-to-one solar feed-in tariff scrapped, battery subsidies announced in NT renewables changes","The phones have been ringing off the hook at Leigh Fowkes' small solar business in Katherine this week — and not in a good way.   ""Existing clients basically straight away [saying] 'put our jobs on hold',"" he told ABC Radio Darwin. Mr Fowkes said about two dozen customers had shelved plans to install rooftop solar in the wake of the sudden axing of the Northern Territory's one-to-one feed-in tariff. The generous rate at which solar system-owners were paid for excess energy sent back to the grid helped drive rooftop solar uptake in the NT from the lowest levels in the country to levels that experts warned the Top End grid had not been upgraded to manage. A 67 per cent cut to the tariff for new systems — from 24 cents for every kilowatt hour down to eight — was rolled in with the Government's announcement this week of $30 million for a large-scale battery to support the Darwin to Katherine system. Renewables Minister Dale Wakefield said the battery and $800,000 in subsidies for more rooftop solar storage were ""two huge steps forward in our plan for 50 per cent renewables by 2030."" But she refused to say why the tariff change was made without notice, when the Government had promised consultations and a draft policy to be released last year. Mr Fowkes said solar installers were not prepared for a snap announcement but knew a policy change was coming. ""We all knew how unstable the grid was and how hard it was for Power and Water to maintain the voltage et cetera,"" he said. ""But a bit of notice, and maybe even some better timing, would have been helpful."" Ms Wakefield said Labor was continuing with ""the business of government"" while dealing with the coronavirus fallout, including its renewables and energy policies.   She acknowledged recent criticism by the Utilities Commission, which commented on ""significant changes"" in the Darwin to Katherine grid, where rooftop solar had ""exceeded expectations"" and 60 megawatts of large-scale solar was due for connection in coming months. The commission said it had to approve tough new technical requirements on large-scale solar generators to head off ""serious reliability and security issues"" on the system, partly because of a lack of government progress on its promised reforms. ""That's why it's been important for us to continue this work even throughout the COVID crisis,"" Ms Wakefield said. ""We want to make sure we've got a stable and strong power system that delivers what Territorians need."" The NT Government said its large-scale battery would save government-owned Territory Generation $6.4 million and 50,000 tonnes of greenhouse gas emissions each year. The author of the Government's Roadmap to Renewables report, Alan Langworthy, said Labor deserved credit for moving in the right direction, but he said there was much more reform work to be done. And he said there remained a ""very significant risk"" of a system crash on the Darwin to Katherine grid. ""It will be two years before the [large-scale] battery is up and going, and I'm not sure the current mechanisms for household use are going to change people's demand or generation model at all,"" he said. ""That still leaves the grid in quite a lot of vulnerability."" A Government spokesperson said the $800,000 set aside for battery subsidies would cover up to 130 grants. But about 12,000 households and businesses installed rooftop solar before the tariff change, according to retailer Jacana Energy. Under grandfathering arrangements, those customers will continue to receive the one-for-one rebate, surrendering it only if they move, upgrade their system capacity, or take up the battery subsidy. The Government said its tariff change was a recommendation from the roadmap report, but Mr Langworthy said the actual guidance was for the creation of a time-of-day feed-in tariff to encourage greater battery uptake. Using a time-of-day tariff, customers get paid more for their power if it is exported to the grid during a peak-demand period like the early evening. ""With net metering left in place there's no incentive for people to install a battery, so basically it's status quo,"" Mr Langworthy said. ""If the Government had in fact instituted a time-of-day tariff they could have gotten a good solid take-up of battery support delivering energy into the system when they really need it, which is in the 5:00 to 9:00 at night period."" Ms Wakefield said the Government was considering the time-of-day tariff proposal and would monitor the uptake of batteries going forward. She also said the Government would speak with small solar installers like Ms Fowkes, who were imploring the Government to allow a tariff-change grace period. ""We know that solar is still a great investment for people when people sit down and do the figures,"" she said. ""We know that solar business will continue to thrive in the Territory because Territorians have been voting with their feet because of the savings they can make on their bill.""",By Jacqueline Breen,"April 09, 2020"
1,/news/2020-04-09/nt-scraps-one-to-one-solar-power-feed-in-tariff-renewables/11928988?section=technology,"One-to-one solar feed-in tariff scrapped, battery subsidies announced in NT renewables changes","The phones have been ringing off the hook at Leigh Fowkes' small solar business in Katherine this week — and not in a good way.   ""Existing clients basically straight away [saying] 'put our jobs on hold',"" he told ABC Radio Darwin. Mr Fowkes said about two dozen customers had shelved plans to install rooftop solar in the wake of the sudden axing of the Northern Territory's one-to-one feed-in tariff. The generous rate at which solar system-owners were paid for excess energy sent back to the grid helped drive rooftop solar uptake in the NT from the lowest levels in the country to levels that experts warned the Top End grid had not been upgraded to manage. A 67 per cent cut to the tariff for new systems — from 24 cents for every kilowatt hour down to eight — was rolled in with the Government's announcement this week of $30 million for a large-scale battery to support the Darwin to Katherine system. Renewables Minister Dale Wakefield said the battery and $800,000 in subsidies for more rooftop solar storage were ""two huge steps forward in our plan for 50 per cent renewables by 2030."" But she refused to say why the tariff change was made without notice, when the Government had promised consultations and a draft policy to be released last year. Mr Fowkes said solar installers were not prepared for a snap announcement but knew a policy change was coming. ""We all knew how unstable the grid was and how hard it was for Power and Water to maintain the voltage et cetera,"" he said. ""But a bit of notice, and maybe even some better timing, would have been helpful."" Ms Wakefield said Labor was continuing with ""the business of government"" while dealing with the coronavirus fallout, including its renewables and energy policies.   She acknowledged recent criticism by the Utilities Commission, which commented on ""significant changes"" in the Darwin to Katherine grid, where rooftop solar had ""exceeded expectations"" and 60 megawatts of large-scale solar was due for connection in coming months. The commission said it had to approve tough new technical requirements on large-scale solar generators to head off ""serious reliability and security issues"" on the system, partly because of a lack of government progress on its promised reforms. ""That's why it's been important for us to continue this work even throughout the COVID crisis,"" Ms Wakefield said. ""We want to make sure we've got a stable and strong power system that delivers what Territorians need."" The NT Government said its large-scale battery would save government-owned Territory Generation $6.4 million and 50,000 tonnes of greenhouse gas emissions each year. The author of the Government's Roadmap to Renewables report, Alan Langworthy, said Labor deserved credit for moving in the right direction, but he said there was much more reform work to be done. And he said there remained a ""very significant risk"" of a system crash on the Darwin to Katherine grid. ""It will be two years before the [large-scale] battery is up and going, and I'm not sure the current mechanisms for household use are going to change people's demand or generation model at all,"" he said. ""That still leaves the grid in quite a lot of vulnerability."" A Government spokesperson said the $800,000 set aside for battery subsidies would cover up to 130 grants. But about 12,000 households and businesses installed rooftop solar before the tariff change, according to retailer Jacana Energy. Under grandfathering arrangements, those customers will continue to receive the one-for-one rebate, surrendering it only if they move, upgrade their system capacity, or take up the battery subsidy. The Government said its tariff change was a recommendation from the roadmap report, but Mr Langworthy said the actual guidance was for the creation of a time-of-day feed-in tariff to encourage greater battery uptake. Using a time-of-day tariff, customers get paid more for their power if it is exported to the grid during a peak-demand period like the early evening. ""With net metering left in place there's no incentive for people to install a battery, so basically it's status quo,"" Mr Langworthy said. ""If the Government had in fact instituted a time-of-day tariff they could have gotten a good solid take-up of battery support delivering energy into the system when they really need it, which is in the 5:00 to 9:00 at night period."" Ms Wakefield said the Government was considering the time-of-day tariff proposal and would monitor the uptake of batteries going forward. She also said the Government would speak with small solar installers like Ms Fowkes, who were imploring the Government to allow a tariff-change grace period. ""We know that solar is still a great investment for people when people sit down and do the figures,"" she said. ""We know that solar business will continue to thrive in the Territory because Territorians have been voting with their feet because of the savings they can make on their bill.""",By Jacqueline Breen,"April 09, 2020"
2,/news/2020-04-09/online-gaming-hits-huge-numbers-during-coronavirus-pandemic/12135714?section=technology,Online gaming is getting a big boost from the coronavirus pandemic — and experts say it's just the beginning,"Even before the coronavirus pandemic, most Australian parents would agree that online gaming was a lot more than just a growing trend.   Already a hundred-billion-dollar global industry, online gaming has become a popular pastime for many, and even a full-blown profession for some. Dedicated esports arenas, huge tournaments and the migration of traditional sport into the virtual world in recent years have proven it was already here to stay. But off the back of the coronavirus pandemic, the proliferation of online gaming in households is predicted to go to the next level. James Birt, Associate Professor in Information and Computing Science at Bond University, has studied emerging technology for the past 20 years and says he is seeing record-breaking levels of participation.   Some game manufacturers across the world have reported downloads have more than doubled, while a staggering 1.2 billion hours of content was consumed on the streaming platform Twitch in March. ""The number of people playing games is off the charts, we have never seen this many players streaming and playing simultaneously online, in the history of gaming,"" Associate Professor Birt said. Earlier this week, Twitch reported it had more than 4 million concurrent viewers on its platform for the first time, after the release of Valorant, by Riot Games. ""I think what COVID-19 has really created is this point in time that one could say, is when this movement happened,"" Associate Professor Birt said. ""Kids, esports enthusiasts, just [the] general public are getting into games in a way that they have never done in history. ""What we see now is those people that hadn't engaged in esports and gaming prior to the pandemic are now driving in droves towards new opportunities new experiences, new collaborative opportunities with friends.""     Motorsport is one of a number of Australian sports well placed during the downtime to take advantage of the booming interest and willingness of fans to watch online games. The inaugural All Stars Eseries event took place on Wednesday night and saw drivers competing remotely against each other online, in the first of 10 rounds. It was broadcast live on Fox Sports and streamed across multiple social platforms.   The competition followed the script from recent years in Supercars, with 2018 and 2019 series champion Scott McLaughlin winning two of the three races. The first two races featured the Phillip Island virtual circuit, while the final race was held using a digital version of the famous Monza track, home of the Italian Formula One grand prix. Like almost all of Australian sport, the traditional Supercars series — in which drivers and teams compete on tracks around the country — is on hold because of the pandemic. Instead, simulators have been installed in the homes of 25 drivers, who are getting used to the idea of getting suited up and racing the competition from the comfort of their own living space.   Holden driver Chaz Mostert has welcomed the initiative. ""Supercars has done all that it can to set this up so we can at least keep the fans entertained at home … I'm sure it's killing people like myself who wish we were racing, on the track, but we're making do with what we can at the moment,"" he said. ""It's a bit different, strolling down the stairs and going into the garage [to the simulator], it's a bit more unique than getting on a plane and going to a round!"" Similar moves are taking place in the United States, where NBA players have been pitted against each other in a special NBA 2K tournament, set to broadcast on ESPN. It is an example of how esports can also showcase sports stars in a unique way, by cutting to player reactions and banter over a mix of gameplay. Associate Professor Birt says many sports should be looking to take advantage of the unique opportunities that online gaming presents, given sports entertainment can now easily cross digital borders. ""The increase in the power behind the computing and the capacity to present the materials in 4K, we really are moving towards photo-realism in our games,"" he said. ""We are going to see even more dramatic increases this year with the release of things like the PlayStation 5 or the Xbox [Series X],"" he said.   Mostert himself has been blown away by the quality of the visuals in his gaming experience, and said he was interested in being able to see the races on replay to get a different perspective from the simulator. ""I think we [drivers] are like fans, we're still going to be watching [the replay] tomorrow, even though the race happened today,"" he said. ""I'm looking forward to having good on-track battles as well, it's still the same competition that we're used to out in the real world, and no doubt we'll still be racing for sheep stations in the virtual world as well."" With traditional sport still in a pandemic-induced hiatus, esports is expected to further develop its role in the Australian sporting landscape in the months ahead. ""I think there is this incredible blend between the technical capacity of esports to essentially get into people's living rooms,"" Associate Professor Birt said. ""What television hasn't been able to do is create that connection between players, the games and the brands.""    ",By Patrick Galloway,"April 09, 2020"
3,/news/2020-04-09/online-gaming-hits-huge-numbers-during-coronavirus-pandemic/12135714?section=technology,Online gaming is getting a big boost from the coronavirus pandemic — and experts say it's just the beginning,"Even before the coronavirus pandemic, most Australian parents would agree that online gaming was a lot more than just a growing trend.   Already a hundred-billion-dollar global industry, online gaming has become a popular pastime for many, and even a full-blown profession for some. Dedicated esports arenas, huge tournaments and the migration of traditional sport into the virtual world in recent years have proven it was already here to stay. But off the back of the coronavirus pandemic, the proliferation of online gaming in households is predicted to go to the next level. James Birt, Associate Professor in Information and Computing Science at Bond University, has studied emerging technology for the past 20 years and says he is seeing record-breaking levels of participation.   Some game manufacturers across the world have reported downloads have more than doubled, while a staggering 1.2 billion hours of content was consumed on the streaming platform Twitch in March. ""The number of people playing games is off the charts, we have never seen this many players streaming and playing simultaneously online, in the history of gaming,"" Associate Professor Birt said. Earlier this week, Twitch reported it had more than 4 million concurrent viewers on its platform for the first time, after the release of Valorant, by Riot Games. ""I think what COVID-19 has really created is this point in time that one could say, is when this movement happened,"" Associate Professor Birt said. ""Kids, esports enthusiasts, just [the] general public are getting into games in a way that they have never done in history. ""What we see now is those people that hadn't engaged in esports and gaming prior to the pandemic are now driving in droves towards new opportunities new experiences, new collaborative opportunities with friends.""     Motorsport is one of a number of Australian sports well placed during the downtime to take advantage of the booming interest and willingness of fans to watch online games. The inaugural All Stars Eseries event took place on Wednesday night and saw drivers competing remotely against each other online, in the first of 10 rounds. It was broadcast live on Fox Sports and streamed across multiple social platforms.   The competition followed the script from recent years in Supercars, with 2018 and 2019 series champion Scott McLaughlin winning two of the three races. The first two races featured the Phillip Island virtual circuit, while the final race was held using a digital version of the famous Monza track, home of the Italian Formula One grand prix. Like almost all of Australian sport, the traditional Supercars series — in which drivers and teams compete on tracks around the country — is on hold because of the pandemic. Instead, simulators have been installed in the homes of 25 drivers, who are getting used to the idea of getting suited up and racing the competition from the comfort of their own living space.   Holden driver Chaz Mostert has welcomed the initiative. ""Supercars has done all that it can to set this up so we can at least keep the fans entertained at home … I'm sure it's killing people like myself who wish we were racing, on the track, but we're making do with what we can at the moment,"" he said. ""It's a bit different, strolling down the stairs and going into the garage [to the simulator], it's a bit more unique than getting on a plane and going to a round!"" Similar moves are taking place in the United States, where NBA players have been pitted against each other in a special NBA 2K tournament, set to broadcast on ESPN. It is an example of how esports can also showcase sports stars in a unique way, by cutting to player reactions and banter over a mix of gameplay. Associate Professor Birt says many sports should be looking to take advantage of the unique opportunities that online gaming presents, given sports entertainment can now easily cross digital borders. ""The increase in the power behind the computing and the capacity to present the materials in 4K, we really are moving towards photo-realism in our games,"" he said. ""We are going to see even more dramatic increases this year with the release of things like the PlayStation 5 or the Xbox [Series X],"" he said.   Mostert himself has been blown away by the quality of the visuals in his gaming experience, and said he was interested in being able to see the races on replay to get a different perspective from the simulator. ""I think we [drivers] are like fans, we're still going to be watching [the replay] tomorrow, even though the race happened today,"" he said. ""I'm looking forward to having good on-track battles as well, it's still the same competition that we're used to out in the real world, and no doubt we'll still be racing for sheep stations in the virtual world as well."" With traditional sport still in a pandemic-induced hiatus, esports is expected to further develop its role in the Australian sporting landscape in the months ahead. ""I think there is this incredible blend between the technical capacity of esports to essentially get into people's living rooms,"" Associate Professor Birt said. ""What television hasn't been able to do is create that connection between players, the games and the brands.""    ",By Patrick Galloway,"April 09, 2020"
4,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320?section=technology,Pink supermoon just what the coronavirus lockdown doctor ordered,"So you've been cooped up in a global pandemic, caning the bandwidth, Marie Kondo-ing the cupboards and creating mini tent cities to entertain the kids.   Never fear. There's a circuit-breaker on the way tonight and all have you have to do is look up. A supermoon tipped to be the biggest this year will grace southern hemisphere skies. It has already made an appearance in the northern hemisphere, where it was reported to be the largest supermoon of the year. A supermoon occurs when a full moon is especially close to the Earth, making it look up to 10 per cent bigger and brighter than normal. This one will be a mere 356,907 kilometres away. These moons have many types: super blue blood moon and super blood wolf moon are just two. Tonight's is called a pink supermoon. In northern climes, the April supermoon is so named because it often arrives at the same time as early spring pink phlox flowers. The best time to see it will be 11:00pm AEST. If you want to get ahead of the game, use a phone app to work out where it will be rising. You might have seen those seemingly massive moons rising early in the evening throughout March. They are an illusion and are just being tricky. The moon this time of year might look closer earlier in the evening, but the tip is to set the alarm for a bit later. By 11:00pm, it will be higher in the sky.   People in the northern hemisphere have reported the lack of pollution in some centres — where industry has been reduced or entirely shut down by coronavirus restrictions — has given them the best supermoon view for some time. Here, where pollution is not the main enemy, fingers will be crossed for a cloud-free night.  Sydney is not looking great and cloudy conditions are forecast in Melbourne, Brisbane and Canberra as well. Darwin will have a bit of cloud around but Perth and Adelaide look to be clear. The best Tasmanian locations will be in the south. If you want to snap a photo at home, there are some things to remember: Don't expect wonders from your smartphone.  While their cameras are getting better and better, they can still distort the image and make the Moon look quite small. You could try zooming in (although digital zoom will reduce the quality) or attaching your phone to a telescope. A tripod or a solid surface like a windowsill can help get a sharp picture, and turning off lights nearby can also help. And remember, having something like a tree or building in the frame can give it more context. For those with DSLRs, you already know what you're doing; the longer the lens, the better.  ",By                                 Ros Lehman,"April 08, 2020"
5,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320?section=technology,Pink supermoon just what the coronavirus lockdown doctor ordered,"So you've been cooped up in a global pandemic, caning the bandwidth, Marie Kondo-ing the cupboards and creating mini tent cities to entertain the kids.   Never fear. There's a circuit-breaker on the way tonight and all have you have to do is look up. A supermoon tipped to be the biggest this year will grace southern hemisphere skies. It has already made an appearance in the northern hemisphere, where it was reported to be the largest supermoon of the year. A supermoon occurs when a full moon is especially close to the Earth, making it look up to 10 per cent bigger and brighter than normal. This one will be a mere 356,907 kilometres away. These moons have many types: super blue blood moon and super blood wolf moon are just two. Tonight's is called a pink supermoon. In northern climes, the April supermoon is so named because it often arrives at the same time as early spring pink phlox flowers. The best time to see it will be 11:00pm AEST. If you want to get ahead of the game, use a phone app to work out where it will be rising. You might have seen those seemingly massive moons rising early in the evening throughout March. They are an illusion and are just being tricky. The moon this time of year might look closer earlier in the evening, but the tip is to set the alarm for a bit later. By 11:00pm, it will be higher in the sky.   People in the northern hemisphere have reported the lack of pollution in some centres — where industry has been reduced or entirely shut down by coronavirus restrictions — has given them the best supermoon view for some time. Here, where pollution is not the main enemy, fingers will be crossed for a cloud-free night.  Sydney is not looking great and cloudy conditions are forecast in Melbourne, Brisbane and Canberra as well. Darwin will have a bit of cloud around but Perth and Adelaide look to be clear. The best Tasmanian locations will be in the south. If you want to snap a photo at home, there are some things to remember: Don't expect wonders from your smartphone.  While their cameras are getting better and better, they can still distort the image and make the Moon look quite small. You could try zooming in (although digital zoom will reduce the quality) or attaching your phone to a telescope. A tripod or a solid surface like a windowsill can help get a sharp picture, and turning off lights nearby can also help. And remember, having something like a tree or building in the frame can give it more context. For those with DSLRs, you already know what you're doing; the longer the lens, the better.  ",By                                 Ros Lehman,"April 08, 2020"
6,/news/2020-04-08/students-facing-internet-access-challenges-with-online-learning/12130712?section=technology,SA schools' online learning set-ups to highlight internet and technology access disparities,"School time is going to be severely reduced for some of the nation's poorest students as classes move online, with many families struggling to afford internet and digital devices for their children.   It is a problem experts warn could worsen Australia's educational divide unless the government steps up. Seventy per cent of the families at Playford College in Adelaide's north are on welfare. Many families at the school can barely afford books, let alone a laptop or a decent home internet plan. It's not uncommon for four students to be sharing one laptop at home, according to the school's deputy principal Racha Makki.   She feared online schooling would further set back her students' educational outcomes. ""There is a chance that the only device at home is for the parents; you might have three to four children who attend primary school in the same household and all these children are expected to be online in many cases at the same time,"" she said. ""Internet is a problem as well; in many cases internet is on one device which is for the mum or the dad. ""If we don't provide for our kids what they need, they will be even more disadvantaged."" Like many schools, Playford College teachers are going above and beyond to find work around solutions, including staggering lesson times via year level so each student in a family can still get some time with their teacher each day.   The school, which opened four years ago, supplies a laptop for every middle school student and has loaned out all remaining laptops and tablets to families in need. But principal Chris Riemann said there was still a significant shortage. He said the school community had an added challenge, as most of its students spoke languages other than English at home. ""Our students already start behind many school populations just because of English … the school does very well with intensive English to get the children up to speed, but they can't do that in a home learning environment,"" he said. ""They're serious challenges for our community. ""If the government could provide technology at home for disadvantaged families like ours, families on welfare, then that would be incredibly helpful.""   University of South Australia associate professor Sue Nichols said digital disadvantage had become a widespread problem in Australia and the Government and the community needed to step up to help out these students. ""We're going to need to bring all our resources to the table, that includes community organisations, philanthropics, universities as well and the governments,"" she said. ""We've known that this gap, not just a digital gap but a resource gap, has been around for quite some time; this is the time where we can really step up. ""We need to come up with some creative, whole of community efforts to make sure that no child goes short of educational resource or provision."" She said while teachers were taking on a lot of extra work to find solutions, it would be worth the effort in the long-run. ""We wind up with a really useful resource and we wind up with a lot of digitised material,"" she said.  ",By Claire Campbell,"April 08, 2020"
7,/news/2020-04-08/students-facing-internet-access-challenges-with-online-learning/12130712?section=technology,SA schools' online learning set-ups to highlight internet and technology access disparities,"School time is going to be severely reduced for some of the nation's poorest students as classes move online, with many families struggling to afford internet and digital devices for their children.   It is a problem experts warn could worsen Australia's educational divide unless the government steps up. Seventy per cent of the families at Playford College in Adelaide's north are on welfare. Many families at the school can barely afford books, let alone a laptop or a decent home internet plan. It's not uncommon for four students to be sharing one laptop at home, according to the school's deputy principal Racha Makki.   She feared online schooling would further set back her students' educational outcomes. ""There is a chance that the only device at home is for the parents; you might have three to four children who attend primary school in the same household and all these children are expected to be online in many cases at the same time,"" she said. ""Internet is a problem as well; in many cases internet is on one device which is for the mum or the dad. ""If we don't provide for our kids what they need, they will be even more disadvantaged."" Like many schools, Playford College teachers are going above and beyond to find work around solutions, including staggering lesson times via year level so each student in a family can still get some time with their teacher each day.   The school, which opened four years ago, supplies a laptop for every middle school student and has loaned out all remaining laptops and tablets to families in need. But principal Chris Riemann said there was still a significant shortage. He said the school community had an added challenge, as most of its students spoke languages other than English at home. ""Our students already start behind many school populations just because of English … the school does very well with intensive English to get the children up to speed, but they can't do that in a home learning environment,"" he said. ""They're serious challenges for our community. ""If the government could provide technology at home for disadvantaged families like ours, families on welfare, then that would be incredibly helpful.""   University of South Australia associate professor Sue Nichols said digital disadvantage had become a widespread problem in Australia and the Government and the community needed to step up to help out these students. ""We're going to need to bring all our resources to the table, that includes community organisations, philanthropics, universities as well and the governments,"" she said. ""We've known that this gap, not just a digital gap but a resource gap, has been around for quite some time; this is the time where we can really step up. ""We need to come up with some creative, whole of community efforts to make sure that no child goes short of educational resource or provision."" She said while teachers were taking on a lot of extra work to find solutions, it would be worth the effort in the long-run. ""We wind up with a really useful resource and we wind up with a lot of digitised material,"" she said.  ",By Claire Campbell,"April 08, 2020"
8,/news/2020-04-08/whatsapp-youtube-coronavirus-conspiracies-5g-network/12131842?section=technology,WhatsApp and YouTube are cracking down on coronavirus conspiracies and misinformation,"While health authorities are working to stop the spread of coronavirus, social media giants are facing a contagion of their own: conspiracy theories.  And in a bid to crack down on what the World Health Organisation has labelled an ""infodemic"" of misinformation, you may find yourself facing restrictions in the digital world as well. WhatsApp, which has more than 2 billion users worldwide, has announced it is tightening message forwarding limits, restricting users to sharing forwarded content one chat at a time. The decision follows a jump in messages touting bogus medical advice since the start of the coronavirus crisis.   ""Is all forwarding bad? Certainly not. We know many users forward helpful information, as well as funny videos, memes, and reflections or prayers they find meaningful,"" the company said in a statement. ""However, we've seen a significant increase in the amount of forwarding which users have told us can feel overwhelming and can contribute to the spread of misinformation.  ""We believe it's important to slow the spread of these messages down to keep WhatsApp a place for personal conversation.""     WhatsApp isn't alone in its bid to limit the spread of misinformation. YouTube has now banned all conspiracy theory videos falsely linking coronavirus symptoms to 5G networks, according to the BBC.   The conspiracy, which claims there's a direct link between 5G equipment and the COVID-19 outbreak, has sparked arson attacks on mobile phone masts in the United Kingdom. In a live-streamed interview on YouTube on Monday, conspiracy theorist David Icke — who was last year banned from entering Australia — falsely claimed there is a ""link between 5G and this health crisis"". Following criticisms for allowing the video, which was watched by about 65,000 people, to be broadcast on its platform, the company told the BBC it would be removed, alongside any content disputing the ""existence or transmission"" of COVID-19. ""We have clear policies that prohibit videos promoting medically unsubstantiated methods to prevent the coronavirus in place of seeking medical treatment,"" a spokeswoman told the news outlet. ""Now any content that disputes the existence or transmission of COVID-19, as described by the WHO and local health authorities is in violation of YouTube policies. ""This includes conspiracy theories which claim that the symptoms are caused by 5G.""   YouTube has been contacted for further response. Facebook and Twitter have also responded to the deluge of inaccurate medical information posted in recent months by barring users from posting misleading information about coronavirus, including denials of expert guidance and encouragement of fake treatments. ABC/AP    ",By Bridget Judd and wires,"April 08, 2020"
9,/news/2020-04-08/whatsapp-youtube-coronavirus-conspiracies-5g-network/12131842?section=technology,WhatsApp and YouTube are cracking down on coronavirus conspiracies and misinformation,"While health authorities are working to stop the spread of coronavirus, social media giants are facing a contagion of their own: conspiracy theories.  And in a bid to crack down on what the World Health Organisation has labelled an ""infodemic"" of misinformation, you may find yourself facing restrictions in the digital world as well. WhatsApp, which has more than 2 billion users worldwide, has announced it is tightening message forwarding limits, restricting users to sharing forwarded content one chat at a time. The decision follows a jump in messages touting bogus medical advice since the start of the coronavirus crisis.   ""Is all forwarding bad? Certainly not. We know many users forward helpful information, as well as funny videos, memes, and reflections or prayers they find meaningful,"" the company said in a statement. ""However, we've seen a significant increase in the amount of forwarding which users have told us can feel overwhelming and can contribute to the spread of misinformation.  ""We believe it's important to slow the spread of these messages down to keep WhatsApp a place for personal conversation.""     WhatsApp isn't alone in its bid to limit the spread of misinformation. YouTube has now banned all conspiracy theory videos falsely linking coronavirus symptoms to 5G networks, according to the BBC.   The conspiracy, which claims there's a direct link between 5G equipment and the COVID-19 outbreak, has sparked arson attacks on mobile phone masts in the United Kingdom. In a live-streamed interview on YouTube on Monday, conspiracy theorist David Icke — who was last year banned from entering Australia — falsely claimed there is a ""link between 5G and this health crisis"". Following criticisms for allowing the video, which was watched by about 65,000 people, to be broadcast on its platform, the company told the BBC it would be removed, alongside any content disputing the ""existence or transmission"" of COVID-19. ""We have clear policies that prohibit videos promoting medically unsubstantiated methods to prevent the coronavirus in place of seeking medical treatment,"" a spokeswoman told the news outlet. ""Now any content that disputes the existence or transmission of COVID-19, as described by the WHO and local health authorities is in violation of YouTube policies. ""This includes conspiracy theories which claim that the symptoms are caused by 5G.""   YouTube has been contacted for further response. Facebook and Twitter have also responded to the deluge of inaccurate medical information posted in recent months by barring users from posting misleading information about coronavirus, including denials of expert guidance and encouragement of fake treatments. ABC/AP    ",By Bridget Judd and wires,"April 08, 2020"
