,link,header,article,author,date
0,/environment/conservation/peter-pan-effect-why-reef-killing-crown-of-thorns-starfish-more-dangerous-than-previously-thought-20200407-p54hxr.html,'Peter Pan effect': Why reef-killing crown-of-thorns starfish more dangerous than previously thought,"The crown-of-thorns starfish that devastated sections of the Great Barrier Reef has been found to be even more resilient than scientists thought, with juveniles able to live for years eating only algae, before switching to a diet of coral upon reaching maturity. “This Peter Pan effect means that populations of juvenile crown-of-thorns starfish can build up on reefs in the absence of coral,” said Dione Deaker, a PhD student at the University of Sydney, who led research on the animals that has just been published in the journal Biology Letters. “They could become a hidden army waiting to consume reefs as the reefs recover.” Replay   She said the research suggested that when reefs struck by bleaching recovered, they could be attacked by outbreaks of young starfish. Researchers grew two groups of starfish to the age of 10 months and 6½ years respectively, preventing them from eating coral. They found both groups grew to the same maximum size of 16 to 18 millimetres, and that the second group had no trouble switching to a coral diet at the age of 6.5 years. Once on a coral diet, the starfish could rapidly grow to up to a metre in length and consume a square metre of reef in a day or two, said Professor Maria Byrne, who supervised the research. She said it was long understood that other predatory starfish around the world switched from a herbivorous diet as they matured, but that the research had never been done on the crown-of-thorns. The starfish can do extreme damage to the reef when their numbers increase from time to time. It is thought that nutrient rich agricultural run-off might have spurred increased numbers of crown-of-thorns at their larval stage, while overfishing might have reduced the number of predator fish that might have curbed their numbers as juveniles, causing population breakouts. The Great Barrier Reef is suffering from the fifth and most extensive mass bleaching event since 1998, with severe bleaching hitting its northern, central and southern sectors. Due to climate change, the reef is now suffering such events without El Nino weather events triggering them, professors Terry Hughes and Morgan Pratchett wrote in The Conversation website this week. “The Great Barrier Reef will continue to lose corals from heat stress, until global emissions of greenhouse gases are reduced to net zero, and sea temperatures stabilise,” they wrote. “Without urgent action to achieve this outcome, it’s clear our coral reefs will not survive business-as-usual emissions.” Copyright © 2020", Nick O'Malley ,"April 8, 2020"
1,/environment/conservation/peter-pan-effect-why-reef-killing-crown-of-thorns-starfish-more-dangerous-than-previously-thought-20200407-p54hxr.html,'Peter Pan effect': Why reef-killing crown-of-thorns starfish more dangerous than previously thought,"The crown-of-thorns starfish that devastated sections of the Great Barrier Reef has been found to be even more resilient than scientists thought, with juveniles able to live for years eating only algae, before switching to a diet of coral upon reaching maturity. “This Peter Pan effect means that populations of juvenile crown-of-thorns starfish can build up on reefs in the absence of coral,” said Dione Deaker, a PhD student at the University of Sydney, who led research on the animals that has just been published in the journal Biology Letters. “They could become a hidden army waiting to consume reefs as the reefs recover.” Replay   She said the research suggested that when reefs struck by bleaching recovered, they could be attacked by outbreaks of young starfish. Researchers grew two groups of starfish to the age of 10 months and 6½ years respectively, preventing them from eating coral. They found both groups grew to the same maximum size of 16 to 18 millimetres, and that the second group had no trouble switching to a coral diet at the age of 6.5 years. Once on a coral diet, the starfish could rapidly grow to up to a metre in length and consume a square metre of reef in a day or two, said Professor Maria Byrne, who supervised the research. She said it was long understood that other predatory starfish around the world switched from a herbivorous diet as they matured, but that the research had never been done on the crown-of-thorns. The starfish can do extreme damage to the reef when their numbers increase from time to time. It is thought that nutrient rich agricultural run-off might have spurred increased numbers of crown-of-thorns at their larval stage, while overfishing might have reduced the number of predator fish that might have curbed their numbers as juveniles, causing population breakouts. The Great Barrier Reef is suffering from the fifth and most extensive mass bleaching event since 1998, with severe bleaching hitting its northern, central and southern sectors. Due to climate change, the reef is now suffering such events without El Nino weather events triggering them, professors Terry Hughes and Morgan Pratchett wrote in The Conversation website this week. “The Great Barrier Reef will continue to lose corals from heat stress, until global emissions of greenhouse gases are reduced to net zero, and sea temperatures stabilise,” they wrote. “Without urgent action to achieve this outcome, it’s clear our coral reefs will not survive business-as-usual emissions.” Copyright © 2020", Nick O'Malley ,"April 8, 2020"
2,/environment/climate-change/firies-cleared-for-hazard-reduction-burns-but-with-new-hygiene-rules-20200406-p54hnv.html,Firies cleared for hazard reduction burns but with new hygiene rules,"Queensland's rural fire volunteers can continue to conduct hazard-reduction burns to reduce bushfire risks and manage vegetation despite stringent social-distancing rules to prevent the spread of COVID-19, fire authorities say. But bosses have told brigades to prioritise burns that benefit the wider community and they must work under new hygiene requirements. Queensland firefighters at work on a backburn (file image).Credit:File/Martin Jones It comes after some confusion among local volunteers over how social distancing would affect their ability to assist landowners to reduce fuel loads during the coming cooler months. The effectiveness of hazard reduction in national parks and on private land came under intense scrutiny in the wake of the devastating fires of the last bushfire season, but the coronavirus emergency struck just as that crisis ended. Queensland Fire and Emergency Services Assistant Commissioner John Bolger last week emailed regional commanders to tell them hazard reduction burns as part of the annual fire mitigation effort, known as Operation Cool Burn, must go on. ""The experience of recent years that the bushfire season is starting earlier and that the weather window for hazard reduction burning is narrowing. It is therefore critical that, with our partners, we seize the opportunity to deliver the best mitigation efforts we can between now and August, adapting to the COVID-19 situation as needed,"" he wrote in the email, obtained by Brisbane Times. But Assistant Commissioner Bolger warned that new rules would apply to limit physical contact between firefighters and the public, and to improve hygiene during operations. ""It may no longer be possible to conduct door knocks or street meets so we may need to consider letter box drops to inform our communities,"" he wrote. ""Only a few weeks ago, most meetings were held face to face, now we are all getting used to meeting via Skype, Microsoft Teams, Zoom and so on. We need to have a similarly flexible approach to achieving the desired outcomes of Operation Cool Burn."" Volunteers have been told to clean fire trucks before and after operations with soap or alcohol-based cleaners, and avoid sharing equipment such as radios, hand tools and the drip torches used to light fires. Fire trucks did not need to carry a crew member in every available seat and crews should not move between vehicles unnecessarily, the email said. New policies also appear to acknowledge that residents are more likely to be at home than during previous operations. ""In terms of burns, we need to pay particular attention to where the smoke may go and be wary of any conditions which may settle plumes over areas with large numbers of people,"" Assistant Commissioner Bolger told commanders. ""I urge sharing of ideas to help; however, it is important that, in managing the risk of COVID-19, we do not lose sight of the need to manage the risk of the coming bushfire season to our communities."" In a statement, QFES said it had ""sought and received assurances from Queensland Health that Rural Fire Service brigades can continue to engage in bushfire mitigation activities, including hazard reduction burns"". ""Hazard mitigation is considered an essential service, which means more than two people can gather to perform controlled burns."" Justin Choveaux, general manager of the Rural Fire Brigades Association of Queensland, which represents volunteer firies, said regional commanders had not had a consistent position on priorities amid the health crisis. ""The reason these emails keep coming out is because the regions have been sending out different messages,"" he said. ""There is a state-wide policy but there is a regional interpretation. ""Some said it’s OK to do stack burns (small-scale burning of piles of timber or vegetation) and others said it wasn’t."" Mr Choveaux said a new command structure implemented a year ago had created a cadre of ""cardinals of the QFES church"" in charge of the regions. ""None of them have volunteer or rural experience,"" he said. A spokeswoman for the Department of Environment said ""all efforts were being made"" to implement planned burns in national parks ""in accordance with the advice from Queensland Health"". ""DES is working with QFES to continue to support the delivery of operation Cool Burn 2020 and both agencies are committed to implementing planned burns while adhering to health and social distancing advice associated with COVID-19."" New rules requiring volunteers to obtain Blue Cards, following government legal advice that they could be considered to provide a ""health service"" to children, have caused a backlash among brigade members and prompted concerns of a drop-off in crew numbers. QFES said 5500 volunteers still needed to apply for a card, or one in three of the total of 17,400 members. A QFES spokesperson said volunteers who did not apply would receive a letter at the end of this month warning them they would not be able to work unless they obtained the card. ""Those who decline to apply for a Blue Card will be choosing not to continue in their role and will not be able to respond to incidents. This will not affect QFES’ ability to maintain an effective fire and emergency service response."" Other Australian states have not applied similar rules. Police and paramedics in Queensland are not required to obtain Blue Cards. Copyright © 2020", Mark Solomons ,"April 7, 2020"
3,/environment/climate-change/firies-cleared-for-hazard-reduction-burns-but-with-new-hygiene-rules-20200406-p54hnv.html,Firies cleared for hazard reduction burns but with new hygiene rules,"Queensland's rural fire volunteers can continue to conduct hazard-reduction burns to reduce bushfire risks and manage vegetation despite stringent social-distancing rules to prevent the spread of COVID-19, fire authorities say. But bosses have told brigades to prioritise burns that benefit the wider community and they must work under new hygiene requirements. Queensland firefighters at work on a backburn (file image).Credit:File/Martin Jones It comes after some confusion among local volunteers over how social distancing would affect their ability to assist landowners to reduce fuel loads during the coming cooler months. The effectiveness of hazard reduction in national parks and on private land came under intense scrutiny in the wake of the devastating fires of the last bushfire season, but the coronavirus emergency struck just as that crisis ended. Queensland Fire and Emergency Services Assistant Commissioner John Bolger last week emailed regional commanders to tell them hazard reduction burns as part of the annual fire mitigation effort, known as Operation Cool Burn, must go on. ""The experience of recent years that the bushfire season is starting earlier and that the weather window for hazard reduction burning is narrowing. It is therefore critical that, with our partners, we seize the opportunity to deliver the best mitigation efforts we can between now and August, adapting to the COVID-19 situation as needed,"" he wrote in the email, obtained by Brisbane Times. But Assistant Commissioner Bolger warned that new rules would apply to limit physical contact between firefighters and the public, and to improve hygiene during operations. ""It may no longer be possible to conduct door knocks or street meets so we may need to consider letter box drops to inform our communities,"" he wrote. ""Only a few weeks ago, most meetings were held face to face, now we are all getting used to meeting via Skype, Microsoft Teams, Zoom and so on. We need to have a similarly flexible approach to achieving the desired outcomes of Operation Cool Burn."" Volunteers have been told to clean fire trucks before and after operations with soap or alcohol-based cleaners, and avoid sharing equipment such as radios, hand tools and the drip torches used to light fires. Fire trucks did not need to carry a crew member in every available seat and crews should not move between vehicles unnecessarily, the email said. New policies also appear to acknowledge that residents are more likely to be at home than during previous operations. ""In terms of burns, we need to pay particular attention to where the smoke may go and be wary of any conditions which may settle plumes over areas with large numbers of people,"" Assistant Commissioner Bolger told commanders. ""I urge sharing of ideas to help; however, it is important that, in managing the risk of COVID-19, we do not lose sight of the need to manage the risk of the coming bushfire season to our communities."" In a statement, QFES said it had ""sought and received assurances from Queensland Health that Rural Fire Service brigades can continue to engage in bushfire mitigation activities, including hazard reduction burns"". ""Hazard mitigation is considered an essential service, which means more than two people can gather to perform controlled burns."" Justin Choveaux, general manager of the Rural Fire Brigades Association of Queensland, which represents volunteer firies, said regional commanders had not had a consistent position on priorities amid the health crisis. ""The reason these emails keep coming out is because the regions have been sending out different messages,"" he said. ""There is a state-wide policy but there is a regional interpretation. ""Some said it’s OK to do stack burns (small-scale burning of piles of timber or vegetation) and others said it wasn’t."" Mr Choveaux said a new command structure implemented a year ago had created a cadre of ""cardinals of the QFES church"" in charge of the regions. ""None of them have volunteer or rural experience,"" he said. A spokeswoman for the Department of Environment said ""all efforts were being made"" to implement planned burns in national parks ""in accordance with the advice from Queensland Health"". ""DES is working with QFES to continue to support the delivery of operation Cool Burn 2020 and both agencies are committed to implementing planned burns while adhering to health and social distancing advice associated with COVID-19."" New rules requiring volunteers to obtain Blue Cards, following government legal advice that they could be considered to provide a ""health service"" to children, have caused a backlash among brigade members and prompted concerns of a drop-off in crew numbers. QFES said 5500 volunteers still needed to apply for a card, or one in three of the total of 17,400 members. A QFES spokesperson said volunteers who did not apply would receive a letter at the end of this month warning them they would not be able to work unless they obtained the card. ""Those who decline to apply for a Blue Card will be choosing not to continue in their role and will not be able to respond to incidents. This will not affect QFES’ ability to maintain an effective fire and emergency service response."" Other Australian states have not applied similar rules. Police and paramedics in Queensland are not required to obtain Blue Cards. Copyright © 2020", Mark Solomons ,"April 7, 2020"
4,/environment/sustainability/ny-zoo-vet-on-confirmed-cases-of-covid-in-animals-20200407-p54hpj.html,,Replay   Copyright © 2020,,
5,/environment/sustainability/ny-zoo-vet-on-confirmed-cases-of-covid-in-animals-20200407-p54hpj.html,,Replay   Copyright © 2020,,
6,/environment/climate-change/deadly-pollutant-surged-by-3000-per-cent-at-coal-fired-power-plant-20200406-p54hld.html,Deadly pollutant surged by 3000 per cent at coal-fired power plant,"The amount of dangerous fine particle pollution emitted by the Vales Point coal-fired power station on the NSW Central Coast has increased by 3000 per cent over the past six years and 181 percent last year. Last year the Yallourn power station in Victoria increased its emissions of the same pollutant by 82 per cent and the amount from the Gladstone power station in Queensland increased by 23 per cent. Environmental Justice Australia reported the increase in fine particle emissions after analysing data gathered and published by energy companies for the National Pollutant Inventory. Vales Point is operated by Delta Electricity, whose company secretary Steve Gurney told The Sydney Morning Herald and The Age that the fine particulate pollution, known as PM2.5, appeared to have increased “a little bit” last year because the station’s filters needed replacing at the time testing was conducted. He did not address the 3000 per cent increase since 2013. Over the same period Vales Point increased the amount of power it generated by 63 per cent. Fine particle emissions from the Vales Point Power Station have increased by 3000 per cent over the past six years.Credit:Peter Rae A spokesman for EnergyAustralia, which operates the Yallourn power station, said that in 2018 power production from Yallourn was down by about 6 per cent and most emissions that power generators are required to report on were also down. But he did not explain the 82 per cent increase in PM2.5 emissions in the year to 2019. According to a State of Global Air study released in 2018, exposure to PM2.5 emissions contributed to 4.1 million deaths around the world from heart disease and stroke, lung cancer, chronic lung disease, and respiratory infections in 2016. Nicola Rivers, from Environmental Justice Australia, said the jump in emissions was extraordinary. Nicola Rivers, the head of research with Environmental Justice Australia,  said that it appeared that the only reasons for the extraordinary jump in PM2.5 pollution from Vales Point could be that the reported figures were wrong, or its pollution abatement systems had not been turned on or that they had failed. She said the jump in emissions from the Yallourn power station appeared to confirm Environmental Justice Australia’s concerns that the station’s electrostatic precipitators - equipment used to capture particulate pollution - were not functioning properly. Asked if this was the case, EnergyAustralia did not address the question directly, but said in a statement, “The performance of Yallourn power station’s precipitators is monitored, and the equipment subject to routine maintenance as well as third-party independent checks from time to time to identify areas needing attention.” Environmental Justice Australia has been seeking information about Yallourn’s electrostatic precipitators via a freedom of information request, which is currently the subject of a legal dispute. Environmental Justice Australia is a public interest legal organisation. Its lawyers act on behalf of people and community organisations to safeguard health and the environment. The National Pollution Inventory was established by the state and federal governments to monitor pollutants and promote better air quality standards. ""It’s clear it has fallen short of that objective and that strong policy, laws and regulations are required to force coal-fired power stations to clean up their act,” said Ms Rivers. Vales Point and Yallourn are two of the oldest coal fired power stations in Australia. Due to its age, Vales Point was sold by the NSW government to the energy entrepreneur Trevor St Baker for $1 million in 2015, only to be revalued at $730 million in 2017 after demand increased. Its operators have sought government grants to help extend its life.   Nick O'Malley is National Environment and Climate Editor for The Sydney Morning Herald and The Age. He is also a senior writer and a former US correspondent. Copyright © 2020", Nick O'Malley ,"April 7, 2020"
7,/environment/climate-change/deadly-pollutant-surged-by-3000-per-cent-at-coal-fired-power-plant-20200406-p54hld.html,Deadly pollutant surged by 3000 per cent at coal-fired power plant,"The amount of dangerous fine particle pollution emitted by the Vales Point coal-fired power station on the NSW Central Coast has increased by 3000 per cent over the past six years and 181 percent last year. Last year the Yallourn power station in Victoria increased its emissions of the same pollutant by 82 per cent and the amount from the Gladstone power station in Queensland increased by 23 per cent. Environmental Justice Australia reported the increase in fine particle emissions after analysing data gathered and published by energy companies for the National Pollutant Inventory. Vales Point is operated by Delta Electricity, whose company secretary Steve Gurney told The Sydney Morning Herald and The Age that the fine particulate pollution, known as PM2.5, appeared to have increased “a little bit” last year because the station’s filters needed replacing at the time testing was conducted. He did not address the 3000 per cent increase since 2013. Over the same period Vales Point increased the amount of power it generated by 63 per cent. Fine particle emissions from the Vales Point Power Station have increased by 3000 per cent over the past six years.Credit:Peter Rae A spokesman for EnergyAustralia, which operates the Yallourn power station, said that in 2018 power production from Yallourn was down by about 6 per cent and most emissions that power generators are required to report on were also down. But he did not explain the 82 per cent increase in PM2.5 emissions in the year to 2019. According to a State of Global Air study released in 2018, exposure to PM2.5 emissions contributed to 4.1 million deaths around the world from heart disease and stroke, lung cancer, chronic lung disease, and respiratory infections in 2016. Nicola Rivers, from Environmental Justice Australia, said the jump in emissions was extraordinary. Nicola Rivers, the head of research with Environmental Justice Australia,  said that it appeared that the only reasons for the extraordinary jump in PM2.5 pollution from Vales Point could be that the reported figures were wrong, or its pollution abatement systems had not been turned on or that they had failed. She said the jump in emissions from the Yallourn power station appeared to confirm Environmental Justice Australia’s concerns that the station’s electrostatic precipitators - equipment used to capture particulate pollution - were not functioning properly. Asked if this was the case, EnergyAustralia did not address the question directly, but said in a statement, “The performance of Yallourn power station’s precipitators is monitored, and the equipment subject to routine maintenance as well as third-party independent checks from time to time to identify areas needing attention.” Environmental Justice Australia has been seeking information about Yallourn’s electrostatic precipitators via a freedom of information request, which is currently the subject of a legal dispute. Environmental Justice Australia is a public interest legal organisation. Its lawyers act on behalf of people and community organisations to safeguard health and the environment. The National Pollution Inventory was established by the state and federal governments to monitor pollutants and promote better air quality standards. ""It’s clear it has fallen short of that objective and that strong policy, laws and regulations are required to force coal-fired power stations to clean up their act,” said Ms Rivers. Vales Point and Yallourn are two of the oldest coal fired power stations in Australia. Due to its age, Vales Point was sold by the NSW government to the energy entrepreneur Trevor St Baker for $1 million in 2015, only to be revalued at $730 million in 2017 after demand increased. Its operators have sought government grants to help extend its life.   Nick O'Malley is National Environment and Climate Editor for The Sydney Morning Herald and The Age. He is also a senior writer and a former US correspondent. Copyright © 2020", Nick O'Malley ,"April 7, 2020"
8,/environment/conservation/environmental-vandalism-state-s-response-to-secret-land-audit-blasted-20200403-p54gu1.html,'Environmental vandalism': State's response to secret land audit blasted,"The Berejiklian government's response to a confidential audit of new native vegetation laws that found a 13-fold jump in land clearing, and its refusal to consider appointing an independent umpire to preserve key wildlife, has been condemned as ""totally inadequate"". A week after Agriculture Minister Adam Marshall released the highly critical secret review of the new laws by the Natural Resources Commission - that ministers had sat on for eight months - the government issued its formal response. The government ""noted"" or gave ""support in principle"" to most of the recommendations, such as backing a ""process to allow for the monitoring of unexplained clearing"". It gave no firm commitment to fix codes now in operation for two and a half years despite the commission finding a ""statewide risk to biodiversity"". The government instead ""noted"" or  gave ""support in principle"" to most of the recommendations, such as backing a ""process to allow for the monitoring of unexplained clearing"". That was despite the commission finding such ""unexplained"" activity made up as much as 60 per cent of the total. The government notably rejected one recommendation: the commission's call for ""an overarching steering committee"" led by an independent chair to oversee agency coordination and implement review triggers and other action. Instead, the government offered support for an oversight group led by senior bureaucrats. Rachel Walmsley, an Environmental Defenders Office NSW policy director, described the response as ""totally inadequate"". ""It was all a very secret process, with no action to [fix the problems] or commitment to transparency,"" she said. She added the government had also ""noted"" the commission's call for it to finalise and release regulatory maps and to nominate areas of outstanding biodiversity value - despite the laws being active since August 2017. The commission completed its report last July and the government released it last month following a threat of legal action from independent NSW MP Justin Field. Mr Field said the state's response to the audit - prompted by a previously secret deal between the Liberals and Nationals if land-clearing approvals topped an annual rate of 20,000 hectares - was to ""kick the can down the road again and let the escalated land clearing continue"". A front-end loader removes trees on a property near Junee in the Riverina.Credit:Ashley Hermes ""The National Party keep getting away with environmental vandalism in this state and the Liberals appear unable or unwilling to hold their feet to the fire and back in the expert advice,"" Mr Field said. Separately, the Herald has learned the Planning Department has ordered compliance officers to finalise all investigations related to alleged breaches under the former laws by August 25, 2020. In some instances, such a deadline will mean the 24-month statute of limitations for bringing action against offenders from the first official warning will be cut by half a year or more. Social isolation limits prompted by the COVID-19 lockdown is also hindering work across the agriculture and environment departments, including compliance. However, the government spokesman denied there was an interruption to work: ""All compliance activity is currently continuing while adhering to NSW government guidelines and rules on social distancing, self-isolation where required and strict hygiene protocols to protect staff and our stakeholders. ""At this stage we do not anticipate any statute of limitations impacts because of COVID-19,"" he said. The government did not respond to questions about the recommendations. Peter Hannam writes on environment issues for The Sydney Morning Herald and The Age. Copyright © 2020", Peter Hannam ,"April 6, 2020"
9,/environment/conservation/environmental-vandalism-state-s-response-to-secret-land-audit-blasted-20200403-p54gu1.html,'Environmental vandalism': State's response to secret land audit blasted,"The Berejiklian government's response to a confidential audit of new native vegetation laws that found a 13-fold jump in land clearing, and its refusal to consider appointing an independent umpire to preserve key wildlife, has been condemned as ""totally inadequate"". A week after Agriculture Minister Adam Marshall released the highly critical secret review of the new laws by the Natural Resources Commission - that ministers had sat on for eight months - the government issued its formal response. The government ""noted"" or gave ""support in principle"" to most of the recommendations, such as backing a ""process to allow for the monitoring of unexplained clearing"". It gave no firm commitment to fix codes now in operation for two and a half years despite the commission finding a ""statewide risk to biodiversity"". The government instead ""noted"" or  gave ""support in principle"" to most of the recommendations, such as backing a ""process to allow for the monitoring of unexplained clearing"". That was despite the commission finding such ""unexplained"" activity made up as much as 60 per cent of the total. The government notably rejected one recommendation: the commission's call for ""an overarching steering committee"" led by an independent chair to oversee agency coordination and implement review triggers and other action. Instead, the government offered support for an oversight group led by senior bureaucrats. Rachel Walmsley, an Environmental Defenders Office NSW policy director, described the response as ""totally inadequate"". ""It was all a very secret process, with no action to [fix the problems] or commitment to transparency,"" she said. She added the government had also ""noted"" the commission's call for it to finalise and release regulatory maps and to nominate areas of outstanding biodiversity value - despite the laws being active since August 2017. The commission completed its report last July and the government released it last month following a threat of legal action from independent NSW MP Justin Field. Mr Field said the state's response to the audit - prompted by a previously secret deal between the Liberals and Nationals if land-clearing approvals topped an annual rate of 20,000 hectares - was to ""kick the can down the road again and let the escalated land clearing continue"". A front-end loader removes trees on a property near Junee in the Riverina.Credit:Ashley Hermes ""The National Party keep getting away with environmental vandalism in this state and the Liberals appear unable or unwilling to hold their feet to the fire and back in the expert advice,"" Mr Field said. Separately, the Herald has learned the Planning Department has ordered compliance officers to finalise all investigations related to alleged breaches under the former laws by August 25, 2020. In some instances, such a deadline will mean the 24-month statute of limitations for bringing action against offenders from the first official warning will be cut by half a year or more. Social isolation limits prompted by the COVID-19 lockdown is also hindering work across the agriculture and environment departments, including compliance. However, the government spokesman denied there was an interruption to work: ""All compliance activity is currently continuing while adhering to NSW government guidelines and rules on social distancing, self-isolation where required and strict hygiene protocols to protect staff and our stakeholders. ""At this stage we do not anticipate any statute of limitations impacts because of COVID-19,"" he said. The government did not respond to questions about the recommendations. Peter Hannam writes on environment issues for The Sydney Morning Herald and The Age. Copyright © 2020", Peter Hannam ,"April 6, 2020"
