,link,header,article,author,date
0,/money/planning-and-budgeting/when-this-is-all-over-what-will-your-credit-score-look-like-20200409-p54io9.html,"When this is all over, what will your credit score look like?","As Australian governments spend up a $300-billion-plus storm to help us weather the coronavirus crisis, ratings agency S&P Global cast a cloud over the nation's coveted AAA sovereign debt rating, lowering the outlook to ""negative"" from ""stable."" Although it says the short-term measures “won’t structurally weaken Australia’s position,” the country’s finances are substantially deteriorating. Banks are dropping or suspending minimum credit-card repayments during the coronavirus crisis.Credit:  So, too, is the financial wriggle room for households – especially if you have just lost your job or had to transfer to the government's JobKeeper payments. The big question is what happens now that comprehensive credit reporting is here in full force? Will your future-determining credit score end up in tatters by the time this is all over? The best news is that the Australian Bankers’ Association decreed last week that any mortgage holder who takes a six-month repayment ""holiday"" will not have their credit record affected. So, as long as you were up to date with repayments before COVID-19 hit us, “banks will report customers as not having missed a repayment,” ABA chief Anna Bligh said. Credit bureau Equifax told Money that even where a customer was behind in their payments when they requested a deferral – when a lender will instead leave the ""repayment field"" blank – that their credit score will “remain neutral, or we may see a slight change”. That's welcome news but a repayment ""holiday"" will still cost you more money. That’s even if you have your mortgage with Commonwealth Bank, which has taken the admirable step of paying a small amount of cash into such mortgage accounts, to stop customers incurring interest on interest. Extending your loan term will lift your interest payable, unless at the end of COVID craziness, you make extra repayments. Best strategy: A good option – if you can manage it – is to either negotiate an interest-rate discount, or refinance to a better mortgage deal. There are now quality loans in the market with interest rates that start in the ""mid-2s."" Moving a $400,000 loan from a 4.5 per cent undiscounted big-bank interest rate to a market-leading 2.5 per cent will cut your monthly repayments by more than $400. You could also see if the bank will temporarily drop your repayments to interest-only to save. The same waiver mercifully applies to the reporting of all your debt and credit repayments. Banks are dropping or suspending minimum credit-card repayments altogether. However, similar to mortgages, if you let interest on the debt roll up – particularly the extortionate interest rates charged on credit cards – it will end up costing you a lot more. Best strategy: The smart solution is to see if you can obtain a zero per cent balance transfer deal on your credit card, so that your debt at least sits dormant while the economy does. It's not all plain sailing for debt payment ""holidays."" Missing payments on other bills, such as utilities and telcos, could land you in some trouble. Equifax says that, unlike bank products, monthly repayment history for such bills is not included on credit reports. (Importantly right now, your rent history is not shown in credit reports either.) However, the Financial Rights Centre has called on these industries to ""guarantee"" there will be no credit report detriment where they offer leniency. Best strategy: Finder, which is in partnership with credit bureau Experian to offer a free credit score check, says if you are unlikely to be able to pay, call your provider’s financial hardship department. You should also ask how it will report your repayment history from that time – and request it is not listed as an overdue payment or a default. Nicole Pedersen-McKinnon is the author of How to Get Mortgage-Free Like Me. Follow Nicole on Facebook, Twitter, or Instagram. Financial educator, commentator and author. Copyright © 2020", Nicole Pedersen-McKinnon ,"April 9, 2020"
1,/money/planning-and-budgeting/when-this-is-all-over-what-will-your-credit-score-look-like-20200409-p54io9.html,"When this is all over, what will your credit score look like?","As Australian governments spend up a $300-billion-plus storm to help us weather the coronavirus crisis, ratings agency S&P Global cast a cloud over the nation's coveted AAA sovereign debt rating, lowering the outlook to ""negative"" from ""stable."" Although it says the short-term measures “won’t structurally weaken Australia’s position,” the country’s finances are substantially deteriorating. Banks are dropping or suspending minimum credit-card repayments during the coronavirus crisis.Credit:  So, too, is the financial wriggle room for households – especially if you have just lost your job or had to transfer to the government's JobKeeper payments. The big question is what happens now that comprehensive credit reporting is here in full force? Will your future-determining credit score end up in tatters by the time this is all over? The best news is that the Australian Bankers’ Association decreed last week that any mortgage holder who takes a six-month repayment ""holiday"" will not have their credit record affected. So, as long as you were up to date with repayments before COVID-19 hit us, “banks will report customers as not having missed a repayment,” ABA chief Anna Bligh said. Credit bureau Equifax told Money that even where a customer was behind in their payments when they requested a deferral – when a lender will instead leave the ""repayment field"" blank – that their credit score will “remain neutral, or we may see a slight change”. That's welcome news but a repayment ""holiday"" will still cost you more money. That’s even if you have your mortgage with Commonwealth Bank, which has taken the admirable step of paying a small amount of cash into such mortgage accounts, to stop customers incurring interest on interest. Extending your loan term will lift your interest payable, unless at the end of COVID craziness, you make extra repayments. Best strategy: A good option – if you can manage it – is to either negotiate an interest-rate discount, or refinance to a better mortgage deal. There are now quality loans in the market with interest rates that start in the ""mid-2s."" Moving a $400,000 loan from a 4.5 per cent undiscounted big-bank interest rate to a market-leading 2.5 per cent will cut your monthly repayments by more than $400. You could also see if the bank will temporarily drop your repayments to interest-only to save. The same waiver mercifully applies to the reporting of all your debt and credit repayments. Banks are dropping or suspending minimum credit-card repayments altogether. However, similar to mortgages, if you let interest on the debt roll up – particularly the extortionate interest rates charged on credit cards – it will end up costing you a lot more. Best strategy: The smart solution is to see if you can obtain a zero per cent balance transfer deal on your credit card, so that your debt at least sits dormant while the economy does. It's not all plain sailing for debt payment ""holidays."" Missing payments on other bills, such as utilities and telcos, could land you in some trouble. Equifax says that, unlike bank products, monthly repayment history for such bills is not included on credit reports. (Importantly right now, your rent history is not shown in credit reports either.) However, the Financial Rights Centre has called on these industries to ""guarantee"" there will be no credit report detriment where they offer leniency. Best strategy: Finder, which is in partnership with credit bureau Experian to offer a free credit score check, says if you are unlikely to be able to pay, call your provider’s financial hardship department. You should also ask how it will report your repayment history from that time – and request it is not listed as an overdue payment or a default. Nicole Pedersen-McKinnon is the author of How to Get Mortgage-Free Like Me. Follow Nicole on Facebook, Twitter, or Instagram. Financial educator, commentator and author. Copyright © 2020", Nicole Pedersen-McKinnon ,"April 9, 2020"
2,/money/super-and-retirement/super-is-for-a-rainy-day-but-we-are-in-a-cyclone-20200409-p54ik0.html,"Super is for a rainy day, but we are in a cyclone","The government is doing an outstanding job in keeping the economy going while the restrictions imposed appear to be flattening the infection curve, but it’s too early to say that with certainty. There is a limit to how much the government can borrow to deal with the economic challenges. A simple non-budget solution would be to legislate so that for the next six months every salary and wage earner in Australia may choose to take their compulsory 9.5 per cent superannuation contribution in their pay packet. Compulsory contributions will automatically return to normal at the expiration of the legislation unless otherwise approved by Parliament. The nation must decide its best path forward: People lining up at a Centrelink office amid the COVID-19 shock.Credit:Getty Images That is equivalent to a 9.5 per cent overnight increase in pay available to every working Australian. An increase on which they will pay tax according to their tax bracket. There is no cost to government and, in fact, an increase in income tax revenue. There is no cost to business, which is important as many businesses are struggling to survive. Theoretically the Australian annual GDP is approximately $2 trillion ($1.89 trillion in 2019) and wages and salaries are approximately 55 per cent of that - say $1 trillion a year. A 9.5 per cent increase is worth approximately $100 billion a year. Last year super contributions totalled $120 billion. Assuming conservatively that 50 per cent choose to keep paying into their super, that is an instant $50 billion to $60 billion per year increase in overall pay. This would be a much needed boost to a dissolving economy and just as importantly would give a lift to consumer and business confidence. The super funds have $3 trillion under management. I understand that this could cause some short-term liquidity problems for the funds and in particular for the smaller funds. This is a better solution than eating into existing super balances at a time of depressed asset values. The Reserve Bank could establish a facility to help with any short-term liquidity problems. Given that compulsory contributions would commence again in six months, the funds are eminently bankable. The super funds are a major portion of our savings pool. This is not a proposal to dip into the existing pool. It is a proposal to temporarily reduce the growth of the pool at a time of great economic and social distress. Most of business is suffering and are playing their part in keeping things going. It is not unreasonable to ask the super funds who have a rare, privileged position in our economy to make a short-term contribution. It is, after all, the members' money and they should have the opportunity to decide how they use it over a defined short period in these strained times. I never thought I would see the day when average hard-working Australians were lining up at Centrelink. Our focus must be on keeping the economy going, helping the many who are suffering and then speeding up the recovery. An injection of $50 billion to $60 billion per annum or more into wages satisfies all three criteria without adding further to the growing deficit. Super is for a rainy day but we are in a cyclone. This is the people’s money and their future. It is a time for reality and not a time for paternalism. Tony Shepherd is Chairman of GWS Giants and former President of the Business Council of Australia. Tony Shepherd is a businessman and former president of the Business Council of Australia. Copyright © 2020", ,"April 9, 2020"
3,/money/super-and-retirement/super-is-for-a-rainy-day-but-we-are-in-a-cyclone-20200409-p54ik0.html,"Super is for a rainy day, but we are in a cyclone","The government is doing an outstanding job in keeping the economy going while the restrictions imposed appear to be flattening the infection curve, but it’s too early to say that with certainty. There is a limit to how much the government can borrow to deal with the economic challenges. A simple non-budget solution would be to legislate so that for the next six months every salary and wage earner in Australia may choose to take their compulsory 9.5 per cent superannuation contribution in their pay packet. Compulsory contributions will automatically return to normal at the expiration of the legislation unless otherwise approved by Parliament. The nation must decide its best path forward: People lining up at a Centrelink office amid the COVID-19 shock.Credit:Getty Images That is equivalent to a 9.5 per cent overnight increase in pay available to every working Australian. An increase on which they will pay tax according to their tax bracket. There is no cost to government and, in fact, an increase in income tax revenue. There is no cost to business, which is important as many businesses are struggling to survive. Theoretically the Australian annual GDP is approximately $2 trillion ($1.89 trillion in 2019) and wages and salaries are approximately 55 per cent of that - say $1 trillion a year. A 9.5 per cent increase is worth approximately $100 billion a year. Last year super contributions totalled $120 billion. Assuming conservatively that 50 per cent choose to keep paying into their super, that is an instant $50 billion to $60 billion per year increase in overall pay. This would be a much needed boost to a dissolving economy and just as importantly would give a lift to consumer and business confidence. The super funds have $3 trillion under management. I understand that this could cause some short-term liquidity problems for the funds and in particular for the smaller funds. This is a better solution than eating into existing super balances at a time of depressed asset values. The Reserve Bank could establish a facility to help with any short-term liquidity problems. Given that compulsory contributions would commence again in six months, the funds are eminently bankable. The super funds are a major portion of our savings pool. This is not a proposal to dip into the existing pool. It is a proposal to temporarily reduce the growth of the pool at a time of great economic and social distress. Most of business is suffering and are playing their part in keeping things going. It is not unreasonable to ask the super funds who have a rare, privileged position in our economy to make a short-term contribution. It is, after all, the members' money and they should have the opportunity to decide how they use it over a defined short period in these strained times. I never thought I would see the day when average hard-working Australians were lining up at Centrelink. Our focus must be on keeping the economy going, helping the many who are suffering and then speeding up the recovery. An injection of $50 billion to $60 billion per annum or more into wages satisfies all three criteria without adding further to the growing deficit. Super is for a rainy day but we are in a cyclone. This is the people’s money and their future. It is a time for reality and not a time for paternalism. Tony Shepherd is Chairman of GWS Giants and former President of the Business Council of Australia. Tony Shepherd is a businessman and former president of the Business Council of Australia. Copyright © 2020", ,"April 9, 2020"
4,/money/investing/property-prices-to-plunge-as-auction-clearance-rates-fall-off-a-cliff-20200403-p54gt1.html,Property prices to plunge as auction clearance rates fall off a cliff,"Property prices could plunge as much as 30 per cent as the economic effects of coronavirus containment measures spark waves of job losses and crush consumer confidence. Auction clearance rates have fallen off a cliff as buyers and sellers abandon the market in droves. Auctions and open house inspections have ceased in both NSW and Victoria; though online and phone auctions and one-on-one private inspections are still permitted. Auction clearance rates have plunged to record lows as bans on live auctions push real estate agents to run online sales. McGrath auctioneer Troy Malcolm takes bids during a live online auction on Saturday.Credit:Peter Rae More than 45 per cent of properties due to go to auction last weekend were withdrawn from sale, with the preliminary auction clearance rate plunging to just 48 per cent. Property researcher CoreLogic figures show that the clearance rate for the previous weekend was just 37.3 per cent – the lowest recorded since it commenced auction reporting data in 2008. Analysts say clearance rates are a leading indicator of major changes in property prices. Martin North, founder of Digital Finance Analytics, says even if the coronavirus-induced economic downturn is relatively short-lived, there could be property price falls of between 15 and 25 per cent over the next two or three years. ""If there's a longer-term crunch where the unemployment consequences and the failure of businesses is longer, then I think it could be 20 to 30 per cent,"" Mr North says. If the global disruption is prolonged, then it could top 45 per cent. However, the major price falls would not be uniform across the country and house prices are expected to hold up better than apartment values. ""Generally, houses hold their value more, other than the top end of the market, which is more volatile, and will do better than units,"" Mr North says. ""There are too many new [units], a lack of investors and there's a problem with [building] defects."" Hayden Dimes and Felicity Emmett, economists at ANZ bank, say the shutting down of auctions and home opens has seen both both buyers and sellers evaporate. ""As buyers and sellers dry up, we think properties that do trade through this shut-down period will see price falls,"" they say. The economists are expecting major price falls to start showing up as early as this month. Even when social distancing measures are removed, they say it is unlikely prices will bounce back. ""Despite enormous fiscal support, unemployment is still expected to rise sharply through this period and is unlikely to fully recover for some years,"" the ANZ economists say. Replay   Households are likely to have less appetite for debt, which would likely result in a slow recovery for house prices, they say. Shane Oliver, chief economist at AMP Capital, says higher levels of unemployment would trigger debt-servicing problems, which is bad news for property prices. This comes against a backdrop of very high household debt. He expects demand for property would be depressed for some time after the economic shutdown measures are relaxed. ""Hopefully, the federal government’s wage subsidy program will keep the rise in unemployment to below 10 per cent,"" Dr Oliver says. ""This, combined with various income-support measures and bank mortgage payment holidays, may serve to keep forced property selling to a minimum and price declines modest at around 5 per cent,"" he says. However, a long and deep coronavirus-driven downturn in the economy would point to a deeper property price slump of 20 per cent, or more, over the next 12 months, he says. More homebuyers, particularly those who purchased recently, will find that they are in ""negative equity"", where they owe more on their mortgage than their home is worth. However, for those who are able to hold onto their homes during the downturn, the losses in the value of their houses are on paper only. The banks’ mortgage deferrals mean most households with a home loan that see their incomes fall substantially will be able to get through the downturn without losing their home, says Trent Wiltshire, an economist at Domain. However, the banks ""will not let all customers defer loan repayments indefinitely"", he says. ""The big banks have said the deferral period is up to six months, but if the coronavirus recession drags on and people can’t return to work, this may not be long enough,"" Mr Wiltshire says. Writes about personal finance for The Sydney Morning Herald and The Age. Copyright © 2020", John Collett ,"April 8, 2020"
5,/money/investing/property-prices-to-plunge-as-auction-clearance-rates-fall-off-a-cliff-20200403-p54gt1.html,Property prices to plunge as auction clearance rates fall off a cliff,"Property prices could plunge as much as 30 per cent as the economic effects of coronavirus containment measures spark waves of job losses and crush consumer confidence. Auction clearance rates have fallen off a cliff as buyers and sellers abandon the market in droves. Auctions and open house inspections have ceased in both NSW and Victoria; though online and phone auctions and one-on-one private inspections are still permitted. Auction clearance rates have plunged to record lows as bans on live auctions push real estate agents to run online sales. McGrath auctioneer Troy Malcolm takes bids during a live online auction on Saturday.Credit:Peter Rae More than 45 per cent of properties due to go to auction last weekend were withdrawn from sale, with the preliminary auction clearance rate plunging to just 48 per cent. Property researcher CoreLogic figures show that the clearance rate for the previous weekend was just 37.3 per cent – the lowest recorded since it commenced auction reporting data in 2008. Analysts say clearance rates are a leading indicator of major changes in property prices. Martin North, founder of Digital Finance Analytics, says even if the coronavirus-induced economic downturn is relatively short-lived, there could be property price falls of between 15 and 25 per cent over the next two or three years. ""If there's a longer-term crunch where the unemployment consequences and the failure of businesses is longer, then I think it could be 20 to 30 per cent,"" Mr North says. If the global disruption is prolonged, then it could top 45 per cent. However, the major price falls would not be uniform across the country and house prices are expected to hold up better than apartment values. ""Generally, houses hold their value more, other than the top end of the market, which is more volatile, and will do better than units,"" Mr North says. ""There are too many new [units], a lack of investors and there's a problem with [building] defects."" Hayden Dimes and Felicity Emmett, economists at ANZ bank, say the shutting down of auctions and home opens has seen both both buyers and sellers evaporate. ""As buyers and sellers dry up, we think properties that do trade through this shut-down period will see price falls,"" they say. The economists are expecting major price falls to start showing up as early as this month. Even when social distancing measures are removed, they say it is unlikely prices will bounce back. ""Despite enormous fiscal support, unemployment is still expected to rise sharply through this period and is unlikely to fully recover for some years,"" the ANZ economists say. Replay   Households are likely to have less appetite for debt, which would likely result in a slow recovery for house prices, they say. Shane Oliver, chief economist at AMP Capital, says higher levels of unemployment would trigger debt-servicing problems, which is bad news for property prices. This comes against a backdrop of very high household debt. He expects demand for property would be depressed for some time after the economic shutdown measures are relaxed. ""Hopefully, the federal government’s wage subsidy program will keep the rise in unemployment to below 10 per cent,"" Dr Oliver says. ""This, combined with various income-support measures and bank mortgage payment holidays, may serve to keep forced property selling to a minimum and price declines modest at around 5 per cent,"" he says. However, a long and deep coronavirus-driven downturn in the economy would point to a deeper property price slump of 20 per cent, or more, over the next 12 months, he says. More homebuyers, particularly those who purchased recently, will find that they are in ""negative equity"", where they owe more on their mortgage than their home is worth. However, for those who are able to hold onto their homes during the downturn, the losses in the value of their houses are on paper only. The banks’ mortgage deferrals mean most households with a home loan that see their incomes fall substantially will be able to get through the downturn without losing their home, says Trent Wiltshire, an economist at Domain. However, the banks ""will not let all customers defer loan repayments indefinitely"", he says. ""The big banks have said the deferral period is up to six months, but if the coronavirus recession drags on and people can’t return to work, this may not be long enough,"" Mr Wiltshire says. Writes about personal finance for The Sydney Morning Herald and The Age. Copyright © 2020", John Collett ,"April 8, 2020"
6,/money/investing/seek-out-deep-value-opportunities-from-the-equities-pack-20200407-p54hwu.html,Seek out deep-value opportunities from the equities pack,"  Rob Arnott, founder and chairman of Research Affiliates, discusses the current market slide and where to from here in the following Q and A. You have said the time to buy into markets is when we are at peak fear. Which signals do you look at to ascertain this? It is impossible to pinpoint peaks and troughs. We do not believe we have any special knowledge or skill to divine peaks or troughs ahead of the pack, particularly in the short term. However, we do have the discipline to buy the assets people fear most and sell the assets that are most beloved. Rob Arnott.Credit:  Stocks will begin to recover long before the global coronavirus pandemic is on the wane. The strongest bull markets are not built on a foundation of good news, but on diminishing bad news. It will be hard to be perfectly right on the turning point, but don’t wait for good news – just wait until the pattern of bad news lets up.   When risk appetite returns, where should investors direct their attention first? Do you have any safe-haven strategies that investors can look at now? Consider averaging into newly cheaper and higher-yielding asset classes, especially Australian equities, and emerging market equities. Pare back on expensive assets, such as developed market sovereign debt. If inflation rears its ugly head, then Treasury Inflation-Protected Securities (TIPS) – a form of U.S. Treasury bond designed to help investors protect against inflation – may offer the most protection in conditions that tend to savage mainstream asset classes. What do you make of the current volatility environment? Is this temporary or is this a big regime shift? Whereas heightened market turbulence can stir fear, panic is unhelpful. Volatility can be our friend if we are ready to re-assess which markets, or assets, are newly formed deep-value opportunities – and which assets remain fully priced and trade accordingly. Investors who average into markets that are priced to deliver attractive return prospects are reliably rewarded in the long run – as long as they are patient. How long will elevated market volatility persist?  The extent and duration of market turbulence depends on the level of COVID-19 contagion shocks within the financial system and the response from governments and central banks. Interest rates are already effectively at zero and, following more than a decade of quantitative easing, sovereign debt in all the major economies is at historically high levels. If the responses from governments and central banks are not measured, the risk of inflation poses a potentially severe threat to sustained market volatility. Rob Arnott is the founder and chairman of Research Affiliates, a US based smart beta and asset allocation specialist Copyright © 2020", Rob Arnott ,"April 8, 2020"
7,/money/investing/seek-out-deep-value-opportunities-from-the-equities-pack-20200407-p54hwu.html,Seek out deep-value opportunities from the equities pack,"  Rob Arnott, founder and chairman of Research Affiliates, discusses the current market slide and where to from here in the following Q and A. You have said the time to buy into markets is when we are at peak fear. Which signals do you look at to ascertain this? It is impossible to pinpoint peaks and troughs. We do not believe we have any special knowledge or skill to divine peaks or troughs ahead of the pack, particularly in the short term. However, we do have the discipline to buy the assets people fear most and sell the assets that are most beloved. Rob Arnott.Credit:  Stocks will begin to recover long before the global coronavirus pandemic is on the wane. The strongest bull markets are not built on a foundation of good news, but on diminishing bad news. It will be hard to be perfectly right on the turning point, but don’t wait for good news – just wait until the pattern of bad news lets up.   When risk appetite returns, where should investors direct their attention first? Do you have any safe-haven strategies that investors can look at now? Consider averaging into newly cheaper and higher-yielding asset classes, especially Australian equities, and emerging market equities. Pare back on expensive assets, such as developed market sovereign debt. If inflation rears its ugly head, then Treasury Inflation-Protected Securities (TIPS) – a form of U.S. Treasury bond designed to help investors protect against inflation – may offer the most protection in conditions that tend to savage mainstream asset classes. What do you make of the current volatility environment? Is this temporary or is this a big regime shift? Whereas heightened market turbulence can stir fear, panic is unhelpful. Volatility can be our friend if we are ready to re-assess which markets, or assets, are newly formed deep-value opportunities – and which assets remain fully priced and trade accordingly. Investors who average into markets that are priced to deliver attractive return prospects are reliably rewarded in the long run – as long as they are patient. How long will elevated market volatility persist?  The extent and duration of market turbulence depends on the level of COVID-19 contagion shocks within the financial system and the response from governments and central banks. Interest rates are already effectively at zero and, following more than a decade of quantitative easing, sovereign debt in all the major economies is at historically high levels. If the responses from governments and central banks are not measured, the risk of inflation poses a potentially severe threat to sustained market volatility. Rob Arnott is the founder and chairman of Research Affiliates, a US based smart beta and asset allocation specialist Copyright © 2020", Rob Arnott ,"April 8, 2020"
8,/money/super-and-retirement/the-benefits-of-setting-up-a-special-disability-trust-20200407-p54hvu.html,The benefits of setting up a Special Disability Trust,"Special Disability Trusts (SDTs) enable you to provide for the accommodation and care needs of a family member with a severe disability or medical condition. The word “special” is not about the person’s care needs, rather it is about the concessions that can apply to people who gift to the trust (known as donors), as well as for the beneficiary. Special Disability Trusts can provide great benefits, but make sure you seek specialist legal and financial advice first.Credit:Think Stock To be the principal beneficiary of a SDT you must meet one of three definitions of “severe disability.” Almost anyone can gift any amount to the trust, the exceptions being the settlor of the trust, who cannot gift at all, and the principal beneficiary (or their partner), who can only gift a superannuation death benefit or bequest within three years of its receipt. No compensation monies, whether from the beneficiary or on their behalf, can be gifted to the trust. There are a number of benefits of setting up a SDT. People who are immediate family members, who have reached age pension age and receive a pension, such as the Age Pension or Carer Payment, can get a gifting concession of up to $500,000. For example, an eligible grandparent may contribute $300,000, leaving $200,000 which could still be claimed. If the $300,000 was in excess of the pension asset threshold, then the grandparent’s pension could go up by more than $23,000 a year, as a result of the gift. For the principal beneficiary, the assessable assets of the trust up to $681,750 are exempt for both pension and aged-care asset tests and the income earned by the trust and distributions from it are exempt from the income tests. For example, someone living in aged care who receives an inheritance of $700,000 may face losing their Age pension and an increase in their means tested care fee of almost $40 a day. Placing the bulk of the inheritance in a SDT could provide an increase in their pension of $24,500 a year and a reduction in their cost of aged care of $14,000 a year. An SDT also receives concessional tax treatment, with a Capital Gains Tax exemption for assets transferred to it. Unspent earnings of the trust are taxed at the beneficiary’s marginal tax rate. While getting funds into the trust is fairly simple, getting funds out can be harder. The purpose of the SDT is to provide for the accommodation and care needs of the principal beneficiary. Withdrawals are limited to uses that meet those needs – and a modest level of discretionary spending of $12,250 each financial year. The trust cannot be used to directly benefit family members or pay them to provide care. Watch out for the ""look back"" on gifts to the trust within five years of the beneficiary passing away. Under these rules, the donor would need to receive back what they have contributed (in proportion to the value of the trust at that time). If they don’t, it can be assessed under the gifting rules. Special Disability Trusts can provide great benefits, but make sure you seek specialist legal and financial advice first before setting one up. Rachel Lane is principal of Aged Care Gurus Copyright © 2020", Rachel Lane ,"April 8, 2020"
9,/money/super-and-retirement/the-benefits-of-setting-up-a-special-disability-trust-20200407-p54hvu.html,The benefits of setting up a Special Disability Trust,"Special Disability Trusts (SDTs) enable you to provide for the accommodation and care needs of a family member with a severe disability or medical condition. The word “special” is not about the person’s care needs, rather it is about the concessions that can apply to people who gift to the trust (known as donors), as well as for the beneficiary. Special Disability Trusts can provide great benefits, but make sure you seek specialist legal and financial advice first.Credit:Think Stock To be the principal beneficiary of a SDT you must meet one of three definitions of “severe disability.” Almost anyone can gift any amount to the trust, the exceptions being the settlor of the trust, who cannot gift at all, and the principal beneficiary (or their partner), who can only gift a superannuation death benefit or bequest within three years of its receipt. No compensation monies, whether from the beneficiary or on their behalf, can be gifted to the trust. There are a number of benefits of setting up a SDT. People who are immediate family members, who have reached age pension age and receive a pension, such as the Age Pension or Carer Payment, can get a gifting concession of up to $500,000. For example, an eligible grandparent may contribute $300,000, leaving $200,000 which could still be claimed. If the $300,000 was in excess of the pension asset threshold, then the grandparent’s pension could go up by more than $23,000 a year, as a result of the gift. For the principal beneficiary, the assessable assets of the trust up to $681,750 are exempt for both pension and aged-care asset tests and the income earned by the trust and distributions from it are exempt from the income tests. For example, someone living in aged care who receives an inheritance of $700,000 may face losing their Age pension and an increase in their means tested care fee of almost $40 a day. Placing the bulk of the inheritance in a SDT could provide an increase in their pension of $24,500 a year and a reduction in their cost of aged care of $14,000 a year. An SDT also receives concessional tax treatment, with a Capital Gains Tax exemption for assets transferred to it. Unspent earnings of the trust are taxed at the beneficiary’s marginal tax rate. While getting funds into the trust is fairly simple, getting funds out can be harder. The purpose of the SDT is to provide for the accommodation and care needs of the principal beneficiary. Withdrawals are limited to uses that meet those needs – and a modest level of discretionary spending of $12,250 each financial year. The trust cannot be used to directly benefit family members or pay them to provide care. Watch out for the ""look back"" on gifts to the trust within five years of the beneficiary passing away. Under these rules, the donor would need to receive back what they have contributed (in proportion to the value of the trust at that time). If they don’t, it can be assessed under the gifting rules. Special Disability Trusts can provide great benefits, but make sure you seek specialist legal and financial advice first before setting one up. Rachel Lane is principal of Aged Care Gurus Copyright © 2020", Rachel Lane ,"April 8, 2020"
