,link,header,article,author,date
0,/politics/federal/easter-most-important-weekend-in-australia-s-covid-19-battle-says-hunt-20200409-p54ipp.html,"Easter 'most important' weekend in Australia's COVID-19 battle, says Hunt","The behaviour of Australians over the Easter break will dictate how soon state governments can begin easing COVID-19 social-distancing measures, with Health Minister Greg Hunt declaring the weekend ""the most important"" the nation will face in combating the disease. The national cabinet has begun discussing how it might gently wind back tough restrictions as the number of new coronavirus cases continues to fall, but authorities warn the coming days will be critical in attempts to consolidate efforts to curb infections. Health Minister Greg Hunt said there had been a ""genuine consolidation"" of the virus.Credit:Alex Ellinghausen It is likely entire states, such as South Australia and Western Australia, and possibly geographical regions could be used as guinea pigs to trial relaxing the unprecedented restrictions and test the impact of easing the shutdown of businesses such as cafes, restaurants, pubs and gyms. Australia recorded its lowest daily rate of coronavirus infections in more than three weeks on Thursday in what the federal government said was a ""genuine consolidation"" of the virus, with just 96 new cases in 24 hours. There have been 6103 confirmed cases in Australia and 51 people have died. About 260 people are in hospital, with 82 in intensive care and 35 on ventilators. Prime Minister Scott Morrison said it was clear social-distancing measures were slowing the spread of the virus but Australians would be living with them for at least six months. ""Restrictions will be reviewed regularly and planning for the medium to long-term has begun,"" he said. The spread of the virus has been more contained in SA and WA than on the east coast, meaning those states would likely be in a position to act sooner, providing a guide for Victoria and NSW. Queensland Liberal MP Andrew Laming, a medical specialist and former infectious disease researcher, said on Thursday the government should begin to plan the subtle rolling back of the most extreme restrictions in areas where it was safe to do so as the coronavirus infection curve began to flatten. He said efforts to flatten the curve were both impressive and reassuring and the sooner localised trials began to restore ""something like normal life"", the better. Replay   Dr Laming said national cabinet needed to carefully trial the unlocking of ""cooler spots"" that were well away from areas of high caseloads. ""The only way to understand how to deal with the next stage of COVID-19 is for public health experts to cautiously trial local relaxations,"" he said. ""We will need to closely monitor regional relaxations, fully supported from the top level of political leadership and clearly explained in regular media addresses."" Mr Hunt said there had been a ""genuine consolidation"" of the virus. Thursday was the first day in more than three weeks fewer than 100 people had been added to the list. ""That's an exceptionally important development for Australia. Fewer cases, fewer risks, fewer lives at risk. But we've got a long way to go,"" Mr Hunt said. ""The virus does not take a holiday - therefore none of us can relax what we do. This in many ways is the most important weekend we may face in the whole course of the virus."" Mr Hunt said if Australians stayed home and locked in ""the gains that we've made as a nation"" it would ""give ourselves the pathway through"", but warned social-distancing measures and bans on mass gatherings would likely be in place for six months or more. ""Where we can take early steps that are safe, then we will obviously look to do that,"" he said. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Rob Harris is the National Affairs Editor for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Rob Harris ,"April 10, 2020"
1,/politics/federal/easter-most-important-weekend-in-australia-s-covid-19-battle-says-hunt-20200409-p54ipp.html,"Easter 'most important' weekend in Australia's COVID-19 battle, says Hunt","The behaviour of Australians over the Easter break will dictate how soon state governments can begin easing COVID-19 social-distancing measures, with Health Minister Greg Hunt declaring the weekend ""the most important"" the nation will face in combating the disease. The national cabinet has begun discussing how it might gently wind back tough restrictions as the number of new coronavirus cases continues to fall, but authorities warn the coming days will be critical in attempts to consolidate efforts to curb infections. Health Minister Greg Hunt said there had been a ""genuine consolidation"" of the virus.Credit:Alex Ellinghausen It is likely entire states, such as South Australia and Western Australia, and possibly geographical regions could be used as guinea pigs to trial relaxing the unprecedented restrictions and test the impact of easing the shutdown of businesses such as cafes, restaurants, pubs and gyms. Australia recorded its lowest daily rate of coronavirus infections in more than three weeks on Thursday in what the federal government said was a ""genuine consolidation"" of the virus, with just 96 new cases in 24 hours. There have been 6103 confirmed cases in Australia and 51 people have died. About 260 people are in hospital, with 82 in intensive care and 35 on ventilators. Prime Minister Scott Morrison said it was clear social-distancing measures were slowing the spread of the virus but Australians would be living with them for at least six months. ""Restrictions will be reviewed regularly and planning for the medium to long-term has begun,"" he said. The spread of the virus has been more contained in SA and WA than on the east coast, meaning those states would likely be in a position to act sooner, providing a guide for Victoria and NSW. Queensland Liberal MP Andrew Laming, a medical specialist and former infectious disease researcher, said on Thursday the government should begin to plan the subtle rolling back of the most extreme restrictions in areas where it was safe to do so as the coronavirus infection curve began to flatten. He said efforts to flatten the curve were both impressive and reassuring and the sooner localised trials began to restore ""something like normal life"", the better. Replay   Dr Laming said national cabinet needed to carefully trial the unlocking of ""cooler spots"" that were well away from areas of high caseloads. ""The only way to understand how to deal with the next stage of COVID-19 is for public health experts to cautiously trial local relaxations,"" he said. ""We will need to closely monitor regional relaxations, fully supported from the top level of political leadership and clearly explained in regular media addresses."" Mr Hunt said there had been a ""genuine consolidation"" of the virus. Thursday was the first day in more than three weeks fewer than 100 people had been added to the list. ""That's an exceptionally important development for Australia. Fewer cases, fewer risks, fewer lives at risk. But we've got a long way to go,"" Mr Hunt said. ""The virus does not take a holiday - therefore none of us can relax what we do. This in many ways is the most important weekend we may face in the whole course of the virus."" Mr Hunt said if Australians stayed home and locked in ""the gains that we've made as a nation"" it would ""give ourselves the pathway through"", but warned social-distancing measures and bans on mass gatherings would likely be in place for six months or more. ""Where we can take early steps that are safe, then we will obviously look to do that,"" he said. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Rob Harris is the National Affairs Editor for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Rob Harris ,"April 10, 2020"
2,/politics/federal/up-to-a-third-of-mortgage-holders-don-t-have-a-buffer-for-virus-downturn-20200409-p54io2.html,Up to a third of mortgage holders don't have a buffer for virus downturn,"A third of Australian mortgage holders are going into the coronavirus economic downturn less than a month ahead in their loan repayments with warnings many of these people are at risk from a sharp fall in income. A third of Australian households are going into the coronavirus economic downturn less than a month in front of their repayments, putting them at severe financial risk.Credit:Jessica Shapiro As the Reserve Bank revealed there had been a surge in people hoarding cash through March with some customers withdrawing more than $1 million from local banks, it warned there were hundreds of thousands of Australians facing extreme financial pressures. Analysts, the RBA and Treasury expect a deep economic downturn as efforts to control the spread of the coronavirus weigh on the economy. Job advertisements have collapsed while unemployment has started rising as firms lay off staff. Replay   In its six-monthly report into the health of the financial system, the bank said among people with mortgages, more than half were in front of their loans to cover at least three months of payments. About 30 per cent were at least three years ahead on their mortgages. But there was almost a third who have tiny mortgage buffers, with the bank revealing half of these were ""particularly vulnerable to a sharp decline in income"". ""For those with mortgage debt, a household member losing their job or having their working hours reduced is typically associated with greater financial stress,"" it said. The bank's own research suggests for every one percentage point lift in unemployment, the nation's mortgage arrears rate increases by about 0.8 percentage points. Most analysts are tipping the jobless rate to climb above 8 per cent. It currently sits at 5.1 per cent. The bank said those in the rental market were even more at risk, finding more than one-third of renting households have experienced financial stress in a given year. Those households were most at risk from the economic dislocation flowing from virus-related clampdowns. ""The most vulnerable include those working in jobs more exposed to unemployment risk, such as casual workers, and those in industries most affected by the COVID-19 containment measures, such as accommodation and food services,"" it said. The bank said the overall financial system was still in a position of strength despite the advent of the coronavirus downturn. This was despite some people extending their hoarding habits from loo paper and tinned tomatoes to cash. As occurred during the depths of the global financial crisis, people raced into their banks to withdraw cash. Some people with large balances withdrew huge sums of money, forcing the RBA to truck cash to particular branches. ""This included a small number of customers making very large withdrawals (more than $100,000 and in some cases into the millions of dollars),"" the RBA noted. ""The Reserve Bank worked closely with the large banks and cash-in-transit companies to ensure branches had sufficient cash supplies. The elevated demand has since abated."" Separate figures from the Australian Financial Security Authority, released on Thursday, show a lift in the number of personal insolvencies over the past week. In the week to the end of April 5, the authority recorded 1019 personal insolvency claims. This is 21 per cent higher than the weekly average. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Shane is a senior economics correspondent for The Age and The Sydney Morning Herald. Copyright © 2020", Shane Wright ,"April 9, 2020"
3,/politics/federal/up-to-a-third-of-mortgage-holders-don-t-have-a-buffer-for-virus-downturn-20200409-p54io2.html,Up to a third of mortgage holders don't have a buffer for virus downturn,"A third of Australian mortgage holders are going into the coronavirus economic downturn less than a month ahead in their loan repayments with warnings many of these people are at risk from a sharp fall in income. A third of Australian households are going into the coronavirus economic downturn less than a month in front of their repayments, putting them at severe financial risk.Credit:Jessica Shapiro As the Reserve Bank revealed there had been a surge in people hoarding cash through March with some customers withdrawing more than $1 million from local banks, it warned there were hundreds of thousands of Australians facing extreme financial pressures. Analysts, the RBA and Treasury expect a deep economic downturn as efforts to control the spread of the coronavirus weigh on the economy. Job advertisements have collapsed while unemployment has started rising as firms lay off staff. Replay   In its six-monthly report into the health of the financial system, the bank said among people with mortgages, more than half were in front of their loans to cover at least three months of payments. About 30 per cent were at least three years ahead on their mortgages. But there was almost a third who have tiny mortgage buffers, with the bank revealing half of these were ""particularly vulnerable to a sharp decline in income"". ""For those with mortgage debt, a household member losing their job or having their working hours reduced is typically associated with greater financial stress,"" it said. The bank's own research suggests for every one percentage point lift in unemployment, the nation's mortgage arrears rate increases by about 0.8 percentage points. Most analysts are tipping the jobless rate to climb above 8 per cent. It currently sits at 5.1 per cent. The bank said those in the rental market were even more at risk, finding more than one-third of renting households have experienced financial stress in a given year. Those households were most at risk from the economic dislocation flowing from virus-related clampdowns. ""The most vulnerable include those working in jobs more exposed to unemployment risk, such as casual workers, and those in industries most affected by the COVID-19 containment measures, such as accommodation and food services,"" it said. The bank said the overall financial system was still in a position of strength despite the advent of the coronavirus downturn. This was despite some people extending their hoarding habits from loo paper and tinned tomatoes to cash. As occurred during the depths of the global financial crisis, people raced into their banks to withdraw cash. Some people with large balances withdrew huge sums of money, forcing the RBA to truck cash to particular branches. ""This included a small number of customers making very large withdrawals (more than $100,000 and in some cases into the millions of dollars),"" the RBA noted. ""The Reserve Bank worked closely with the large banks and cash-in-transit companies to ensure branches had sufficient cash supplies. The elevated demand has since abated."" Separate figures from the Australian Financial Security Authority, released on Thursday, show a lift in the number of personal insolvencies over the past week. In the week to the end of April 5, the authority recorded 1019 personal insolvency claims. This is 21 per cent higher than the weekly average. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Shane is a senior economics correspondent for The Age and The Sydney Morning Herald. Copyright © 2020", Shane Wright ,"April 9, 2020"
4,/politics/federal/social-restrictions-beginning-to-frustrate-despite-strong-support-20200409-p54ipb.html,Social restrictions beginning to frustrate despite strong support,"Restrictions on socialising, being stood down from work and having to stay at home are among the biggest frustrations for Australians amid the coronavirus pandemic, new research shows. Although tough measures imposed on the public by governments to halt the spread of COVID-19 are broadly supported, about two in five Australians say they are making life “very difficult”, with young people and those living in the inner suburbs finding them the hardest to deal with. Australians are struggling with the impact of physical distancing restrictions on their lives. Credit:Peter Rae Newgate Research's weekly tracking study of more than 1000 Australians, taken between Monday and Wednesday, has found people are struggling most with the lack of social interaction, impacts on their income, having to stay at home and being unable to exercise like they usually would. Community alarm about coronavirus remains very high although it has dipped for the first time in the five surveys conducted since the start of March, with 63 per cent “extremely concerned” about it, compared to 74 per cent last week. This easing of concern is mostly being driven by a growing belief the spread of the virus is being brought under control and it will get better over the next few months. More than a quarter of respondents said having no social interactions or not being able to see family members have been the most difficult changes to deal with, while almost one in four Australians (24 per cent) found losing their job or an income source were the biggest challenges. The survey found the current economic impacts continue to bite despite a dip in the overall level of concern, with around two thirds of Australians now spending less money than they usually do, while 43 per cent have had their income reduced. One in five respondents say they have been laid off however there was been a slight drop in concern about job security, with 67 per cent now ""extremely"" or ""quite"" concerned, compared to 71 per cent last week. Replay   Newgate Research managing director Sue Vercoe said for now most Australians were continuing to follow instructions in relation to social distancing, with nearly nine in 10 avoiding all non-essential contact, avoiding shaking hands and staying at home. Ms Vercoe said despite a significant level of hardship there was continued confidence in Australia's leaders as well as the health system and other institutions managing and responding to the crisis. The survey found there had also been another significant increase in the proportion who believe Australia is responding appropriately to coronavirus, 66 per cent up from 56 per cent last week, taking it to the highest point so far. ""Australians’ advice to government and business leaders this week is to continue to take tough measures to stop the spread of the virus,"" Ms Vercoe said. ""Through border restrictions, quarantines and restrictions on public gatherings and to support this with clear and accurate information and financial assistance for those who have been impacted."" Around three quarters of respondents continued to believe the government has acted fairly, communicated their expectations of people clearly, and taken appropriate measures to protect businesses, protect people’s health and provide financial support. Get our Coronavirus Update newsletter for the day’s crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald’s newsletter here and The Age’s here. Rob Harris is the National Affairs Editor for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Rob Harris ,"April 10, 2020"
5,/politics/federal/social-restrictions-beginning-to-frustrate-despite-strong-support-20200409-p54ipb.html,Social restrictions beginning to frustrate despite strong support,"Restrictions on socialising, being stood down from work and having to stay at home are among the biggest frustrations for Australians amid the coronavirus pandemic, new research shows. Although tough measures imposed on the public by governments to halt the spread of COVID-19 are broadly supported, about two in five Australians say they are making life “very difficult”, with young people and those living in the inner suburbs finding them the hardest to deal with. Australians are struggling with the impact of physical distancing restrictions on their lives. Credit:Peter Rae Newgate Research's weekly tracking study of more than 1000 Australians, taken between Monday and Wednesday, has found people are struggling most with the lack of social interaction, impacts on their income, having to stay at home and being unable to exercise like they usually would. Community alarm about coronavirus remains very high although it has dipped for the first time in the five surveys conducted since the start of March, with 63 per cent “extremely concerned” about it, compared to 74 per cent last week. This easing of concern is mostly being driven by a growing belief the spread of the virus is being brought under control and it will get better over the next few months. More than a quarter of respondents said having no social interactions or not being able to see family members have been the most difficult changes to deal with, while almost one in four Australians (24 per cent) found losing their job or an income source were the biggest challenges. The survey found the current economic impacts continue to bite despite a dip in the overall level of concern, with around two thirds of Australians now spending less money than they usually do, while 43 per cent have had their income reduced. One in five respondents say they have been laid off however there was been a slight drop in concern about job security, with 67 per cent now ""extremely"" or ""quite"" concerned, compared to 71 per cent last week. Replay   Newgate Research managing director Sue Vercoe said for now most Australians were continuing to follow instructions in relation to social distancing, with nearly nine in 10 avoiding all non-essential contact, avoiding shaking hands and staying at home. Ms Vercoe said despite a significant level of hardship there was continued confidence in Australia's leaders as well as the health system and other institutions managing and responding to the crisis. The survey found there had also been another significant increase in the proportion who believe Australia is responding appropriately to coronavirus, 66 per cent up from 56 per cent last week, taking it to the highest point so far. ""Australians’ advice to government and business leaders this week is to continue to take tough measures to stop the spread of the virus,"" Ms Vercoe said. ""Through border restrictions, quarantines and restrictions on public gatherings and to support this with clear and accurate information and financial assistance for those who have been impacted."" Around three quarters of respondents continued to believe the government has acted fairly, communicated their expectations of people clearly, and taken appropriate measures to protect businesses, protect people’s health and provide financial support. Get our Coronavirus Update newsletter for the day’s crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald’s newsletter here and The Age’s here. Rob Harris is the National Affairs Editor for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Rob Harris ,"April 10, 2020"
6,/politics/federal/maritime-union-faces-3m-fine-for-unlawful-action-after-dispute-with-energy-giant-20200409-p54ipl.html,Maritime union faces $3m hit for unlawful action after dispute with energy giant,"The Maritime Union of Australia has agreed not to launch any unlawful strikes or pickets against multinational energy company Chevron for the next decade or forfeit $3 million under an agreement reached in a protracted dispute over the company's use of foreign labour. If it breaches the agreement and is forced to give Chevron the compensation payment, it would be one of the largest payments ever levied against an Australian union but much smaller than the $22 million the company initially sought over the union's campaign to keep foreign crews off Chevron ships. The Maritime Union WA boss Chris Cain said in emails that his union had delayed a Chevron ship.Credit:Philip Gostelow The fine will hang over the union as it enters into negotiations with the company on a new enterprise agreement covering workers at its offshore facilities, which include multibillion-dollar gas fields. Federal Court judge Katrina Banks-Smith on Thursday ordered the union, which is one of the country's most strident, to pay the fine if any of its organisers or delegates have a hand in any unauthorised industrial action at any Chevron project, including its giant Gorgon gas field. The union will still be permitted to undertake industrial action where it is allowed under legislation. Justice Banks-Smith's decision, which put into effect a deal agreed between the union and company, ends an almost eight-year-long dispute that began when the union held up a ship called the RollDock Sun transporting freight to the Gorgon project for two days in June 2012. Chevron's Wheatstone project in Western Australia. The union was angry the vessel was crewed by foreign workers rather than local seafarers. In one email to other union members quoted in the court's judgment, the union's Western Australian secretary Chris Cain said it had ""been f---ing this vessel about for the last 2 days"" and went on to list ways the union would use safety measures to delay it further. The judge criticised the union for using safety as a tool of industrial conflict and issued an immediate penalty of $30,000, in addition to the $3 million potential compensation payment to Chevron. MUA National Secretary Paddy Crumlin said he welcomed the end of the saga. ""We accept the $30,000 fine, which allows us to finalise this issue and move on with developing a more constructive and functional relationship with the company under the existing industrial bargaining framework,"" Mr Crumlin said. The maritime union, which is part of the CFMMEU, is bargaining for a new enterprise agreement at Chevron in coalition with the Australian Workers Union. ""This collective agreement, which is supported by the overwhelming majority of Chevron's direct employees, provides an opportunity to deliver a good outcome for the company's business requirements along with the needs of their direct offshore employees,"" Mr Crumlin said. Chevron declined to comment. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Copyright © 2020", Nick Bonyhady ,"April 9, 2020"
7,/politics/federal/maritime-union-faces-3m-fine-for-unlawful-action-after-dispute-with-energy-giant-20200409-p54ipl.html,Maritime union faces $3m hit for unlawful action after dispute with energy giant,"The Maritime Union of Australia has agreed not to launch any unlawful strikes or pickets against multinational energy company Chevron for the next decade or forfeit $3 million under an agreement reached in a protracted dispute over the company's use of foreign labour. If it breaches the agreement and is forced to give Chevron the compensation payment, it would be one of the largest payments ever levied against an Australian union but much smaller than the $22 million the company initially sought over the union's campaign to keep foreign crews off Chevron ships. The Maritime Union WA boss Chris Cain said in emails that his union had delayed a Chevron ship.Credit:Philip Gostelow The fine will hang over the union as it enters into negotiations with the company on a new enterprise agreement covering workers at its offshore facilities, which include multibillion-dollar gas fields. Federal Court judge Katrina Banks-Smith on Thursday ordered the union, which is one of the country's most strident, to pay the fine if any of its organisers or delegates have a hand in any unauthorised industrial action at any Chevron project, including its giant Gorgon gas field. The union will still be permitted to undertake industrial action where it is allowed under legislation. Justice Banks-Smith's decision, which put into effect a deal agreed between the union and company, ends an almost eight-year-long dispute that began when the union held up a ship called the RollDock Sun transporting freight to the Gorgon project for two days in June 2012. Chevron's Wheatstone project in Western Australia. The union was angry the vessel was crewed by foreign workers rather than local seafarers. In one email to other union members quoted in the court's judgment, the union's Western Australian secretary Chris Cain said it had ""been f---ing this vessel about for the last 2 days"" and went on to list ways the union would use safety measures to delay it further. The judge criticised the union for using safety as a tool of industrial conflict and issued an immediate penalty of $30,000, in addition to the $3 million potential compensation payment to Chevron. MUA National Secretary Paddy Crumlin said he welcomed the end of the saga. ""We accept the $30,000 fine, which allows us to finalise this issue and move on with developing a more constructive and functional relationship with the company under the existing industrial bargaining framework,"" Mr Crumlin said. The maritime union, which is part of the CFMMEU, is bargaining for a new enterprise agreement at Chevron in coalition with the Australian Workers Union. ""This collective agreement, which is supported by the overwhelming majority of Chevron's direct employees, provides an opportunity to deliver a good outcome for the company's business requirements along with the needs of their direct offshore employees,"" Mr Crumlin said. Chevron declined to comment. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Copyright © 2020", Nick Bonyhady ,"April 9, 2020"
8,/politics/federal/dan-tehan-directs-private-schools-to-open-makes-it-a-condition-of-funding-20200409-p54imt.html,"Dan Tehan directs private schools to open, makes it a condition of funding","Private schools must open in term two for children who need supervision during the COVID-19 crisis, after Education Minister Dan Tehan issued a binding legal directive tied to their funding. Federal, state and territory leaders are still finalising what term two will look like across the country after the school holidays. Education ministers are weighing up options for a staggered shift towards more normal school operations, which could see year 12 students and those in more hands-on subjects returning to campuses for some sessions. Education Minister Dan Tehan has directed private schools to be open. Credit:Alex Ellinghausen The national cabinet meeting on Thursday discussed schools, focusing on a coherent approach after Easter holidays amid confusion among parents and teachers. Government sources said the leaders were working towards a more consistent national position on which children should be attending school, although no decisions have been made. While most private schools have been maintaining in-person supervision options for children of essential services workers in addition their rollout of distance learning, Mr Tehan has written to independent school peak bodies highlighting a ""small number"" that have closed their campuses entirely. ""While I appreciate that a number of jurisdictions are moving towards this form of service delivery, I am asking schools to retain a physical classroom environment for the children of parents who may not have a choice of keeping children at home,"" Mr Tehan wrote. He said the students might be children of essential workers but added pupils should ""not be refused physical classroom access based on their parent's employment"". Under federal legislation, Mr Tehan has the authority to impose additional conditions on funding for private schools. He said he was using this power to include a condition starting from term two ""requiring schools to provide a physical classroom education environment for the children of parents who choose to access it"". Mr Tehan told reporters on Thursday he wanted schools to be open for safety reasons. ""We want them open so children can be safely cared for if their parents are working or if there are other reasons where children are much more safe at school rather than at home,"" he said. Independent Schools Victoria chief executive Michelle Green said private schools had been put in an ""impossible position"", caught between conflicting advice between state and federal authorities. She said the federal government's directive that independent schools remain open for the children of all parents who want it was in contrast to the Victorian government's advice that schools remain open for vulnerable children and children of essential workers. ""This has left teachers, parents and, ultimately, their students confused and frustrated at a time of extraordinary stress,"" Ms Green said. Victorian Education Minister James Merlino said he was working to ensure ""the same message, the same arrangements"" across all school systems. While the federal government has maintained the official medical advice is that schools should be open and children should attend, state governments have been taking different approaches. The NSW and Victorian government have been encouraging parents to keep their children at home. Sources said leaders were working to avoid significant dissonance between different jurisdictions so no students were disadvantaged. The priority remains consistent advice on term two before considering other issues with schools. Mr Tehan said on Thursday the NSW and Victorian positions reflected the greater spread of COVID-19 in the states. Those governments have also faced pressure from teachers' unions over the risk to staff, especially those in vulnerable demographics.  Mr Tehan said education ministers were looking at options to make school systems more flexible and open for some students. ""Is there an opportunity maybe to bring year 12 students back one day a week? Or would there be an opportunity for those doing vocational education at school to do some of their practical work at school? Or chemistry students – would they be able to come to school one or two afternoons a week to do the practical side of their chemistry?"" Victorian students are scheduled to return to school on April 14 under an online learning model. NSW students are due to return on April 27. Attendance, which plummeted in March, could rise after the holidays. Medical officials are looking at how to make schools safer, with bolstered hygiene and social distancing measures.  Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Fergus Hunter is an education and communications reporter for The Sydney Morning Herald and The Age. Sumeyya is a state political reporter for The Age. Copyright © 2020"," Fergus Hunter , Sumeyya Ilanbey ","April 9, 2020"
9,/politics/federal/dan-tehan-directs-private-schools-to-open-makes-it-a-condition-of-funding-20200409-p54imt.html,"Dan Tehan directs private schools to open, makes it a condition of funding","Private schools must open in term two for children who need supervision during the COVID-19 crisis, after Education Minister Dan Tehan issued a binding legal directive tied to their funding. Federal, state and territory leaders are still finalising what term two will look like across the country after the school holidays. Education ministers are weighing up options for a staggered shift towards more normal school operations, which could see year 12 students and those in more hands-on subjects returning to campuses for some sessions. Education Minister Dan Tehan has directed private schools to be open. Credit:Alex Ellinghausen The national cabinet meeting on Thursday discussed schools, focusing on a coherent approach after Easter holidays amid confusion among parents and teachers. Government sources said the leaders were working towards a more consistent national position on which children should be attending school, although no decisions have been made. While most private schools have been maintaining in-person supervision options for children of essential services workers in addition their rollout of distance learning, Mr Tehan has written to independent school peak bodies highlighting a ""small number"" that have closed their campuses entirely. ""While I appreciate that a number of jurisdictions are moving towards this form of service delivery, I am asking schools to retain a physical classroom environment for the children of parents who may not have a choice of keeping children at home,"" Mr Tehan wrote. He said the students might be children of essential workers but added pupils should ""not be refused physical classroom access based on their parent's employment"". Under federal legislation, Mr Tehan has the authority to impose additional conditions on funding for private schools. He said he was using this power to include a condition starting from term two ""requiring schools to provide a physical classroom education environment for the children of parents who choose to access it"". Mr Tehan told reporters on Thursday he wanted schools to be open for safety reasons. ""We want them open so children can be safely cared for if their parents are working or if there are other reasons where children are much more safe at school rather than at home,"" he said. Independent Schools Victoria chief executive Michelle Green said private schools had been put in an ""impossible position"", caught between conflicting advice between state and federal authorities. She said the federal government's directive that independent schools remain open for the children of all parents who want it was in contrast to the Victorian government's advice that schools remain open for vulnerable children and children of essential workers. ""This has left teachers, parents and, ultimately, their students confused and frustrated at a time of extraordinary stress,"" Ms Green said. Victorian Education Minister James Merlino said he was working to ensure ""the same message, the same arrangements"" across all school systems. While the federal government has maintained the official medical advice is that schools should be open and children should attend, state governments have been taking different approaches. The NSW and Victorian government have been encouraging parents to keep their children at home. Sources said leaders were working to avoid significant dissonance between different jurisdictions so no students were disadvantaged. The priority remains consistent advice on term two before considering other issues with schools. Mr Tehan said on Thursday the NSW and Victorian positions reflected the greater spread of COVID-19 in the states. Those governments have also faced pressure from teachers' unions over the risk to staff, especially those in vulnerable demographics.  Mr Tehan said education ministers were looking at options to make school systems more flexible and open for some students. ""Is there an opportunity maybe to bring year 12 students back one day a week? Or would there be an opportunity for those doing vocational education at school to do some of their practical work at school? Or chemistry students – would they be able to come to school one or two afternoons a week to do the practical side of their chemistry?"" Victorian students are scheduled to return to school on April 14 under an online learning model. NSW students are due to return on April 27. Attendance, which plummeted in March, could rise after the holidays. Medical officials are looking at how to make schools safer, with bolstered hygiene and social distancing measures.  Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Fergus Hunter is an education and communications reporter for The Sydney Morning Herald and The Age. Sumeyya is a state political reporter for The Age. Copyright © 2020"," Fergus Hunter , Sumeyya Ilanbey ","April 9, 2020"
