,link,header,article,author,date
0,/national/coronavirus-updates-live-global-covid-19-cases-surpass-1-4-million-worldwide-ruby-princess-told-to-dock-in-sydney-by-abf-20200408-p54icd.html,"Coronavirus updates LIVE: Big fine for people who cough on health workers, Virgin axes all flights bar one as global COVID-19 cases surpass 1.5 million","""I love to see them all."" That's what Maureen Jacotine, 86, repeated when she saw her family of 11 - spread out from Hawaii to Sydney and Melbourne - using video call technology being trialled at Uniting's Aldersgate aged care facility. Soon the tears began. All real. None virtual. Many more are expected to flow over Easter. The families of 20 of 51 residents at the Lilyfield facility in Sydney's inner west, which has been in lockdown for nearly three weeks, have already booked in video chats this Easter. Maureen Jacotine, 86, was overjoyed when she saw her family for the first time in weeks using new technology being trialled at Uniting Aldersgate in Lilyfield,  she kept on repeating, ""I love to see them all.""  This Easter families are being urged to visit relatives - virtually. The National Mental Health Commissioner Christine Morgan recommended families keep in contact using technology, stressing video chat is a more powerful way of connecting with people who are lonely or isolated than texting or telephoning. Critics say too few nursing homes are moving quickly enough to devise ways for residents to see or talk to their families during what could be a long lockdown. Announcing restrictions on nursing home visits last month, the Prime Minister Scott Morrison acknowledged they were going to be difficult for families. Many have gone into complete lockdown. Read more here.  Scott Cam will no longer recieve a salary for his work as national skills ambassador due to the coronavirus crisis.  Cam made headlines when it was revealed taxpayers would be fitting a $345,000 salary for his role as national ambassador.  Scott Cam was named as the government's ""careers ambassador"" by Michaelia Cash and Scott Morrison last year.Credit:AAP Employment Minister Michaelia Cash confirmed on Thursday that Cam's role had changed after a number of ""face to face"" committments were cancelled due to the health crisis.  ""As his role has fundamentally changed, Mr Cam has also volunteered to forgo his salary payments moving forward but remains committed to his role as the National Careers Ambassador,"" Ms Cash said.  Biotechnology giant CSL Limited's chief scientific officer, Professor Andrew Cuthbertson, says social distancing is the best weapon Australia has to combat the coronavirus, with a vaccine 12 to 18 months away from being ready for the public. The Melbourne-based company is working with the University of Queensland and the CSIRO on a potential COVID-19 vaccine which Professor Cuthbertson said on Thursday was on track to go into clinical testing in June. Dr Kong Yuefeng, a recovered COVID-19 patient, donates plasma in the blood centre in Wuhan. Credit:AP Professor Cuthbertson added that it was important to recognise vaccines under development could fail at any stage, and that it would be 12 to 18 months before one could pass clinical trials and be made available to protect the public. The public health measures put in place in the interim were what had kept infections below a level that would overwhelm Australia's healthcare system, he said, and any relaxation had to be done carefully and gradually. Read more here.  Melbourne Storm plan to be back training on May 1 but where they will train remains uncertain. The Storm immediately notified all players they would need to be ready to begin training by May 1 following the NRL’s decision on Thursday to resume their season on May 28 after stopping due to the COVID-19 pandemic. Melbourne Storm players will return to training on May 1.Credit:Getty The Storm have utility Brandon Smith with his family in New Zealand, while a host of players are with their families in NSW and Queensland. All those players will likely need to be under quarantine for two weeks should they have to move over state borders. But Storm football director Frank Ponissi told the club media team he was waiting for more information on where the team will be training. The NSW Teachers Federation has suggested a staged return to school once health authorities and governments start lifting social distancing restrictions, beginning with year 12 and kindergarten. As schools prepare to deliver term two online, federation president Angelo Gavrielatos said leaders needed to think about how to ensure an ""orderly return"" when circumstances changed, avoiding a deluge of students when older or vulnerable teachers were unable to return. The NSW Teachers Federation says year 12 and kindy should be given priority when schools reopen. ""An option could be a staggered return to our schools,"" he said. ""I've advanced a proposition that part of an orderly [process], we could consider a return of year 12 and kindergarten, followed by year seven and year six, and progressively pad that out."" Read more here.  London: Recovered coronavirus patients can have very low levels of antibodies in their system, researchers have found, in a discovery that could hamper the development of immunity tests. A team from Fudan University in China analysed blood from 175 patients discharged from the Shanghai Public Health Clinical Centre and found nearly a third had surprisingly few antibodies. A security officer protects a tram as operations resume on two lines in Wuhan, China, on Wednesday.Credit:Getty Images In 10 patients, antibodies could not be detected at all, which could also place them at greater risk of a secondary infection, the researchers warned. ""Whether these patients were at high risk of rebound or reinfection should be explored in further studies,"" the authors wrote in an article on the preprint website Medrxiv.org, an online platform for early research which has not yet been peer-reviewed. Read more here.  Telegraph, London  A Perth Magistrate had stern words for the man accused of sneaking out of hotel quarantine on multiple occasions to visit his girlfriend in Armadale, as prosecutors indicated they would seek immediate jail time. Jonathan David is accused of failing to comply with a self-isolation directive issued under the Emergency Management Act in the wake of the coronavirus pandemic after flying into Perth from Victoria on March 27. Jonathan David is accused of sneaking out of his room at the Travelodge Hotel Perth to see his girlfriend while in 14-day quarantine. Credit:Facebook After unsuccessfully applying for bail in the Perth Magistrates Court on Monday, the 35-year-old tried for a second time on Thursday, with his request again denied. Defence lawyer Gregory Chin claimed his client’s circumstances had changed during the week and bail should have been granted as his 14-day isolation period had now finished. Read more here.  People burning themselves while cooking are taking up intensive care beds that may be needed for gravely ill coronavirus patients. Specialists at The Alfred hospital have reported a surge in severe burns since Victoria's stage-3 lockdown came into effect last month. Associate Professor Heather Cleland: ""People are ending up in intensive care beds with these injuries at a time when those beds are going to become very precious.""Credit:Vince Caligiuri  Many of the injuries being treated at the hospital's burns unit have been caused by hot oil with others resulting from people cooking while intoxicated. Associate Professor Heather Cleland, director of the Victorian Adult Burns Service at The Alfred, said the hospital had noted a significant increase in patients with severe cooking-related burns. Read more here.  The AFL and Channel Seven look set to reinforce one of world sport's longest-running broadcast partnerships as the two parties negotiate a potential two-year extension of the game's media rights. Seeking some certainty amid the COVID-19 crisis that has wiped out football indefinitely, the AFL, the Seven Network and Fox Sports are exploring a new marginally reduced contract that would run until 2024. Gillon McLachlan and the AFL and Channel Seven are negotiating a potential two-year extension of the game's media rights.Credit:Getty Images In a series of sensitive talks involving league chief Gillon McLachlan, his chief financial officer Ray Gunston and respective media bosses James Warburton and Patrick Delaney, the AFL is also negotiating a new 2020 rights package dependent on when and if the season resumes. In marked contrast to the bitter fall-out between the NRL and Nine, Seven and Fox have remained publicly supportive of the AFL and McLachlan's determination to salvage something of the 2020 season. Read more here.  Fremantle captain Nat Fyfe will be investigated by police after stopping for a surf in Margaret River. Police Commissioner Chris Dawson said police would investigate. ""Surfing is not an essential activity, unless you're a professional surfer,"" he said. ""So on the face of it, it looks like there are some questions to be answered. Police will investigate."" Surfers at Gas Bay, near Margaret River, spotted Fremantle Dockers captain Nat Fyfe going for a surf.Credit:ABC Great Southern Fyfe raised eyebrows when he was spotted surfing on Thursday morning at Gas Bay, more than 400 kilometres from Fyfe’s home town of Lake Grace, where he is basing himself during the indefinite AFL hiatus. But the Dockers told the ABC that Fyfe had been driving a truck for his father's business and was in the region when he stopped to surf. While Australians have been urged to stay at home by state and federal governments, exercise is a permitted reason to be outside, provided social distancing practices are upheld. If guilty of breaching travel restrictions, Fyfe could be up for a $1000 on the spot fine. Copyright © 2020"," Sarah Keoghan, Mary Ward , Latika Bourke ","April 9, 2020"
1,/national/coronavirus-updates-live-global-covid-19-cases-surpass-1-4-million-worldwide-ruby-princess-told-to-dock-in-sydney-by-abf-20200408-p54icd.html,"Coronavirus updates LIVE: Big fine for people who cough on health workers, Virgin axes all flights bar one as global COVID-19 cases surpass 1.5 million","""I love to see them all."" That's what Maureen Jacotine, 86, repeated when she saw her family of 11 - spread out from Hawaii to Sydney and Melbourne - using video call technology being trialled at Uniting's Aldersgate aged care facility. Soon the tears began. All real. None virtual. Many more are expected to flow over Easter. The families of 20 of 51 residents at the Lilyfield facility in Sydney's inner west, which has been in lockdown for nearly three weeks, have already booked in video chats this Easter. Maureen Jacotine, 86, was overjoyed when she saw her family for the first time in weeks using new technology being trialled at Uniting Aldersgate in Lilyfield,  she kept on repeating, ""I love to see them all.""  This Easter families are being urged to visit relatives - virtually. The National Mental Health Commissioner Christine Morgan recommended families keep in contact using technology, stressing video chat is a more powerful way of connecting with people who are lonely or isolated than texting or telephoning. Critics say too few nursing homes are moving quickly enough to devise ways for residents to see or talk to their families during what could be a long lockdown. Announcing restrictions on nursing home visits last month, the Prime Minister Scott Morrison acknowledged they were going to be difficult for families. Many have gone into complete lockdown. Read more here.  Scott Cam will no longer recieve a salary for his work as national skills ambassador due to the coronavirus crisis.  Cam made headlines when it was revealed taxpayers would be fitting a $345,000 salary for his role as national ambassador.  Scott Cam was named as the government's ""careers ambassador"" by Michaelia Cash and Scott Morrison last year.Credit:AAP Employment Minister Michaelia Cash confirmed on Thursday that Cam's role had changed after a number of ""face to face"" committments were cancelled due to the health crisis.  ""As his role has fundamentally changed, Mr Cam has also volunteered to forgo his salary payments moving forward but remains committed to his role as the National Careers Ambassador,"" Ms Cash said.  Biotechnology giant CSL Limited's chief scientific officer, Professor Andrew Cuthbertson, says social distancing is the best weapon Australia has to combat the coronavirus, with a vaccine 12 to 18 months away from being ready for the public. The Melbourne-based company is working with the University of Queensland and the CSIRO on a potential COVID-19 vaccine which Professor Cuthbertson said on Thursday was on track to go into clinical testing in June. Dr Kong Yuefeng, a recovered COVID-19 patient, donates plasma in the blood centre in Wuhan. Credit:AP Professor Cuthbertson added that it was important to recognise vaccines under development could fail at any stage, and that it would be 12 to 18 months before one could pass clinical trials and be made available to protect the public. The public health measures put in place in the interim were what had kept infections below a level that would overwhelm Australia's healthcare system, he said, and any relaxation had to be done carefully and gradually. Read more here.  Melbourne Storm plan to be back training on May 1 but where they will train remains uncertain. The Storm immediately notified all players they would need to be ready to begin training by May 1 following the NRL’s decision on Thursday to resume their season on May 28 after stopping due to the COVID-19 pandemic. Melbourne Storm players will return to training on May 1.Credit:Getty The Storm have utility Brandon Smith with his family in New Zealand, while a host of players are with their families in NSW and Queensland. All those players will likely need to be under quarantine for two weeks should they have to move over state borders. But Storm football director Frank Ponissi told the club media team he was waiting for more information on where the team will be training. The NSW Teachers Federation has suggested a staged return to school once health authorities and governments start lifting social distancing restrictions, beginning with year 12 and kindergarten. As schools prepare to deliver term two online, federation president Angelo Gavrielatos said leaders needed to think about how to ensure an ""orderly return"" when circumstances changed, avoiding a deluge of students when older or vulnerable teachers were unable to return. The NSW Teachers Federation says year 12 and kindy should be given priority when schools reopen. ""An option could be a staggered return to our schools,"" he said. ""I've advanced a proposition that part of an orderly [process], we could consider a return of year 12 and kindergarten, followed by year seven and year six, and progressively pad that out."" Read more here.  London: Recovered coronavirus patients can have very low levels of antibodies in their system, researchers have found, in a discovery that could hamper the development of immunity tests. A team from Fudan University in China analysed blood from 175 patients discharged from the Shanghai Public Health Clinical Centre and found nearly a third had surprisingly few antibodies. A security officer protects a tram as operations resume on two lines in Wuhan, China, on Wednesday.Credit:Getty Images In 10 patients, antibodies could not be detected at all, which could also place them at greater risk of a secondary infection, the researchers warned. ""Whether these patients were at high risk of rebound or reinfection should be explored in further studies,"" the authors wrote in an article on the preprint website Medrxiv.org, an online platform for early research which has not yet been peer-reviewed. Read more here.  Telegraph, London  A Perth Magistrate had stern words for the man accused of sneaking out of hotel quarantine on multiple occasions to visit his girlfriend in Armadale, as prosecutors indicated they would seek immediate jail time. Jonathan David is accused of failing to comply with a self-isolation directive issued under the Emergency Management Act in the wake of the coronavirus pandemic after flying into Perth from Victoria on March 27. Jonathan David is accused of sneaking out of his room at the Travelodge Hotel Perth to see his girlfriend while in 14-day quarantine. Credit:Facebook After unsuccessfully applying for bail in the Perth Magistrates Court on Monday, the 35-year-old tried for a second time on Thursday, with his request again denied. Defence lawyer Gregory Chin claimed his client’s circumstances had changed during the week and bail should have been granted as his 14-day isolation period had now finished. Read more here.  People burning themselves while cooking are taking up intensive care beds that may be needed for gravely ill coronavirus patients. Specialists at The Alfred hospital have reported a surge in severe burns since Victoria's stage-3 lockdown came into effect last month. Associate Professor Heather Cleland: ""People are ending up in intensive care beds with these injuries at a time when those beds are going to become very precious.""Credit:Vince Caligiuri  Many of the injuries being treated at the hospital's burns unit have been caused by hot oil with others resulting from people cooking while intoxicated. Associate Professor Heather Cleland, director of the Victorian Adult Burns Service at The Alfred, said the hospital had noted a significant increase in patients with severe cooking-related burns. Read more here.  The AFL and Channel Seven look set to reinforce one of world sport's longest-running broadcast partnerships as the two parties negotiate a potential two-year extension of the game's media rights. Seeking some certainty amid the COVID-19 crisis that has wiped out football indefinitely, the AFL, the Seven Network and Fox Sports are exploring a new marginally reduced contract that would run until 2024. Gillon McLachlan and the AFL and Channel Seven are negotiating a potential two-year extension of the game's media rights.Credit:Getty Images In a series of sensitive talks involving league chief Gillon McLachlan, his chief financial officer Ray Gunston and respective media bosses James Warburton and Patrick Delaney, the AFL is also negotiating a new 2020 rights package dependent on when and if the season resumes. In marked contrast to the bitter fall-out between the NRL and Nine, Seven and Fox have remained publicly supportive of the AFL and McLachlan's determination to salvage something of the 2020 season. Read more here.  Fremantle captain Nat Fyfe will be investigated by police after stopping for a surf in Margaret River. Police Commissioner Chris Dawson said police would investigate. ""Surfing is not an essential activity, unless you're a professional surfer,"" he said. ""So on the face of it, it looks like there are some questions to be answered. Police will investigate."" Surfers at Gas Bay, near Margaret River, spotted Fremantle Dockers captain Nat Fyfe going for a surf.Credit:ABC Great Southern Fyfe raised eyebrows when he was spotted surfing on Thursday morning at Gas Bay, more than 400 kilometres from Fyfe’s home town of Lake Grace, where he is basing himself during the indefinite AFL hiatus. But the Dockers told the ABC that Fyfe had been driving a truck for his father's business and was in the region when he stopped to surf. While Australians have been urged to stay at home by state and federal governments, exercise is a permitted reason to be outside, provided social distancing practices are upheld. If guilty of breaching travel restrictions, Fyfe could be up for a $1000 on the spot fine. Copyright © 2020"," Sarah Keoghan, Mary Ward , Latika Bourke ","April 9, 2020"
2,/national/queensland/search-expanded-for-teen-missing-at-notorious-far-north-qld-swimming-spot-20200409-p54ir2.html,Search expanded for teen missing at notorious far north Qld swimming spot,"Police have expanded the search area for a missing teen feared to have drowned at a notorious far north Queensland swimming spot. The 18-year-old, identified as student and Scout member Madison Tam, was swimming with friends at Babinda Boulders, south of Cairns, on Monday afternoon when she failed to resurface. Crews search for missing teen Madison Tam at Babinda Boulders on Thursday.Credit:Queensland Police Service Police were called to the site about 3pm and a multi-agency land and water search was launched, including SES volunteers, swift water rescue crews and paramedics. But dangerous conditions hampered the search, which has since been extended five kilometres down stream, Detective Acting Inspector Jason Smith said on Thursday. ""These rock pools are deep, fast flowing and, over time, deep crevices have eroded in the massive boulders at the water hole,"" he said. ""The dangers were very real for our divers, and the force of the water into one crevice was so strong, we feared our diver would not be retrieved."" The Babinda Boulders and nearby Rotary Park have since been closed to the public. Scouts Queensland chief commissioner Daryl Scott told the Cairns Post Ms Tam is an ""outgoing, inspiring and accomplished young woman"". Located about 60 kilometres south of Cairns, the site has seen numerous deaths over the years. A 2010 Cairns council report, cited in a coroner's report into the death of a man at the site that year, put the total number of deaths at 17. In his findings, Northern Coroner Kevin Priestly said he would have recommended the declaration of a ""no go zone"" at the Devil's Pool section of the site had the council not already established one. Matt Dennien is a reporter for the Brisbane Times. Copyright © 2020", Matt Dennien ,"April 9, 2020"
3,/national/queensland/search-expanded-for-teen-missing-at-notorious-far-north-qld-swimming-spot-20200409-p54ir2.html,Search expanded for teen missing at notorious far north Qld swimming spot,"Police have expanded the search area for a missing teen feared to have drowned at a notorious far north Queensland swimming spot. The 18-year-old, identified as student and Scout member Madison Tam, was swimming with friends at Babinda Boulders, south of Cairns, on Monday afternoon when she failed to resurface. Crews search for missing teen Madison Tam at Babinda Boulders on Thursday.Credit:Queensland Police Service Police were called to the site about 3pm and a multi-agency land and water search was launched, including SES volunteers, swift water rescue crews and paramedics. But dangerous conditions hampered the search, which has since been extended five kilometres down stream, Detective Acting Inspector Jason Smith said on Thursday. ""These rock pools are deep, fast flowing and, over time, deep crevices have eroded in the massive boulders at the water hole,"" he said. ""The dangers were very real for our divers, and the force of the water into one crevice was so strong, we feared our diver would not be retrieved."" The Babinda Boulders and nearby Rotary Park have since been closed to the public. Scouts Queensland chief commissioner Daryl Scott told the Cairns Post Ms Tam is an ""outgoing, inspiring and accomplished young woman"". Located about 60 kilometres south of Cairns, the site has seen numerous deaths over the years. A 2010 Cairns council report, cited in a coroner's report into the death of a man at the site that year, put the total number of deaths at 17. In his findings, Northern Coroner Kevin Priestly said he would have recommended the declaration of a ""no go zone"" at the Devil's Pool section of the site had the council not already established one. Matt Dennien is a reporter for the Brisbane Times. Copyright © 2020", Matt Dennien ,"April 9, 2020"
4,/national/victoria/a-bleak-easter-in-the-bluestone-churches-of-victoria-s-oldest-town-20200406-p54hlb.html,A bleak Easter in the bluestone churches of Victoria's oldest town,"On Easter Sunday, the holiest day of the Christian calendar, a deacon will unlock the door of St Stephen's, Victoria’s oldest Anglican church, step inside, lock the door behind him and, alone, perform a 10 o’clock morning prayer service. Deacon Brian Lineker after his solitary morning prayers at Victoria’s oldest Anglican Church, St Stephen's at Portland.
 The same thing will happen at 4pm in the handsome bluestone church, built in 1856. It will be, says Deacon Brian Lineker, the first time in the history of St Stephen's church and its humble antecedents in the town of Portland, south-west Victoria, that services have not been held for the public at Easter. “Until now, our services have been held every Sunday without a single break since the first week that Edward Henty stepped ashore in Portland in 1834,” said Reverend Lineker, referring to the man generally credited with being the first European settler in Victoria, though sealers and the whaler William Dutton had been there before. “The Sunday services didn’t stop for world wars or even the 1919 Spanish flu pandemic or the polio epidemic in 1937.” The current coronavirus pandemic, however, has closed the doors of every place of worship in Australia on the instructions last month of federal and state governments. Among other historic bluestone churches in Portland closed down are the graceful Catholic All Saints Church, built above the town's harbour in 1857, and Wesley Church, now a Uniting Church, built in 1865. Since the closure, either Reverend Lineker or his fellow cleric, Deacon Alan Ford, have performed lonely prayer services, morning and evening, at St Stephen’s. They admit they lack the technical ability to stream the services via the internet. The two deacons devote part of each day to phoning parishioners to ensure their needs are being met. The lack of a congregation for services, however, is causing a crisis of purpose, Reverend Lineker says. “I’m also the chaplain to the Mission to Seafarers here in Portland, but of course that’s not operating. I’m the chaplain to three nursing homes, and I’m not allowed to enter any of them, either. “So I give the morning and evening prayers alone, and I go for a run. It’s a difficult time."" The activities director at one of Portland’s larger nursing homes had told him many of the residents were distressed at the loss of a Sunday service. Portland's Catholic All Saints Church.  “A lot of the people there are in their 80s and beyond. They look forward to the Sunday service, and suddenly, it’s not there for them,” the deacon said. St Stephen’s was built in 1856 with the support of the Henty family, making it Victoria’s oldest Anglican church. However, continuous Church of England services had been held in the 24 years before that, first in the open, later in the Henty family home and at the Henty woolstore and, from 1842, in a schoolhouse that still sits next to the church. A huge olive tree, planted in 1881 from a seed taken from the Garden of Gethsemane at the foot of the Mount of Olives in Jerusalem – where the Gospels say Jesus underwent his anguish, sweating drops of blood the night before he was arrested and crucified – sits by the church walls. And now, like all the other churches in the land, a virus has condemned the old bluestone churches of south-west Victoria to sit empty, apart from the lonely whisper of morning and evening prayers. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Tony Wright is the associate editor and special writer for The Age and The Sydney Morning Herald. Copyright © 2020", Tony Wright ,"April 9, 2020"
5,/national/victoria/a-bleak-easter-in-the-bluestone-churches-of-victoria-s-oldest-town-20200406-p54hlb.html,A bleak Easter in the bluestone churches of Victoria's oldest town,"On Easter Sunday, the holiest day of the Christian calendar, a deacon will unlock the door of St Stephen's, Victoria’s oldest Anglican church, step inside, lock the door behind him and, alone, perform a 10 o’clock morning prayer service. Deacon Brian Lineker after his solitary morning prayers at Victoria’s oldest Anglican Church, St Stephen's at Portland.
 The same thing will happen at 4pm in the handsome bluestone church, built in 1856. It will be, says Deacon Brian Lineker, the first time in the history of St Stephen's church and its humble antecedents in the town of Portland, south-west Victoria, that services have not been held for the public at Easter. “Until now, our services have been held every Sunday without a single break since the first week that Edward Henty stepped ashore in Portland in 1834,” said Reverend Lineker, referring to the man generally credited with being the first European settler in Victoria, though sealers and the whaler William Dutton had been there before. “The Sunday services didn’t stop for world wars or even the 1919 Spanish flu pandemic or the polio epidemic in 1937.” The current coronavirus pandemic, however, has closed the doors of every place of worship in Australia on the instructions last month of federal and state governments. Among other historic bluestone churches in Portland closed down are the graceful Catholic All Saints Church, built above the town's harbour in 1857, and Wesley Church, now a Uniting Church, built in 1865. Since the closure, either Reverend Lineker or his fellow cleric, Deacon Alan Ford, have performed lonely prayer services, morning and evening, at St Stephen’s. They admit they lack the technical ability to stream the services via the internet. The two deacons devote part of each day to phoning parishioners to ensure their needs are being met. The lack of a congregation for services, however, is causing a crisis of purpose, Reverend Lineker says. “I’m also the chaplain to the Mission to Seafarers here in Portland, but of course that’s not operating. I’m the chaplain to three nursing homes, and I’m not allowed to enter any of them, either. “So I give the morning and evening prayers alone, and I go for a run. It’s a difficult time."" The activities director at one of Portland’s larger nursing homes had told him many of the residents were distressed at the loss of a Sunday service. Portland's Catholic All Saints Church.  “A lot of the people there are in their 80s and beyond. They look forward to the Sunday service, and suddenly, it’s not there for them,” the deacon said. St Stephen’s was built in 1856 with the support of the Henty family, making it Victoria’s oldest Anglican church. However, continuous Church of England services had been held in the 24 years before that, first in the open, later in the Henty family home and at the Henty woolstore and, from 1842, in a schoolhouse that still sits next to the church. A huge olive tree, planted in 1881 from a seed taken from the Garden of Gethsemane at the foot of the Mount of Olives in Jerusalem – where the Gospels say Jesus underwent his anguish, sweating drops of blood the night before he was arrested and crucified – sits by the church walls. And now, like all the other churches in the land, a virus has condemned the old bluestone churches of south-west Victoria to sit empty, apart from the lonely whisper of morning and evening prayers. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Tony Wright is the associate editor and special writer for The Age and The Sydney Morning Herald. Copyright © 2020", Tony Wright ,"April 9, 2020"
6,/national/queensland/police-shoot-man-after-alleged-carjacking-in-brisbane-s-south-20200409-p54in8.html,Police shoot man after alleged carjacking in Brisbane's south,"A man has been shot after he allegedly crashed a stolen car and tried to steal another car at knifepoint before threatening police in a nearby park. Emergency services were called to the scene on Oxley Station Road about 2pm on Thursday after reports of a traffic crash. Replay   People were urged to avoid part of the southern suburb of Oxley as emergency services responded to the incident – the second police shooting this week. Multiple vehicles were reported to be involved, with footage from the scene showing one car crumpled into the rear of another and a person being carried into an ambulance. Detective Superintendent Tony Fleming said police would allege the young man ""stole a car under some duress towards another person"" in the nearby suburb of Darra before travelling along Seventeen Mile Rocks Road. The man crashed into the back of another car at an intersection then abandoned the stolen vehicle while carryng a knife. The driver of the second car stayed inside out of fear for his safety. Queensland police have shot a man in Oxley after an alleged rampage on Thursday afternoon.Credit:Nine News Queensland / Twitter ""I’m told that the first man then ran down the road and attempted to steal another car ... but was unable to leave the car park,"" Superintendent Fleming said, noting it was still very early in the investigation. He said a bystander in his early 20s, who went to the aid of a woman and was struck by the vehicle during the man's attempt to flee, had been taken to hospital. The man then ran down the road and was seen by a lone officer who was driving towards a nearby park. After conversations with witnesses led the officer to the man, he tried to negotiate before firing a taser. ""It's my understanding that was not successful,"" Superintendent Fleming said. ""He was then threatened with the knife, where he feared for his safety, and he discharged a number of rounds from his police-issued pistol."" The man was struck in the torso and was immediately helped by officers. Paramedics were called and took him to hospital in a serious condition. The police ethical standards command, with oversight by the Crime and Corruption Commission, will investigate the matter. On Monday police fatally shot a man who had set himself alight and ran at officers in a Sunnybank Hills car park. Anyone with information is urged to contact Policelink on 13 14 44 or Crime Stoppers on 1800 333 000. Matt Dennien is a reporter for the Brisbane Times. Copyright © 2020", Matt Dennien ,"April 9, 2020"
7,/national/queensland/police-shoot-man-after-alleged-carjacking-in-brisbane-s-south-20200409-p54in8.html,Police shoot man after alleged carjacking in Brisbane's south,"A man has been shot after he allegedly crashed a stolen car and tried to steal another car at knifepoint before threatening police in a nearby park. Emergency services were called to the scene on Oxley Station Road about 2pm on Thursday after reports of a traffic crash. Replay   People were urged to avoid part of the southern suburb of Oxley as emergency services responded to the incident – the second police shooting this week. Multiple vehicles were reported to be involved, with footage from the scene showing one car crumpled into the rear of another and a person being carried into an ambulance. Detective Superintendent Tony Fleming said police would allege the young man ""stole a car under some duress towards another person"" in the nearby suburb of Darra before travelling along Seventeen Mile Rocks Road. The man crashed into the back of another car at an intersection then abandoned the stolen vehicle while carryng a knife. The driver of the second car stayed inside out of fear for his safety. Queensland police have shot a man in Oxley after an alleged rampage on Thursday afternoon.Credit:Nine News Queensland / Twitter ""I’m told that the first man then ran down the road and attempted to steal another car ... but was unable to leave the car park,"" Superintendent Fleming said, noting it was still very early in the investigation. He said a bystander in his early 20s, who went to the aid of a woman and was struck by the vehicle during the man's attempt to flee, had been taken to hospital. The man then ran down the road and was seen by a lone officer who was driving towards a nearby park. After conversations with witnesses led the officer to the man, he tried to negotiate before firing a taser. ""It's my understanding that was not successful,"" Superintendent Fleming said. ""He was then threatened with the knife, where he feared for his safety, and he discharged a number of rounds from his police-issued pistol."" The man was struck in the torso and was immediately helped by officers. Paramedics were called and took him to hospital in a serious condition. The police ethical standards command, with oversight by the Crime and Corruption Commission, will investigate the matter. On Monday police fatally shot a man who had set himself alight and ran at officers in a Sunnybank Hills car park. Anyone with information is urged to contact Policelink on 13 14 44 or Crime Stoppers on 1800 333 000. Matt Dennien is a reporter for the Brisbane Times. Copyright © 2020", Matt Dennien ,"April 9, 2020"
8,/national/queensland/charges-laid-over-one-alleged-car-theft-as-police-investigate-another-20200409-p54iqr.html,Charges laid over one alleged car theft as police investigate another,"A 40-year-old man has been charged after he allegedly stole a twin-cab ute with a sleeping five-year-old boy in the back seat, as police appeal for details of a similar but unrelated incident earlier this week. The Bucasia man was charged with unlawful use of a motor vehicle, serious assault and possession of dangerous drugs after the incident in north Mackay on Wednesday. Replay   He was due to face Mackay Magistrates Court on Thursday. It followed an incident in the Lockyer Valley in which a car was stolen from a shop car park with a three-year-old boy still inside. The child's 31-year-old pregnant mother suffered minor injuries trying to open the driver-side door as the thief drove off from the Glenore Grove Store, west of Brisbane, about 6am on Tuesday. Police are now searching for the man, who stopped a short distance down Brightview Road to let the unharmed boy out, before continuing east in the white Hyundai i30. The man was described as Caucasian, about 170 centimetres tall, with a slim build, short brown hair and blue eyes. Gatton detectives have appealed for anyone with dashcam footage or information about the incident to contact Policelink on 13 14 44 or Crime Stoppers on 1800 333 000. Matt Dennien is a reporter for the Brisbane Times. Copyright © 2020", Matt Dennien ,"April 9, 2020"
9,/national/queensland/charges-laid-over-one-alleged-car-theft-as-police-investigate-another-20200409-p54iqr.html,Charges laid over one alleged car theft as police investigate another,"A 40-year-old man has been charged after he allegedly stole a twin-cab ute with a sleeping five-year-old boy in the back seat, as police appeal for details of a similar but unrelated incident earlier this week. The Bucasia man was charged with unlawful use of a motor vehicle, serious assault and possession of dangerous drugs after the incident in north Mackay on Wednesday. Replay   He was due to face Mackay Magistrates Court on Thursday. It followed an incident in the Lockyer Valley in which a car was stolen from a shop car park with a three-year-old boy still inside. The child's 31-year-old pregnant mother suffered minor injuries trying to open the driver-side door as the thief drove off from the Glenore Grove Store, west of Brisbane, about 6am on Tuesday. Police are now searching for the man, who stopped a short distance down Brightview Road to let the unharmed boy out, before continuing east in the white Hyundai i30. The man was described as Caucasian, about 170 centimetres tall, with a slim build, short brown hair and blue eyes. Gatton detectives have appealed for anyone with dashcam footage or information about the incident to contact Policelink on 13 14 44 or Crime Stoppers on 1800 333 000. Matt Dennien is a reporter for the Brisbane Times. Copyright © 2020", Matt Dennien ,"April 9, 2020"
