,link,header,article,author,date
0,/national/nsw/blogger-ordered-to-pay-400-000-in-defamation-suit-over-commune-debacle-20200408-p54ibm.html,"Blogger ordered to pay $400,000 in defamation suit over commune 'debacle'","Two men who were part of a bungled ""Truthology"" commune in northern NSW have successfully sued a blogger for defamation after she accused them of fraud and deception over their plans. Adrian Brennock and Phillip Dixon were each awarded $200,000 plus legal costs when a judge found Gillian Norman had consistently defamed them on her two blogs and in an article she wrote for the Nimbin Good Times newspaper. The men were linked to a failed attempt to establish the ""Bhula Bhula Intentional Community"" on a property at Mount Burrell, near the alternative mecca of Nimbin in the Northern Rivers. The commune was at Mount Burrell, near the alternative mecca of Nimbin in northern NSW (pictured).Credit:Janie Barrett The commune was partially led by Mark Darwin, who conducted seminars on alternative living at Byron Bay's Lighthouse Cafe and numerous other locations, under the banner of Truthology, which he described as ""the study of the truth"". Mr Brennock and Mr Dixon were associates of Mr Darwin, who was originally also a plaintiff in the case but discontinued. Wollumbin Horizons purchased the land in June 2015, and in August that year Ms Norman paid $120,000 for a unit in the associated trust. The following month she took part in a monthly ""camp-out"" on the land, but set up her camp in an ""exclusion zone"" near the Tweed River bank. At the end of the weekend, Ms Norman did not leave the site with the other unit holders. ""Instead she remained in occupation and made her camp steadily more permanent. She placed a campervan on the site and established a garden,"" the judgment said. From the middle of that year, Tweed Shire Council received multiple complaints from neighbours about unauthorised developments on the land. In 2017, following an application from the council, the Land and Environment Court gave the community 28 days to remove shipping containers and other structures from the land. Several investors, including Ms Norman, attempted to recover their money but ""the company had no funds from which to meet these claims"" and Wollumbin Horizons was wound up in late 2017. In his defamation suit ruling on Wednesday, Supreme Court Justice Desmond Fagan said the commune project was ""undoubtedly a debacle"" and Mr Darwin should not have solicited investments without verifying that the council would grant the relevant approvals. But he found Ms Norman was unable to show any justification for her assertion the men's conduct  ""went beyond folly to fraud"". ""Nor does she recognise the degree to which her own lack of care and judgment contributed to her loss,"" Justice Fagan wrote. Ms Norman was self-represented in court except for the final two days of the trial, when she hired a lawyer who, in the words of the judge, ""introduced a measure of order and focus in the defendant's case that had been lacking until then"". Justice Fagan also granted a permanent injunction restraining Ms Norman from making any further publications on the issue, as he perceived she held an ""irrational attitude"" towards the plaintiffs. ""Her persistence in the defence of truth, in the absence of evidence, is a strong indication of her fixated, crusading belief that they are fraudsters,"" he wrote. Michael Koziol is deputy editor of The Sun-Herald, based in Sydney. Copyright © 2020", Michael Koziol ,"April 9, 2020"
1,/national/nsw/blogger-ordered-to-pay-400-000-in-defamation-suit-over-commune-debacle-20200408-p54ibm.html,"Blogger ordered to pay $400,000 in defamation suit over commune 'debacle'","Two men who were part of a bungled ""Truthology"" commune in northern NSW have successfully sued a blogger for defamation after she accused them of fraud and deception over their plans. Adrian Brennock and Phillip Dixon were each awarded $200,000 plus legal costs when a judge found Gillian Norman had consistently defamed them on her two blogs and in an article she wrote for the Nimbin Good Times newspaper. The men were linked to a failed attempt to establish the ""Bhula Bhula Intentional Community"" on a property at Mount Burrell, near the alternative mecca of Nimbin in the Northern Rivers. The commune was at Mount Burrell, near the alternative mecca of Nimbin in northern NSW (pictured).Credit:Janie Barrett The commune was partially led by Mark Darwin, who conducted seminars on alternative living at Byron Bay's Lighthouse Cafe and numerous other locations, under the banner of Truthology, which he described as ""the study of the truth"". Mr Brennock and Mr Dixon were associates of Mr Darwin, who was originally also a plaintiff in the case but discontinued. Wollumbin Horizons purchased the land in June 2015, and in August that year Ms Norman paid $120,000 for a unit in the associated trust. The following month she took part in a monthly ""camp-out"" on the land, but set up her camp in an ""exclusion zone"" near the Tweed River bank. At the end of the weekend, Ms Norman did not leave the site with the other unit holders. ""Instead she remained in occupation and made her camp steadily more permanent. She placed a campervan on the site and established a garden,"" the judgment said. From the middle of that year, Tweed Shire Council received multiple complaints from neighbours about unauthorised developments on the land. In 2017, following an application from the council, the Land and Environment Court gave the community 28 days to remove shipping containers and other structures from the land. Several investors, including Ms Norman, attempted to recover their money but ""the company had no funds from which to meet these claims"" and Wollumbin Horizons was wound up in late 2017. In his defamation suit ruling on Wednesday, Supreme Court Justice Desmond Fagan said the commune project was ""undoubtedly a debacle"" and Mr Darwin should not have solicited investments without verifying that the council would grant the relevant approvals. But he found Ms Norman was unable to show any justification for her assertion the men's conduct  ""went beyond folly to fraud"". ""Nor does she recognise the degree to which her own lack of care and judgment contributed to her loss,"" Justice Fagan wrote. Ms Norman was self-represented in court except for the final two days of the trial, when she hired a lawyer who, in the words of the judge, ""introduced a measure of order and focus in the defendant's case that had been lacking until then"". Justice Fagan also granted a permanent injunction restraining Ms Norman from making any further publications on the issue, as he perceived she held an ""irrational attitude"" towards the plaintiffs. ""Her persistence in the defence of truth, in the absence of evidence, is a strong indication of her fixated, crusading belief that they are fraudsters,"" he wrote. Michael Koziol is deputy editor of The Sun-Herald, based in Sydney. Copyright © 2020", Michael Koziol ,"April 9, 2020"
2,/national/nsw/luxury-cars-and-property-purchased-with-proceeds-of-insidious-ndis-fraud-20200409-p54imk.html,Luxury cars and property purchased with proceeds of 'insidious' NDIS fraud,"A Porsche, a Mercedes-Benz and a Goulburn property purchased with the proceeds of a million-dollar fraud against the National Disability Insurance Scheme have been forfeited to the Commonwealth. Last month Alaedine Rifai, 41, and his partner Amal Hilmi, 36, pleaded guilty to defrauding the federal scheme of $1.5 million through a criminal syndicate that earned some members upwards of $50,000 a day. A Mercedes E63 registered in the name of Alaedine Rifai.Credit:Australian Federal Police Together the western Sydney couple enjoyed a lavish lifestyle funded by the proceeds of the criminal enterprise. For Ms Hilmi, that included an $83,000 Porsche Cayenne purchased in August 2018 in her name and a property in Goulburn, purchased for $280,000 the next month. For Mr Rifai, the proceeds of the fraud went towards a $62,000 Mercedes-Benz E63 and an $18,000 Audi S3, purchased in August and September 2018. Last year a court heard other luxury items such as watches, land and jewellery had also been purchased with the spoils of the syndicate. Valued at $340,000, the cars and the Goulburn property were formally forfeited to the Commonwealth in the NSW Supreme Court last week. The Audi S3 was also in Mr Rifai's name.Credit:AFP AFP officers arrested the pair in a series of raids across Sydney last year, following a six-month investigation by the NDIS fraud taskforce. The investigation exposed Mr Rifai and Ms Hilmi's involvement in the group, which netted money by hiding behind three registered NDIS service providers: Universal Group Australia, Reliance Disability Services and United Mission. The providers offered services such as nursing, cleaning, transport and home fit-outs. Under the conspiracy the couple lodged over-inflated invoices for such services and falsely drew from victims' disability plans, leaving them unable to make further claims. In other examples authorities found services were either deliver in part only or not at all. More than 50 people on disability plans are estimated to have been impacted. At the time of their arrest federal police acting Commander Mark McIntyre said the sole aim of the operation was ""to steal funds designed to support the participants of the NDIS just to service their own lavish lifestyle."" Last month the couple pleaded guilty in Sydney's Central Local Court to conspiracy to defraud the Commonwealth. They will next appear before the NSW District Court at a later date for sentencing. Both remain in custody until their next appearance. Stefan Jerga, Australian Federal Police national manager of Criminal Assets Confiscation, said the criminal operation had targeted some of the most vulnerable Australians “Fraud against the NDIS, and fraud more generally against government measures intended to support our most vulnerable and in need, is an insidious criminal activity,"" he said. ""This forfeiture should reassure our community that at this very challenging time for our nation, agencies across the Commonwealth are working proactively together to deliver and safeguard government measures, which support the community,"" he said. Mr Jerga said targeting the criminal economy by confiscating criminal assets and removing the profit from crime ""is one of a number of strategies ... to deliver maximum damage to the criminal environment."" The NDIS Fraud Taskforce consists of members from the AFP, the National Disability Insurance Agency and Services Australia. Lucy Cormack is a crime reporter with The Sydney Morning Herald. Copyright © 2020", Lucy Cormack ,"April 9, 2020"
3,/national/nsw/luxury-cars-and-property-purchased-with-proceeds-of-insidious-ndis-fraud-20200409-p54imk.html,Luxury cars and property purchased with proceeds of 'insidious' NDIS fraud,"A Porsche, a Mercedes-Benz and a Goulburn property purchased with the proceeds of a million-dollar fraud against the National Disability Insurance Scheme have been forfeited to the Commonwealth. Last month Alaedine Rifai, 41, and his partner Amal Hilmi, 36, pleaded guilty to defrauding the federal scheme of $1.5 million through a criminal syndicate that earned some members upwards of $50,000 a day. A Mercedes E63 registered in the name of Alaedine Rifai.Credit:Australian Federal Police Together the western Sydney couple enjoyed a lavish lifestyle funded by the proceeds of the criminal enterprise. For Ms Hilmi, that included an $83,000 Porsche Cayenne purchased in August 2018 in her name and a property in Goulburn, purchased for $280,000 the next month. For Mr Rifai, the proceeds of the fraud went towards a $62,000 Mercedes-Benz E63 and an $18,000 Audi S3, purchased in August and September 2018. Last year a court heard other luxury items such as watches, land and jewellery had also been purchased with the spoils of the syndicate. Valued at $340,000, the cars and the Goulburn property were formally forfeited to the Commonwealth in the NSW Supreme Court last week. The Audi S3 was also in Mr Rifai's name.Credit:AFP AFP officers arrested the pair in a series of raids across Sydney last year, following a six-month investigation by the NDIS fraud taskforce. The investigation exposed Mr Rifai and Ms Hilmi's involvement in the group, which netted money by hiding behind three registered NDIS service providers: Universal Group Australia, Reliance Disability Services and United Mission. The providers offered services such as nursing, cleaning, transport and home fit-outs. Under the conspiracy the couple lodged over-inflated invoices for such services and falsely drew from victims' disability plans, leaving them unable to make further claims. In other examples authorities found services were either deliver in part only or not at all. More than 50 people on disability plans are estimated to have been impacted. At the time of their arrest federal police acting Commander Mark McIntyre said the sole aim of the operation was ""to steal funds designed to support the participants of the NDIS just to service their own lavish lifestyle."" Last month the couple pleaded guilty in Sydney's Central Local Court to conspiracy to defraud the Commonwealth. They will next appear before the NSW District Court at a later date for sentencing. Both remain in custody until their next appearance. Stefan Jerga, Australian Federal Police national manager of Criminal Assets Confiscation, said the criminal operation had targeted some of the most vulnerable Australians “Fraud against the NDIS, and fraud more generally against government measures intended to support our most vulnerable and in need, is an insidious criminal activity,"" he said. ""This forfeiture should reassure our community that at this very challenging time for our nation, agencies across the Commonwealth are working proactively together to deliver and safeguard government measures, which support the community,"" he said. Mr Jerga said targeting the criminal economy by confiscating criminal assets and removing the profit from crime ""is one of a number of strategies ... to deliver maximum damage to the criminal environment."" The NDIS Fraud Taskforce consists of members from the AFP, the National Disability Insurance Agency and Services Australia. Lucy Cormack is a crime reporter with The Sydney Morning Herald. Copyright © 2020", Lucy Cormack ,"April 9, 2020"
4,/national/nsw/state-under-pressure-for-full-disclosure-of-sydney-s-metro-rail-project-20200409-p54ikr.html,State under pressure for full disclosure of Sydney's metro rail project,"The Berejikilian government is under renewed pressure to release the entire business case for the metro rail line it is building under central Sydney, the cost of which has blown out by up to $3 billion. A parliamentary inquiry into the project found the ""case and rationale"" for converting a 13-kilometre stretch of the Bankstown Line, which will form part of the Sydney Metro City and Southwest project, has ""not been adequately made out"". The government has released a summary of the final business case for the 30-kilometre rail line from Chatswood to Bankstown via the CBD, leading to accusations the project lacks transparency. The plans to convert a section of the Bankstown Line to carry single-deck metro trains have been controversial.Credit:Simon Alekna The inquiry's report, released on Thursday, recommended the full business case be released immediately, and that the government end the metro line at Sydenham, instead of continuing it on to Bankstown. It argued that the Bankstown Line conversion was not ""value for money, and the projected benefits do not outweigh the expected disruption to local communities or damage to heritage and wildlife"". However, the three Coalition MPs on the inquiry described, in a dissenting statement, the recommendation to cancel the work to convert the Bankstown Line as a ""farce"", arguing the government was delivering on a key pledge it made at the state election a year ago. Upper house Greens MP Abigail Boyd, who chaired the inquiry, said the government would have released the entire business case long ago if it was confident the project would stand up to scrutiny. And Labor leader Jodi McKay said the failure to publish the business case was ""yet another example of the entrenched culture of secrecy within this government"". But a spokeswoman for Transport Minister Andrew Constance said the government was focused on its commitment to the ""community and delivering this project"". ""We took the Southwest Metro upgrade to last year’s election, and won,"" she said. The Herald recently revealed the government expects the cost of Metro City and Southwest to blow out by up to $3 billion, which will increase the final cost to $15.5 billion. The release of the report comes after the government this week indicated it will treat plans for another metro rail line from Sydney's CBD to Westmead, near Parramatta, as a key priority and a way to stimulate the economy once the coronavirus pandemic is over. It has called for expressions of interest from the private sector for the first two tunnelling contracts for the Metro West project from Westmead to Sydney Olympic Park at Homebush, and eastwards from Olympic Park to the Bays precinct near Rozelle. Tunnelling is due to start late 2022. Mr Constance has said Metro West will cost ""upwards of $20 billion"".  Matt O'Sullivan is City Editor at The Sydney Morning Herald. Copyright © 2020", Matt O'Sullivan ,"April 9, 2020"
5,/national/nsw/state-under-pressure-for-full-disclosure-of-sydney-s-metro-rail-project-20200409-p54ikr.html,State under pressure for full disclosure of Sydney's metro rail project,"The Berejikilian government is under renewed pressure to release the entire business case for the metro rail line it is building under central Sydney, the cost of which has blown out by up to $3 billion. A parliamentary inquiry into the project found the ""case and rationale"" for converting a 13-kilometre stretch of the Bankstown Line, which will form part of the Sydney Metro City and Southwest project, has ""not been adequately made out"". The government has released a summary of the final business case for the 30-kilometre rail line from Chatswood to Bankstown via the CBD, leading to accusations the project lacks transparency. The plans to convert a section of the Bankstown Line to carry single-deck metro trains have been controversial.Credit:Simon Alekna The inquiry's report, released on Thursday, recommended the full business case be released immediately, and that the government end the metro line at Sydenham, instead of continuing it on to Bankstown. It argued that the Bankstown Line conversion was not ""value for money, and the projected benefits do not outweigh the expected disruption to local communities or damage to heritage and wildlife"". However, the three Coalition MPs on the inquiry described, in a dissenting statement, the recommendation to cancel the work to convert the Bankstown Line as a ""farce"", arguing the government was delivering on a key pledge it made at the state election a year ago. Upper house Greens MP Abigail Boyd, who chaired the inquiry, said the government would have released the entire business case long ago if it was confident the project would stand up to scrutiny. And Labor leader Jodi McKay said the failure to publish the business case was ""yet another example of the entrenched culture of secrecy within this government"". But a spokeswoman for Transport Minister Andrew Constance said the government was focused on its commitment to the ""community and delivering this project"". ""We took the Southwest Metro upgrade to last year’s election, and won,"" she said. The Herald recently revealed the government expects the cost of Metro City and Southwest to blow out by up to $3 billion, which will increase the final cost to $15.5 billion. The release of the report comes after the government this week indicated it will treat plans for another metro rail line from Sydney's CBD to Westmead, near Parramatta, as a key priority and a way to stimulate the economy once the coronavirus pandemic is over. It has called for expressions of interest from the private sector for the first two tunnelling contracts for the Metro West project from Westmead to Sydney Olympic Park at Homebush, and eastwards from Olympic Park to the Bays precinct near Rozelle. Tunnelling is due to start late 2022. Mr Constance has said Metro West will cost ""upwards of $20 billion"".  Matt O'Sullivan is City Editor at The Sydney Morning Herald. Copyright © 2020", Matt O'Sullivan ,"April 9, 2020"
6,/national/nsw/ready-to-help-3d-printed-face-shields-used-to-combat-nsw-shortage-20200408-p54i5k.html,'Ready to help': 3D-printed face shields used to combat NSW shortage,"Doctors and health authorities are turning to academics and creative volunteers to make face shields for frontline workers, in a bid to combat a widespread shortage of critical personal protective equipment. Professor Gordon Wallace, of the University of Wollongong, said the institution was approached by the Illawarra Shoalhaven local health district to manufacture face shields and make prototypes for spare ventilator parts. Blake Cochran is developing creative solutions to the protective equipment shortage.Credit:James Brickwood ""It’s all really been driven by them and their needs,"" he said. ""We’re here and ready to help."" The university, in collaboration with two local 3D printing companies, has been asked to produce 3000 face shields over the next three weeks. The university has been making about 400 shields a day. The University of Wollongong is part of the national CovidSOS network of universities and research centres working together to try to remedy the shortages of personal protective equipment. A survey of 1056 doctors in emergency departments and ICUs found more than two-thirds are worried they won’t have access to the protective equipment. Associate Professor Payal Mukerjee, an ENT surgeon at Sydney Adventist Hospital, helped set up the network when she found out first hand just how difficult it was to source equipment like masks. “I couldn’t buy them anywhere, no chemists had any stock,” she said. Universities are not used to manufacturing products, Associate Professor Mukerjee said, but if their prototype equipment was needed and deemed fit for purpose, it was possible for those institutions to scale up. “We need to all think differently and start stepping out of our comfort zone,” she said. It's not just universities helping. Reverse Garbage creative director Kirsten Junor.Credit:Dominic Lorrimer At Marrickville, volunteers are using the clear plastic covers of unused office binders, sheets of foam and metres of double-sided tape to make protective face shields at the behest of one Sydney doctor. Reverse Garbage creative director Kirsten Junor said volunteers for the not-for-profit - which recycles industrial waste for creative purposes - had made 700 shields, with another 700 on the way. “They’re not glamorous, they’re not pretty, but that’s what Reverse Garbage does,"" Ms Junor said. ""It's about looking at things differently."" NSW minister for jobs Stuart Ayres said the state government had received an “overwhelming response” to its call for local businesses to start producing much-needed medical supplies. ‘So far more than 1,260 businesses have registered their interest to supply or manufacture urgently needed medical equipment and hygiene products, and they are currently being assessed,” he said. “This is an opportunity for businesses to not only diversify their product offering but produce critical products for our state in a time of need.” Mr Ayres encouraged businesses with the capacity to help to register through the government website. The portal includes a list of needed supplies as well as the strict health specifications that are required. Ms Junor got an email from a doctor at a Sydney hospital saying he was struggling to get protective equipment where he worked, and wondering if she had the materials to make face shields. She came up with a prototype before making the first 20 kits of 35 masks, which volunteers put together. The shields were delivered to hospitals and GPs, and are also being used by chemists, cleaners and teachers. Prototypes of a 3D-printed face shield created by a team at UNSW have been sent to hospitals around Sydney and even as far as Gundagai for feedback. Dr Blake Cochran, a medical researcher and lecturer at UNSW, said it took just a couple of days to go from talking about potentially creating a face shield prototype to having products ready to test. “I never thought I'd work with industrial designers, it’s a creative approach to things,” he said. The face shields have been the focus of the UNSW team, but Dr Cochran said they would be happy to try designing something else. All it would take, he said, was for hospitals, local health districts or the health department to say “this is exactly what we need”. “Whatever the next need is, we’ve got really good people to help develop solutions,” he said. Ms Junor said demand for the face shields had been rising, prompting Reverse Garbage to call for donations to help stay open. ""Humans are so good at rallying,"" she said. ""It's just about helping when you can.""  Rachel Clun is a journalist at The Sydney Morning Herald. Megan Gorrey is the Urban Affairs reporter at The Sydney Morning Herald. Copyright © 2020"," Rachel Clun , Megan Gorrey ","April 9, 2020"
7,/national/nsw/ready-to-help-3d-printed-face-shields-used-to-combat-nsw-shortage-20200408-p54i5k.html,'Ready to help': 3D-printed face shields used to combat NSW shortage,"Doctors and health authorities are turning to academics and creative volunteers to make face shields for frontline workers, in a bid to combat a widespread shortage of critical personal protective equipment. Professor Gordon Wallace, of the University of Wollongong, said the institution was approached by the Illawarra Shoalhaven local health district to manufacture face shields and make prototypes for spare ventilator parts. Blake Cochran is developing creative solutions to the protective equipment shortage.Credit:James Brickwood ""It’s all really been driven by them and their needs,"" he said. ""We’re here and ready to help."" The university, in collaboration with two local 3D printing companies, has been asked to produce 3000 face shields over the next three weeks. The university has been making about 400 shields a day. The University of Wollongong is part of the national CovidSOS network of universities and research centres working together to try to remedy the shortages of personal protective equipment. A survey of 1056 doctors in emergency departments and ICUs found more than two-thirds are worried they won’t have access to the protective equipment. Associate Professor Payal Mukerjee, an ENT surgeon at Sydney Adventist Hospital, helped set up the network when she found out first hand just how difficult it was to source equipment like masks. “I couldn’t buy them anywhere, no chemists had any stock,” she said. Universities are not used to manufacturing products, Associate Professor Mukerjee said, but if their prototype equipment was needed and deemed fit for purpose, it was possible for those institutions to scale up. “We need to all think differently and start stepping out of our comfort zone,” she said. It's not just universities helping. Reverse Garbage creative director Kirsten Junor.Credit:Dominic Lorrimer At Marrickville, volunteers are using the clear plastic covers of unused office binders, sheets of foam and metres of double-sided tape to make protective face shields at the behest of one Sydney doctor. Reverse Garbage creative director Kirsten Junor said volunteers for the not-for-profit - which recycles industrial waste for creative purposes - had made 700 shields, with another 700 on the way. “They’re not glamorous, they’re not pretty, but that’s what Reverse Garbage does,"" Ms Junor said. ""It's about looking at things differently."" NSW minister for jobs Stuart Ayres said the state government had received an “overwhelming response” to its call for local businesses to start producing much-needed medical supplies. ‘So far more than 1,260 businesses have registered their interest to supply or manufacture urgently needed medical equipment and hygiene products, and they are currently being assessed,” he said. “This is an opportunity for businesses to not only diversify their product offering but produce critical products for our state in a time of need.” Mr Ayres encouraged businesses with the capacity to help to register through the government website. The portal includes a list of needed supplies as well as the strict health specifications that are required. Ms Junor got an email from a doctor at a Sydney hospital saying he was struggling to get protective equipment where he worked, and wondering if she had the materials to make face shields. She came up with a prototype before making the first 20 kits of 35 masks, which volunteers put together. The shields were delivered to hospitals and GPs, and are also being used by chemists, cleaners and teachers. Prototypes of a 3D-printed face shield created by a team at UNSW have been sent to hospitals around Sydney and even as far as Gundagai for feedback. Dr Blake Cochran, a medical researcher and lecturer at UNSW, said it took just a couple of days to go from talking about potentially creating a face shield prototype to having products ready to test. “I never thought I'd work with industrial designers, it’s a creative approach to things,” he said. The face shields have been the focus of the UNSW team, but Dr Cochran said they would be happy to try designing something else. All it would take, he said, was for hospitals, local health districts or the health department to say “this is exactly what we need”. “Whatever the next need is, we’ve got really good people to help develop solutions,” he said. Ms Junor said demand for the face shields had been rising, prompting Reverse Garbage to call for donations to help stay open. ""Humans are so good at rallying,"" she said. ""It's just about helping when you can.""  Rachel Clun is a journalist at The Sydney Morning Herald. Megan Gorrey is the Urban Affairs reporter at The Sydney Morning Herald. Copyright © 2020"," Rachel Clun , Megan Gorrey ","April 9, 2020"
8,/national/nsw/former-nrl-star-jarryd-hayne-wants-a-jury-to-hear-his-rape-trial-20200409-p54imz.html,Former NRL star Jarryd Hayne wants a jury to hear his rape trial,"Former rugby league star Jarryd Hayne's rape trial - which had been due to start next month - has been postponed because he wants a jury to decide his fate. Newcastle District Court Judge Roy Ellis on Thursday indicated the May 4 trial would have been able to proceed if it was before a judge alone, but Hayne wanted a jury trial. Former NRL player Jarryd Hayne leaves the Newcastle Court in July 2019.Credit:AAP Judge Ellis said there would not be enough time to organise a jury panel for May 4. He also suggested the suspension on the use of juries during trials because of the coronavirus crisis would likely be lifted in the coming weeks. Defence barrister Phillip Boulten SC told the court via video link from Sydney that Hayne's legal team had considered a judge-alone trial ""very carefully"", but the former NRL player indicated he would prefer a jury trial. Mr Boulten said the Director of Public Prosecutions would have opposed a judge-alone trial anyway. Hayne, 32, has pleaded not guilty to two charges of aggravated sexual assault involving a woman in NSW's Hunter Valley. Judge Ellis agreed to vacate the May 4 trial date and ordered a new trial to begin on November 23. Prosecutor Wayne Creasey SC said the Crown accepted the new trial date. Hayne, who was excused from attending court, will not have to appear in person again until November 19 to confirm which judge will preside over the trial. The trial is expected to take two weeks. Judge Ellis agreed to a defence request to vary Hayne's bail so he no longer has to report to police once a week. The case will next return to court on July 2 for pre-trial argument over a subpoena. Hayne is accused of sexually assaulting a 26-year-old woman on September 30 in 2018 between 8pm and 10pm in Newcastle. Court documents state Hayne had sex with the woman without her consent and ""recklessly inflicted actual bodily harm"". He has been on bail since his arrest and was allowed to travel to Western Australia in July 2019 to attend a six-month missionary course at the Youth With A Mission centre. The court previously heard Hayne planned to stay in a dormitory-style accommodation near the evangelical Christian centre's training campus. The aggravated rape charges each carry a maximum 20-year jail term if Hayne is convicted. AAP Copyright © 2020", Mark Russell ,"April 9, 2020"
9,/national/nsw/former-nrl-star-jarryd-hayne-wants-a-jury-to-hear-his-rape-trial-20200409-p54imz.html,Former NRL star Jarryd Hayne wants a jury to hear his rape trial,"Former rugby league star Jarryd Hayne's rape trial - which had been due to start next month - has been postponed because he wants a jury to decide his fate. Newcastle District Court Judge Roy Ellis on Thursday indicated the May 4 trial would have been able to proceed if it was before a judge alone, but Hayne wanted a jury trial. Former NRL player Jarryd Hayne leaves the Newcastle Court in July 2019.Credit:AAP Judge Ellis said there would not be enough time to organise a jury panel for May 4. He also suggested the suspension on the use of juries during trials because of the coronavirus crisis would likely be lifted in the coming weeks. Defence barrister Phillip Boulten SC told the court via video link from Sydney that Hayne's legal team had considered a judge-alone trial ""very carefully"", but the former NRL player indicated he would prefer a jury trial. Mr Boulten said the Director of Public Prosecutions would have opposed a judge-alone trial anyway. Hayne, 32, has pleaded not guilty to two charges of aggravated sexual assault involving a woman in NSW's Hunter Valley. Judge Ellis agreed to vacate the May 4 trial date and ordered a new trial to begin on November 23. Prosecutor Wayne Creasey SC said the Crown accepted the new trial date. Hayne, who was excused from attending court, will not have to appear in person again until November 19 to confirm which judge will preside over the trial. The trial is expected to take two weeks. Judge Ellis agreed to a defence request to vary Hayne's bail so he no longer has to report to police once a week. The case will next return to court on July 2 for pre-trial argument over a subpoena. Hayne is accused of sexually assaulting a 26-year-old woman on September 30 in 2018 between 8pm and 10pm in Newcastle. Court documents state Hayne had sex with the woman without her consent and ""recklessly inflicted actual bodily harm"". He has been on bail since his arrest and was allowed to travel to Western Australia in July 2019 to attend a six-month missionary course at the Youth With A Mission centre. The court previously heard Hayne planned to stay in a dormitory-style accommodation near the evangelical Christian centre's training campus. The aggravated rape charges each carry a maximum 20-year jail term if Hayne is convicted. AAP Copyright © 2020", Mark Russell ,"April 9, 2020"
