,link,header,article,author,date
0,/politics/federal/maritime-union-faces-3m-fine-for-unlawful-action-after-dispute-with-energy-giant-20200409-p54ipl.html,Maritime union faces $3m hit for unlawful action after dispute with energy giant,"The Maritime Union of Australia has agreed not to launch any unlawful strikes or pickets against multinational energy company Chevron for the next decade or forfeit $3 million under an agreement reached in a protracted dispute over the company's use of foreign labour. If it breaches the agreement and is forced to give Chevron the compensation payment, it would be one of the largest payments ever levied against an Australian union but much smaller than the $22 million the company initially sought over the union's campaign to keep foreign crews off Chevron ships. The Maritime Union WA boss Chris Cain said in emails that his union had delayed a Chevron ship.Credit:Philip Gostelow The fine will hang over the union as it enters into negotiations with the company on a new enterprise agreement covering workers at its offshore facilities, which include multibillion-dollar gas fields. Federal Court judge Katrina Banks-Smith on Thursday ordered the union, which is one of the country's most strident, to pay the fine if any of its organisers or delegates have a hand in any unauthorised industrial action at any Chevron project, including its giant Gorgon gas field. The union will still be permitted to undertake industrial action where it is allowed under legislation. Justice Banks-Smith's decision, which put into effect a deal agreed between the union and company, ends an almost eight-year-long dispute that began when the union held up a ship called the RollDock Sun transporting freight to the Gorgon project for two days in June 2012. Chevron's Wheatstone project in Western Australia. The union was angry the vessel was crewed by foreign workers rather than local seafarers. In one email to other union members quoted in the court's judgment, the union's Western Australian secretary Chris Cain said it had ""been f---ing this vessel about for the last 2 days"" and went on to list ways the union would use safety measures to delay it further. The judge criticised the union for using safety as a tool of industrial conflict and issued an immediate penalty of $30,000, in addition to the $3 million potential compensation payment to Chevron. MUA National Secretary Paddy Crumlin said he welcomed the end of the saga. ""We accept the $30,000 fine, which allows us to finalise this issue and move on with developing a more constructive and functional relationship with the company under the existing industrial bargaining framework,"" Mr Crumlin said. The maritime union, which is part of the CFMMEU, is bargaining for a new enterprise agreement at Chevron in coalition with the Australian Workers Union. ""This collective agreement, which is supported by the overwhelming majority of Chevron's direct employees, provides an opportunity to deliver a good outcome for the company's business requirements along with the needs of their direct offshore employees,"" Mr Crumlin said. Chevron declined to comment. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Copyright © 2020", Nick Bonyhady ,"April 9, 2020"
1,/politics/federal/maritime-union-faces-3m-fine-for-unlawful-action-after-dispute-with-energy-giant-20200409-p54ipl.html,Maritime union faces $3m hit for unlawful action after dispute with energy giant,"The Maritime Union of Australia has agreed not to launch any unlawful strikes or pickets against multinational energy company Chevron for the next decade or forfeit $3 million under an agreement reached in a protracted dispute over the company's use of foreign labour. If it breaches the agreement and is forced to give Chevron the compensation payment, it would be one of the largest payments ever levied against an Australian union but much smaller than the $22 million the company initially sought over the union's campaign to keep foreign crews off Chevron ships. The Maritime Union WA boss Chris Cain said in emails that his union had delayed a Chevron ship.Credit:Philip Gostelow The fine will hang over the union as it enters into negotiations with the company on a new enterprise agreement covering workers at its offshore facilities, which include multibillion-dollar gas fields. Federal Court judge Katrina Banks-Smith on Thursday ordered the union, which is one of the country's most strident, to pay the fine if any of its organisers or delegates have a hand in any unauthorised industrial action at any Chevron project, including its giant Gorgon gas field. The union will still be permitted to undertake industrial action where it is allowed under legislation. Justice Banks-Smith's decision, which put into effect a deal agreed between the union and company, ends an almost eight-year-long dispute that began when the union held up a ship called the RollDock Sun transporting freight to the Gorgon project for two days in June 2012. Chevron's Wheatstone project in Western Australia. The union was angry the vessel was crewed by foreign workers rather than local seafarers. In one email to other union members quoted in the court's judgment, the union's Western Australian secretary Chris Cain said it had ""been f---ing this vessel about for the last 2 days"" and went on to list ways the union would use safety measures to delay it further. The judge criticised the union for using safety as a tool of industrial conflict and issued an immediate penalty of $30,000, in addition to the $3 million potential compensation payment to Chevron. MUA National Secretary Paddy Crumlin said he welcomed the end of the saga. ""We accept the $30,000 fine, which allows us to finalise this issue and move on with developing a more constructive and functional relationship with the company under the existing industrial bargaining framework,"" Mr Crumlin said. The maritime union, which is part of the CFMMEU, is bargaining for a new enterprise agreement at Chevron in coalition with the Australian Workers Union. ""This collective agreement, which is supported by the overwhelming majority of Chevron's direct employees, provides an opportunity to deliver a good outcome for the company's business requirements along with the needs of their direct offshore employees,"" Mr Crumlin said. Chevron declined to comment. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Copyright © 2020", Nick Bonyhady ,"April 9, 2020"
2,/politics/federal/dan-tehan-directs-private-schools-to-open-makes-it-a-condition-of-funding-20200409-p54imt.html,"Dan Tehan directs private schools to open, makes it a condition of funding","Private schools must open in term two for children who need supervision during the COVID-19 crisis, after Education Minister Dan Tehan issued a binding legal directive tied to their funding. Federal, state and territory leaders are still finalising what term two will look like across the country after the school holidays. Education ministers are weighing up options for a staggered shift towards more normal school operations, which could see year 12 students and those in more hands-on subjects returning to campuses for some sessions. Education Minister Dan Tehan has directed private schools to be open. Credit:Alex Ellinghausen The national cabinet meeting on Thursday discussed schools, focusing on a coherent approach after Easter holidays amid confusion among parents and teachers. Government sources said the leaders were working towards a more consistent national position on which children should be attending school, although no decisions have been made. While most private schools have been maintaining in-person supervision options for children of essential services workers in addition their rollout of distance learning, Mr Tehan has written to independent school peak bodies highlighting a ""small number"" that have closed their campuses entirely. ""While I appreciate that a number of jurisdictions are moving towards this form of service delivery, I am asking schools to retain a physical classroom environment for the children of parents who may not have a choice of keeping children at home,"" Mr Tehan wrote. He said the students might be children of essential workers but added pupils should ""not be refused physical classroom access based on their parent's employment"". Under federal legislation, Mr Tehan has the authority to impose additional conditions on funding for private schools. He said he was using this power to include a condition starting from term two ""requiring schools to provide a physical classroom education environment for the children of parents who choose to access it"". Mr Tehan told reporters on Thursday he wanted schools to be open for safety reasons. ""We want them open so children can be safely cared for if their parents are working or if there are other reasons where children are much more safe at school rather than at home,"" he said. Independent Schools Victoria chief executive Michelle Green said private schools had been put in an ""impossible position"", caught between conflicting advice between state and federal authorities. She said the federal government's directive that independent schools remain open for the children of all parents who want it was in contrast to the Victorian government's advice that schools remain open for vulnerable children and children of essential workers. ""This has left teachers, parents and, ultimately, their students confused and frustrated at a time of extraordinary stress,"" Ms Green said. Victorian Education Minister James Merlino said he was working to ensure ""the same message, the same arrangements"" across all school systems. While the federal government has maintained the official medical advice is that schools should be open and children should attend, state governments have been taking different approaches. The NSW and Victorian government have been encouraging parents to keep their children at home. Sources said leaders were working to avoid significant dissonance between different jurisdictions so no students were disadvantaged. The priority remains consistent advice on term two before considering other issues with schools. Mr Tehan said on Thursday the NSW and Victorian positions reflected the greater spread of COVID-19 in the states. Those governments have also faced pressure from teachers' unions over the risk to staff, especially those in vulnerable demographics.  Mr Tehan said education ministers were looking at options to make school systems more flexible and open for some students. ""Is there an opportunity maybe to bring year 12 students back one day a week? Or would there be an opportunity for those doing vocational education at school to do some of their practical work at school? Or chemistry students – would they be able to come to school one or two afternoons a week to do the practical side of their chemistry?"" Victorian students are scheduled to return to school on April 14 under an online learning model. NSW students are due to return on April 27. Attendance, which plummeted in March, could rise after the holidays. Medical officials are looking at how to make schools safer, with bolstered hygiene and social distancing measures.  Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Fergus Hunter is an education and communications reporter for The Sydney Morning Herald and The Age. Sumeyya is a state political reporter for The Age. Copyright © 2020"," Fergus Hunter , Sumeyya Ilanbey ","April 9, 2020"
3,/politics/federal/dan-tehan-directs-private-schools-to-open-makes-it-a-condition-of-funding-20200409-p54imt.html,"Dan Tehan directs private schools to open, makes it a condition of funding","Private schools must open in term two for children who need supervision during the COVID-19 crisis, after Education Minister Dan Tehan issued a binding legal directive tied to their funding. Federal, state and territory leaders are still finalising what term two will look like across the country after the school holidays. Education ministers are weighing up options for a staggered shift towards more normal school operations, which could see year 12 students and those in more hands-on subjects returning to campuses for some sessions. Education Minister Dan Tehan has directed private schools to be open. Credit:Alex Ellinghausen The national cabinet meeting on Thursday discussed schools, focusing on a coherent approach after Easter holidays amid confusion among parents and teachers. Government sources said the leaders were working towards a more consistent national position on which children should be attending school, although no decisions have been made. While most private schools have been maintaining in-person supervision options for children of essential services workers in addition their rollout of distance learning, Mr Tehan has written to independent school peak bodies highlighting a ""small number"" that have closed their campuses entirely. ""While I appreciate that a number of jurisdictions are moving towards this form of service delivery, I am asking schools to retain a physical classroom environment for the children of parents who may not have a choice of keeping children at home,"" Mr Tehan wrote. He said the students might be children of essential workers but added pupils should ""not be refused physical classroom access based on their parent's employment"". Under federal legislation, Mr Tehan has the authority to impose additional conditions on funding for private schools. He said he was using this power to include a condition starting from term two ""requiring schools to provide a physical classroom education environment for the children of parents who choose to access it"". Mr Tehan told reporters on Thursday he wanted schools to be open for safety reasons. ""We want them open so children can be safely cared for if their parents are working or if there are other reasons where children are much more safe at school rather than at home,"" he said. Independent Schools Victoria chief executive Michelle Green said private schools had been put in an ""impossible position"", caught between conflicting advice between state and federal authorities. She said the federal government's directive that independent schools remain open for the children of all parents who want it was in contrast to the Victorian government's advice that schools remain open for vulnerable children and children of essential workers. ""This has left teachers, parents and, ultimately, their students confused and frustrated at a time of extraordinary stress,"" Ms Green said. Victorian Education Minister James Merlino said he was working to ensure ""the same message, the same arrangements"" across all school systems. While the federal government has maintained the official medical advice is that schools should be open and children should attend, state governments have been taking different approaches. The NSW and Victorian government have been encouraging parents to keep their children at home. Sources said leaders were working to avoid significant dissonance between different jurisdictions so no students were disadvantaged. The priority remains consistent advice on term two before considering other issues with schools. Mr Tehan said on Thursday the NSW and Victorian positions reflected the greater spread of COVID-19 in the states. Those governments have also faced pressure from teachers' unions over the risk to staff, especially those in vulnerable demographics.  Mr Tehan said education ministers were looking at options to make school systems more flexible and open for some students. ""Is there an opportunity maybe to bring year 12 students back one day a week? Or would there be an opportunity for those doing vocational education at school to do some of their practical work at school? Or chemistry students – would they be able to come to school one or two afternoons a week to do the practical side of their chemistry?"" Victorian students are scheduled to return to school on April 14 under an online learning model. NSW students are due to return on April 27. Attendance, which plummeted in March, could rise after the holidays. Medical officials are looking at how to make schools safer, with bolstered hygiene and social distancing measures.  Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Fergus Hunter is an education and communications reporter for The Sydney Morning Herald and The Age. Sumeyya is a state political reporter for The Age. Copyright © 2020"," Fergus Hunter , Sumeyya Ilanbey ","April 9, 2020"
4,/politics/federal/i-was-just-really-shocked-tenants-threatened-with-eviction-despite-proposed-moratorium-20200408-p54i8g.html,'I was just really shocked: Tenants threatened with eviction despite proposed moratorium,"Landlords are threatening to throw tenants and residents out of their businesses and homes despite national cabinet agreeing to a moratorium on evictions, as the states struggle to legislate protections in time. Bitter disputes have broken out across the sector as thousands of residents plan a rent strike and owners fear they will lose thousands of dollars in rent, with no government guarantees to ensure repayment when the economy comes out the other side of the coronavirus pandemic. Sydney business owner Kyara Coakes outside the warehouse for her property-styling business. Credit:James Brickwood Federal Housing Minister Michael Sukkar has called for at least a 50 per cent waiver of all rent for businesses in financial distress, warning they will be saddled with debt if they come out of hibernation without some of their rent dismissed altogether. But landlords say they are being forced to act as guarantors for businesses and would have no way of recouping deferred rent payments if their tenants went bankrupt during the crisis. On Tuesday morning, a neighbour alerted property stylist Kyara Coakes her landlord was out the front of her Chatswood business. Her rent was three days late. She had asked for a pause in her $7000-a-month repayments as her revenue dropped 90 per cent when house inspection after house inspection was cancelled. ""There are only two ways of resolving the issues – full payment [or] terminate the contract,"" her landlord had responded in an email. ""I was just really shocked,"" Ms Coakes said. ""She came to the property, threatening me and saying she would change the locks that afternoon."" The national cabinet announced a moratorium on evictions a week earlier but the states have yet to legislate on the issue, which means landlords are still within their rights to take action of the kind in Ms Coakes' situation. Government leaders have urged landlords and tenants to ""work it out between themselves"". On Tuesday, a mandatory code of conduct was formalised meaning landlords would be forced to waive and defer lease repayments in proportion to the loss of income experienced by a business, but this has also yet to be legislated. Replay   Ms Coakes' landlord, hospital software supplier Amy Luo, said her threats to evict Ms Coakes were part of her negotiating tactics. Ms Luo, who also owns property upstairs, said she had not actually changed the locks on Ms Coakes' business. She said the coronavirus had placed owners, tenants and businesses in an invidious position. ""Our government effectively asks all the small or large landlords to become the untitled banks for financing all the failed businesses,"" Ms Luo said. ""It's going to be such a mess. I have a bank loan. I have employees I need to pay. My business is also suffering. I don't share her profit. Why should I share her loss?"" Ms Luo said she had given Ms Coakes four days to come up with an alternative plan. ""I cannot offer any reduction in rent right now until I am clear with the government arrangements,"" she said. Landlords can apply to their banks for mortgage relief if they are experiencing financial distress but this will need to be paid back over the life of the loan. The Grattan Insitute's budget policy director, Danielle Wood, on Thursday said the government's rental response was ""half-baked"" and would mean many businesses did not make it through the coronavirus hibernation period without further government rental support. ""The code ultimately falls short on scale, scope, and speed,"" she said. In the residential sector, both NSW and Victoria have committed to the principle of land tax discounts in exchange for rental reductions but have not released any firm policies on how this would be delivered, leaving landlords and tenants frustrated as negotiations break down. Real estate agent Kirk Stafford said the industry was ""being besieged by tenant activists who are advising their cohort to simply strike and refuse to pay rent"". Tenants Victoria said it was hearing daily stories of ""no tolerance for people who fall behind in the rent"" even if they had lost their jobs because of coronavirus. Tracking research released on Thursday by Isentia showed since the first week of March, online conversations about paying the bills or rent had increased by 1033 per cent. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Eryk Bagshaw is an economics correspondent for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Eryk Bagshaw ,"April 9, 2020"
5,/politics/federal/i-was-just-really-shocked-tenants-threatened-with-eviction-despite-proposed-moratorium-20200408-p54i8g.html,'I was just really shocked: Tenants threatened with eviction despite proposed moratorium,"Landlords are threatening to throw tenants and residents out of their businesses and homes despite national cabinet agreeing to a moratorium on evictions, as the states struggle to legislate protections in time. Bitter disputes have broken out across the sector as thousands of residents plan a rent strike and owners fear they will lose thousands of dollars in rent, with no government guarantees to ensure repayment when the economy comes out the other side of the coronavirus pandemic. Sydney business owner Kyara Coakes outside the warehouse for her property-styling business. Credit:James Brickwood Federal Housing Minister Michael Sukkar has called for at least a 50 per cent waiver of all rent for businesses in financial distress, warning they will be saddled with debt if they come out of hibernation without some of their rent dismissed altogether. But landlords say they are being forced to act as guarantors for businesses and would have no way of recouping deferred rent payments if their tenants went bankrupt during the crisis. On Tuesday morning, a neighbour alerted property stylist Kyara Coakes her landlord was out the front of her Chatswood business. Her rent was three days late. She had asked for a pause in her $7000-a-month repayments as her revenue dropped 90 per cent when house inspection after house inspection was cancelled. ""There are only two ways of resolving the issues – full payment [or] terminate the contract,"" her landlord had responded in an email. ""I was just really shocked,"" Ms Coakes said. ""She came to the property, threatening me and saying she would change the locks that afternoon."" The national cabinet announced a moratorium on evictions a week earlier but the states have yet to legislate on the issue, which means landlords are still within their rights to take action of the kind in Ms Coakes' situation. Government leaders have urged landlords and tenants to ""work it out between themselves"". On Tuesday, a mandatory code of conduct was formalised meaning landlords would be forced to waive and defer lease repayments in proportion to the loss of income experienced by a business, but this has also yet to be legislated. Replay   Ms Coakes' landlord, hospital software supplier Amy Luo, said her threats to evict Ms Coakes were part of her negotiating tactics. Ms Luo, who also owns property upstairs, said she had not actually changed the locks on Ms Coakes' business. She said the coronavirus had placed owners, tenants and businesses in an invidious position. ""Our government effectively asks all the small or large landlords to become the untitled banks for financing all the failed businesses,"" Ms Luo said. ""It's going to be such a mess. I have a bank loan. I have employees I need to pay. My business is also suffering. I don't share her profit. Why should I share her loss?"" Ms Luo said she had given Ms Coakes four days to come up with an alternative plan. ""I cannot offer any reduction in rent right now until I am clear with the government arrangements,"" she said. Landlords can apply to their banks for mortgage relief if they are experiencing financial distress but this will need to be paid back over the life of the loan. The Grattan Insitute's budget policy director, Danielle Wood, on Thursday said the government's rental response was ""half-baked"" and would mean many businesses did not make it through the coronavirus hibernation period without further government rental support. ""The code ultimately falls short on scale, scope, and speed,"" she said. In the residential sector, both NSW and Victoria have committed to the principle of land tax discounts in exchange for rental reductions but have not released any firm policies on how this would be delivered, leaving landlords and tenants frustrated as negotiations break down. Real estate agent Kirk Stafford said the industry was ""being besieged by tenant activists who are advising their cohort to simply strike and refuse to pay rent"". Tenants Victoria said it was hearing daily stories of ""no tolerance for people who fall behind in the rent"" even if they had lost their jobs because of coronavirus. Tracking research released on Thursday by Isentia showed since the first week of March, online conversations about paying the bills or rent had increased by 1033 per cent. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Eryk Bagshaw is an economics correspondent for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Eryk Bagshaw ,"April 9, 2020"
6,/politics/federal/suitcases-of-cash-added-to-the-mountains-of-loo-paper-and-canned-goods-20200409-p54ikg.html,Suitcases of cash added to the mountains of loo paper and canned goods,"Australians did not just hoard loo paper and tinned tomatoes as the coronavirus pandemic spread through the country last month – they started stockpiling cash. The Reserve Bank of Australia, in its six-monthly review of the health of the financial system released on Thursday, noted some extraordinary behaviour by people at the nation's banks. Australians responded to the coronavirus pandemic by hoarding loo paper, tinned tomatoes and cash.Credit:Alamy As occurred during the depths of the global financial crisis, people raced into their banks to withdraw cash. Some people with large balances withdrew huge sums of money. ""This included a small number of customers making very large withdrawals (more than $100,000 and in some cases into the millions of dollars),"" the RBA noted. ""The Reserve Bank worked closely with the large banks and cash-in-transit companies to ensure branches had sufficient cash supplies. The elevated demand has since abated."" The RBA said the coronavirus outbreak had put pressure on the entire financial system but it was holding up well. ""The regulatory authorities have been working closely together to minimise the economic harm caused by the pandemic, to avoid the impairment of household and business balance sheets and to support financial market functioning,"" it said. ""These measures, along with the strong starting position of the banking system, increase the financial system's ability to absorb, rather than amplify, the effects of the pandemic."" The RBA noted the various closures aimed at stopping the spread of the coronavirus would hit the business sector, with credit quality across a range of loans likely to deteriorate. It said businesses had gone into the pandemic with solid balance sheets and a strong ability to service debts because of falling interest rates. ""However, the adverse shock to business conditions is already large and expected to grow substantially,"" it said. ""Fiscal and banking support will help businesses, but many will struggle. Revenues for many firms servicing the household sector – including those in the retail trade, food and accommodation services, and tourism industries – have dried up. ""Some firms have already closed, at least temporarily. Many have stood down workers."" Separate figures from the Australian Financial Security Authority, released on Thursday, show a lift in the number of personal insolvencies over the past week. In the week to the end of April 5, the authority recorded 1019 personal insolvency claims. This is 21 per cent higher than the weekly average. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Shane is a senior economics correspondent for The Age and The Sydney Morning Herald. Copyright © 2020", Shane Wright ,"April 9, 2020"
7,/politics/federal/suitcases-of-cash-added-to-the-mountains-of-loo-paper-and-canned-goods-20200409-p54ikg.html,Suitcases of cash added to the mountains of loo paper and canned goods,"Australians did not just hoard loo paper and tinned tomatoes as the coronavirus pandemic spread through the country last month – they started stockpiling cash. The Reserve Bank of Australia, in its six-monthly review of the health of the financial system released on Thursday, noted some extraordinary behaviour by people at the nation's banks. Australians responded to the coronavirus pandemic by hoarding loo paper, tinned tomatoes and cash.Credit:Alamy As occurred during the depths of the global financial crisis, people raced into their banks to withdraw cash. Some people with large balances withdrew huge sums of money. ""This included a small number of customers making very large withdrawals (more than $100,000 and in some cases into the millions of dollars),"" the RBA noted. ""The Reserve Bank worked closely with the large banks and cash-in-transit companies to ensure branches had sufficient cash supplies. The elevated demand has since abated."" The RBA said the coronavirus outbreak had put pressure on the entire financial system but it was holding up well. ""The regulatory authorities have been working closely together to minimise the economic harm caused by the pandemic, to avoid the impairment of household and business balance sheets and to support financial market functioning,"" it said. ""These measures, along with the strong starting position of the banking system, increase the financial system's ability to absorb, rather than amplify, the effects of the pandemic."" The RBA noted the various closures aimed at stopping the spread of the coronavirus would hit the business sector, with credit quality across a range of loans likely to deteriorate. It said businesses had gone into the pandemic with solid balance sheets and a strong ability to service debts because of falling interest rates. ""However, the adverse shock to business conditions is already large and expected to grow substantially,"" it said. ""Fiscal and banking support will help businesses, but many will struggle. Revenues for many firms servicing the household sector – including those in the retail trade, food and accommodation services, and tourism industries – have dried up. ""Some firms have already closed, at least temporarily. Many have stood down workers."" Separate figures from the Australian Financial Security Authority, released on Thursday, show a lift in the number of personal insolvencies over the past week. In the week to the end of April 5, the authority recorded 1019 personal insolvency claims. This is 21 per cent higher than the weekly average. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Shane is a senior economics correspondent for The Age and The Sydney Morning Herald. Copyright © 2020", Shane Wright ,"April 9, 2020"
8,/politics/federal/taylor-works-with-refiners-to-shore-up-local-fuel-supply-20200409-p54in5.html,Taylor works with refiners to shore up local fuel supply,"Federal Energy Minister Angus Taylor is working with beleaguered oil refineries to protect the nation's fuel security amid the coronavirus crisis but has assured motorists there is no immediate threat to supply. The nation's four remaining refineries are under pressure as profit margins collapse along with global fuel demand. Since the virus outbreak, petrol demand has fallen 50 per cent and jet fuel demand 70 per cent worldwide as airlines ground flights and people are urged to stay home. Caltex has brought forward a temporary shutdown of its Lytton refinery for maintenance work as the coronavirus puts pressure on profit margins. Credit:Dan Peled. Fuel giant Caltex cited cashflow problems and margin pressure when it announced on Monday it would temporarily shut its Lytton refinery in Brisbane from May for extended maintenance work, while Viva Energy on Thursday said it was deciding whether to proceed with a $100 million investment to prolong the life of its Geelong refinery. Mr Taylor said the federal government was working with the major petroleum refiners ""to better understand their current challenges and to guarantee the security of Australia's liquid fuel"". He stressed Australia had a ""highly reliable fuel supply"" and the decisions about the two refineries would ""not hinder our immediate fuel security"". ""Australian motorists can be assured there is a good supply of fuel products in the market at lower prices. There is no need to panic buy,"" he said. The pressure facing refineries and the potential for disruption to international ports and shipping from coronavirus restrictions have prompted calls from Labor and the national motorists' peak body for the government to consider measures to secure local refining capacity. Australia imports around 90 per cent of its fuel. A report last year by the federal Energy Department found while Australia's four refineries were ""expected to remain viable in the foreseeable future"", their continued viability ""depends on the investment strategy of individual companies"". Global demand for refined fuel was expected to peak in the 2030s and it was ""unlikely that new oil refineries in Australia would ever be economical"", the report said. NRMA spokesman Peter Khoury said it viewed disruption to domestic refining as a reason to reconsider government policy. ""We remain concerned that our refining capacity is falling in Australia; we don't want narrow margins to dictate when refineries are closed,"" he said. ""There's a great temptation to import refined product due to the economies of scale in Asian refineries and so on, but that has to be weighed up against the national interest. ""But I stress that to motorists today this means nothing. In fact, there are tankers backed up around the world due to oversupply."" Labor energy spokesman Mark Butler said fuel security was an ""extremely important issue"" for Australia and the government ""need to develop a clear plan that explains how Australia will safeguard and modernise its existing refining capacity, especially as refiners face the impacts of the current pandemic"". Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Business reporter for The Age and Sydney Morning Herald. Mike is the climate and energy correspondent for The Age and The Sydney Morning Herald. Copyright © 2020"," Nick Toscano , Mike Foley ","April 9, 2020"
9,/politics/federal/taylor-works-with-refiners-to-shore-up-local-fuel-supply-20200409-p54in5.html,Taylor works with refiners to shore up local fuel supply,"Federal Energy Minister Angus Taylor is working with beleaguered oil refineries to protect the nation's fuel security amid the coronavirus crisis but has assured motorists there is no immediate threat to supply. The nation's four remaining refineries are under pressure as profit margins collapse along with global fuel demand. Since the virus outbreak, petrol demand has fallen 50 per cent and jet fuel demand 70 per cent worldwide as airlines ground flights and people are urged to stay home. Caltex has brought forward a temporary shutdown of its Lytton refinery for maintenance work as the coronavirus puts pressure on profit margins. Credit:Dan Peled. Fuel giant Caltex cited cashflow problems and margin pressure when it announced on Monday it would temporarily shut its Lytton refinery in Brisbane from May for extended maintenance work, while Viva Energy on Thursday said it was deciding whether to proceed with a $100 million investment to prolong the life of its Geelong refinery. Mr Taylor said the federal government was working with the major petroleum refiners ""to better understand their current challenges and to guarantee the security of Australia's liquid fuel"". He stressed Australia had a ""highly reliable fuel supply"" and the decisions about the two refineries would ""not hinder our immediate fuel security"". ""Australian motorists can be assured there is a good supply of fuel products in the market at lower prices. There is no need to panic buy,"" he said. The pressure facing refineries and the potential for disruption to international ports and shipping from coronavirus restrictions have prompted calls from Labor and the national motorists' peak body for the government to consider measures to secure local refining capacity. Australia imports around 90 per cent of its fuel. A report last year by the federal Energy Department found while Australia's four refineries were ""expected to remain viable in the foreseeable future"", their continued viability ""depends on the investment strategy of individual companies"". Global demand for refined fuel was expected to peak in the 2030s and it was ""unlikely that new oil refineries in Australia would ever be economical"", the report said. NRMA spokesman Peter Khoury said it viewed disruption to domestic refining as a reason to reconsider government policy. ""We remain concerned that our refining capacity is falling in Australia; we don't want narrow margins to dictate when refineries are closed,"" he said. ""There's a great temptation to import refined product due to the economies of scale in Asian refineries and so on, but that has to be weighed up against the national interest. ""But I stress that to motorists today this means nothing. In fact, there are tankers backed up around the world due to oversupply."" Labor energy spokesman Mark Butler said fuel security was an ""extremely important issue"" for Australia and the government ""need to develop a clear plan that explains how Australia will safeguard and modernise its existing refining capacity, especially as refiners face the impacts of the current pandemic"". Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Business reporter for The Age and Sydney Morning Herald. Mike is the climate and energy correspondent for The Age and The Sydney Morning Herald. Copyright © 2020"," Nick Toscano , Mike Foley ","April 9, 2020"
