,link,header,article,author,date
0,/world/middle-east/coronavirus-threat-presents-ceasefire-chance-for-five-year-yemen-war-20200409-p54ily.html,Coronavirus threat presents ceasefire chance for five-year Yemen war,"Dubai: The Saudi-led coalition fighting Yemen's Iran-aligned Houthis says it is halting military operations in the country in support of UN efforts to end a five-year war that has killed over 100,000 people and spread hunger and disease. The move aims to facilitate talks sponsored by UN special envoy Martin Griffiths for a permanent ceasefire, and was decided in part to avoid a potential outbreak of the new coronavirus, though no cases have been reported so far, military coalition spokesman Colonel Turki al-Malki said. Medical staff set up a coronavirus quarantine ward at a hospital in Sanaa, Yemen.Credit:AP The ceasefire will go into effect at midday on Thursday, Yemen time, for two weeks and is open to extension, he said in a statement. The adversaries are expected to convene via video conference to discuss the proposal, which calls for halting all air, ground and naval hostilities. The announcement is the first major breakthrough since the United Nations convened the warring parties in late 2018 in Sweden, where they signed a ceasefire in the Red Sea port city of Hodeidah. But it is unclear if the armed Houthi movement will follow suit. Spokesman Mohammed Abdulsalam said they had sent the United Nations a comprehensive vision that includes an end to the war and to ""the blockade"" imposed on Yemen. Yemeni Shiite Houthis protest against US President Donald Trump in Sanaa, Yemen, in January. Credit:AP ""[Our proposal] will lay the foundations for a political dialogue and a transitional period,"" he tweeted on Wednesday. Hours after the coalition announcement, Yemen's information minister said the Houthis had targeted Hodeidah and the central city of Marib with missiles, while Houthi media said coalition strikes hit Hajja and Saada provinces. Last week, UN envoy Griffiths sent a proposal to the internationally-recognised government, the Saudi-led coalition that supports it, and the Houthis - who control the capital Sanaa and most of northern Yemen. Griffiths welcomed the ceasefire and called on warring parties to ""utilise this opportunity and cease immediately all hostilities with the utmost urgency, and make progress towards comprehensive and sustainable peace."" A senior Saudi official, speaking to reporters in Washington, said Riyadh hoped during the next two weeks that the US Security Council would help pressure the Houthis ""to stop the hostilities"", join the ceasefire ""and also to be serious in such engagement with the Yemeni government"". The UN and Western allies have pointed to the threat of the coronavirus to push Yemen’s combatants to agree to fresh talks to end a war that has left millions vulnerable to disease. The United States and Britain have provided the coalition with arms, intelligence and logistics support. Yemen had witnessed a lull in military action after Saudi Arabia and the Houthis began back-channel talks late last year. But a recent spike in violence, including ballistic missiles fired towards Riyadh last month and retaliatory coalition air strikes, threatens fragile peace deals in vital port cities. Yemen, already the Arab world's poorest country, has been mired in violence since the Houthis ousted the government from power in Sanaa in late 2014. The conflict, largely seen as a proxy war between Saudi Arabia and regional arch-foe Iran, has unleashed an urgent humanitarian crisis that has pushed millions to the verge of famine, forced millions more to seek shelter in displacement camps and sparked outbreaks of cholera and diphtheria. Saudi Vice-Defence Minister Prince Khalid bin Salman tweeted that the kingdom would contribute $US500 million ($800 million) to the UN humanitarian response plan for Yemen in 2020 and another $US25 million to help combat the spread of the coronavirus. The United Nations appealed for more than $US4 billion in 2019 for the humanitarian crisis and is expected to ask again for several billion dollars in 2020. Reuters Copyright © 2020"," Aziz al-Yaakoubi , Stephen Kalin ","April 9, 2020"
1,/world/middle-east/coronavirus-threat-presents-ceasefire-chance-for-five-year-yemen-war-20200409-p54ily.html,Coronavirus threat presents ceasefire chance for five-year Yemen war,"Dubai: The Saudi-led coalition fighting Yemen's Iran-aligned Houthis says it is halting military operations in the country in support of UN efforts to end a five-year war that has killed over 100,000 people and spread hunger and disease. The move aims to facilitate talks sponsored by UN special envoy Martin Griffiths for a permanent ceasefire, and was decided in part to avoid a potential outbreak of the new coronavirus, though no cases have been reported so far, military coalition spokesman Colonel Turki al-Malki said. Medical staff set up a coronavirus quarantine ward at a hospital in Sanaa, Yemen.Credit:AP The ceasefire will go into effect at midday on Thursday, Yemen time, for two weeks and is open to extension, he said in a statement. The adversaries are expected to convene via video conference to discuss the proposal, which calls for halting all air, ground and naval hostilities. The announcement is the first major breakthrough since the United Nations convened the warring parties in late 2018 in Sweden, where they signed a ceasefire in the Red Sea port city of Hodeidah. But it is unclear if the armed Houthi movement will follow suit. Spokesman Mohammed Abdulsalam said they had sent the United Nations a comprehensive vision that includes an end to the war and to ""the blockade"" imposed on Yemen. Yemeni Shiite Houthis protest against US President Donald Trump in Sanaa, Yemen, in January. Credit:AP ""[Our proposal] will lay the foundations for a political dialogue and a transitional period,"" he tweeted on Wednesday. Hours after the coalition announcement, Yemen's information minister said the Houthis had targeted Hodeidah and the central city of Marib with missiles, while Houthi media said coalition strikes hit Hajja and Saada provinces. Last week, UN envoy Griffiths sent a proposal to the internationally-recognised government, the Saudi-led coalition that supports it, and the Houthis - who control the capital Sanaa and most of northern Yemen. Griffiths welcomed the ceasefire and called on warring parties to ""utilise this opportunity and cease immediately all hostilities with the utmost urgency, and make progress towards comprehensive and sustainable peace."" A senior Saudi official, speaking to reporters in Washington, said Riyadh hoped during the next two weeks that the US Security Council would help pressure the Houthis ""to stop the hostilities"", join the ceasefire ""and also to be serious in such engagement with the Yemeni government"". The UN and Western allies have pointed to the threat of the coronavirus to push Yemen’s combatants to agree to fresh talks to end a war that has left millions vulnerable to disease. The United States and Britain have provided the coalition with arms, intelligence and logistics support. Yemen had witnessed a lull in military action after Saudi Arabia and the Houthis began back-channel talks late last year. But a recent spike in violence, including ballistic missiles fired towards Riyadh last month and retaliatory coalition air strikes, threatens fragile peace deals in vital port cities. Yemen, already the Arab world's poorest country, has been mired in violence since the Houthis ousted the government from power in Sanaa in late 2014. The conflict, largely seen as a proxy war between Saudi Arabia and regional arch-foe Iran, has unleashed an urgent humanitarian crisis that has pushed millions to the verge of famine, forced millions more to seek shelter in displacement camps and sparked outbreaks of cholera and diphtheria. Saudi Vice-Defence Minister Prince Khalid bin Salman tweeted that the kingdom would contribute $US500 million ($800 million) to the UN humanitarian response plan for Yemen in 2020 and another $US25 million to help combat the spread of the coronavirus. The United Nations appealed for more than $US4 billion in 2019 for the humanitarian crisis and is expected to ask again for several billion dollars in 2020. Reuters Copyright © 2020"," Aziz al-Yaakoubi , Stephen Kalin ","April 9, 2020"
2,/world/oceania/australia-and-nz-to-help-rebuild-islands-in-harold-s-destructive-path-20200409-p54iq6.html,Australia and NZ to help rebuild islands in Harold's destructive path,"Wellington: After devastating Vanuatu and lashing Fiji, tropical cyclone Harold has re-strengthened to a category five storm but avoided a direct hit with Tonga. Thousands of people were made homeless in Vanuatu after Harold made landfall at least twice as a category-five storm with winds of more than 235km/h. A destroyed building in Luganville, Vanuatu.Credit:AAP There are now reports of at least one death on Vanuatu's Malo island, and complete devastation on Ambae island. Cameraman Joseph Tom, who was one of the first to survey the hardest-hit northern islands, told Radio NZ everything was smashed to the ground. ""Fruit trees, coconuts. The rivers, all the mud is in the sea, you can hardly see the reefs. There's lots of damage,"" Tom said. Replay   The storm weakened to category four as it continued east to Fiji, still producing major destruction.   Harold appears to have made landfall on the southern island of Kadavu on Wednesday afternoon, but as was the case in Vanuatu, communication lines have been disrupted and there would be a wait for a reliable assessment of the aftermath. Fiji's main island of Viti Levu was lashed by major rainfall, producing flooding, and winds. The Australian and New Zealand Governments are supporting the impacted nations with damage assessments and immediate relief. Foreign Minister Marise Payne said she was conscious ""this comes on top of the impact and difficulties created by COVID-19 for those countries"". ""We stand ready to provide what further help we can to our Pacific family in whatever ways we can,"" she said. Her NZ counterpart Winston Peters said the Kiwi defence forces helping out would take every precaution to ensure they weren't bringing coronavirus to the Pacific. ""They'll be tested of course,"" he said. ""They've had to suspend their social distancing rules. They can't help each other in a crisis like this without acting much more physically adjacently. New Zealand has pledged $NZ2.5 million ($2.4 million) of support. Tonga issued a State of Emergency on Thursday, but was spared the worst as the re-strengthened cyclone stayed south. The storm has continued apace through the South Pacific since forming in the Solomon Islands, where it contributed to the deaths of 27 people in a ferry accident last week. The Associated Press reports a criminal investigation has been opened into the ferry deaths. Prime Minister Manasseh Sogavere has called it an ""unimaginable"" tragedy and questioned whether the overcrowded ferry should have been at sea. AAP Copyright © 2020", Ben McKay ,"April 9, 2020"
3,/world/oceania/australia-and-nz-to-help-rebuild-islands-in-harold-s-destructive-path-20200409-p54iq6.html,Australia and NZ to help rebuild islands in Harold's destructive path,"Wellington: After devastating Vanuatu and lashing Fiji, tropical cyclone Harold has re-strengthened to a category five storm but avoided a direct hit with Tonga. Thousands of people were made homeless in Vanuatu after Harold made landfall at least twice as a category-five storm with winds of more than 235km/h. A destroyed building in Luganville, Vanuatu.Credit:AAP There are now reports of at least one death on Vanuatu's Malo island, and complete devastation on Ambae island. Cameraman Joseph Tom, who was one of the first to survey the hardest-hit northern islands, told Radio NZ everything was smashed to the ground. ""Fruit trees, coconuts. The rivers, all the mud is in the sea, you can hardly see the reefs. There's lots of damage,"" Tom said. Replay   The storm weakened to category four as it continued east to Fiji, still producing major destruction.   Harold appears to have made landfall on the southern island of Kadavu on Wednesday afternoon, but as was the case in Vanuatu, communication lines have been disrupted and there would be a wait for a reliable assessment of the aftermath. Fiji's main island of Viti Levu was lashed by major rainfall, producing flooding, and winds. The Australian and New Zealand Governments are supporting the impacted nations with damage assessments and immediate relief. Foreign Minister Marise Payne said she was conscious ""this comes on top of the impact and difficulties created by COVID-19 for those countries"". ""We stand ready to provide what further help we can to our Pacific family in whatever ways we can,"" she said. Her NZ counterpart Winston Peters said the Kiwi defence forces helping out would take every precaution to ensure they weren't bringing coronavirus to the Pacific. ""They'll be tested of course,"" he said. ""They've had to suspend their social distancing rules. They can't help each other in a crisis like this without acting much more physically adjacently. New Zealand has pledged $NZ2.5 million ($2.4 million) of support. Tonga issued a State of Emergency on Thursday, but was spared the worst as the re-strengthened cyclone stayed south. The storm has continued apace through the South Pacific since forming in the Solomon Islands, where it contributed to the deaths of 27 people in a ferry accident last week. The Associated Press reports a criminal investigation has been opened into the ferry deaths. Prime Minister Manasseh Sogavere has called it an ""unimaginable"" tragedy and questioned whether the overcrowded ferry should have been at sea. AAP Copyright © 2020", Ben McKay ,"April 9, 2020"
4,/world/asia/100-taliban-prisoners-released-in-attempt-to-revive-peace-plan-20200409-p54ipd.html,100 Taliban prisoners released in attempt to revive peace plan,"Kabul: The Afghan government has freed 100 Taliban prisoners as a first step in a peace process with the hardline Islamists, despite the group earlier walking out of talks on a planned prisoner exchange crucial to moving to a plan to end years of war. Jailed Taliban members are seen inside the Pul-e-Charkhi jail in Kabul, Afghanistan late last year. Credit:AP  Differences over the prisoner release question have been complicating US brokered attempts to create a lasting peace agreement to end more than 18 years of conflict in Afghanistan. The plan called for up to 5000 Taliban prisoners to be swapped for 1000 members of the Afghan security forces and government employees in Taliban custody. ""The government of the Islamic Republic of Afghanistan released 100 Taliban prisoners today based on their health condition, age and length of remaining sentence, as part of our efforts for peace,"" said Javid Faisal, a spokesman for the Afghan National Security Council, which has been negotiating with the Taliban. A February pact between the United States and the Taliban, under which US-led international forces would withdraw in phases in exchange for Taliban security guarantees, is the best chance to reduce US military involvement in Afghanistan. But peace hinges on talks between the US-backed Afghan government and the militants. A prisoner exchange is meant to build confidence on both sides for those talks. Despite this week's setbacks over the prisoner releases, US Secretary of State Mike Pompeo on Tuesday said progress had been made since he visited Kabul on March 23 and also met Taliban officials in Qatar to iron out the differences. Reuters Copyright © 2020", ,"April 9, 2020"
5,/world/asia/100-taliban-prisoners-released-in-attempt-to-revive-peace-plan-20200409-p54ipd.html,100 Taliban prisoners released in attempt to revive peace plan,"Kabul: The Afghan government has freed 100 Taliban prisoners as a first step in a peace process with the hardline Islamists, despite the group earlier walking out of talks on a planned prisoner exchange crucial to moving to a plan to end years of war. Jailed Taliban members are seen inside the Pul-e-Charkhi jail in Kabul, Afghanistan late last year. Credit:AP  Differences over the prisoner release question have been complicating US brokered attempts to create a lasting peace agreement to end more than 18 years of conflict in Afghanistan. The plan called for up to 5000 Taliban prisoners to be swapped for 1000 members of the Afghan security forces and government employees in Taliban custody. ""The government of the Islamic Republic of Afghanistan released 100 Taliban prisoners today based on their health condition, age and length of remaining sentence, as part of our efforts for peace,"" said Javid Faisal, a spokesman for the Afghan National Security Council, which has been negotiating with the Taliban. A February pact between the United States and the Taliban, under which US-led international forces would withdraw in phases in exchange for Taliban security guarantees, is the best chance to reduce US military involvement in Afghanistan. But peace hinges on talks between the US-backed Afghan government and the militants. A prisoner exchange is meant to build confidence on both sides for those talks. Despite this week's setbacks over the prisoner releases, US Secretary of State Mike Pompeo on Tuesday said progress had been made since he visited Kabul on March 23 and also met Taliban officials in Qatar to iron out the differences. Reuters Copyright © 2020", ,"April 9, 2020"
6,/world/north-america/bernie-sanders-ends-his-2020-democratic-presidential-campaign-20200409-p54ifh.html,Bernie Sanders ends his 2020 Democratic presidential campaign,"Washington: Bernie Sanders, who once appeared on the verge of seizing the Democratic Party's presidential nomination, has officially dropped out of the race and declared that former vice-president Joe Biden will be the party's nominee in November. While acknowledging that he would not secure enough delegates to win the party's nomination, Sanders said his progressive movement was winning the ideological and generational fight within the Democratic Party. Replay   In a live-streamed address to supporters, Sanders said it was a ""difficult and painful"" decision to suspend his campaign, but that Biden's substantial delegate lead and the coronavirus pandemic had forced his hand. ""I wish I could give you better news but I think you know the truth and that is that we're now some 300 delegates behind vice-president Biden and the path to victory is virtually impossible,"" Sanders said on Wednesday (Thursday AEST). ""I cannot in good conscience continue to mount a campaign I cannot win and which would interfere with the important work required of all of us in this difficult hour."" He continued: ""If I believed we had a feasible path to the nomination, I would certainly continue the campaign. But it's just not there."" Sanders said he and his supporters had moved ideas recently considered ""radical and fringe"" - such as a universal healthcare system provided by the federal government - to the centre of US political debate. Sanders' withdrawal will pave the way for high-profile Democrats such as former president Barack Obama to endorse Biden, who staged a remarkable comeback after disastrous early performances in Iowa and New Hampshire. The withdrawal by Bernie Sanders, right, means former vice-president Joe Biden, left, will be the Democratic Party's presidential nominee in November. Credit:AP In a statement, Biden praised Sanders for energising young voters and for popularising ideas such as a $US15 ($24) minimum wage and free public college. ""Bernie has done something rare in politics,"" Biden said. ""He hasn’t just run a political campaign; he’s created a movement. And make no mistake about it, I believe it’s a movement that is as powerful today as it was yesterday."" As recently as late February, Sanders appeared the most likely Democratic candidate to secure the party's nomination. He had won the most votes in the Iowa caucuses and the New Hampshire primary, before crushing his competition in the Nevada caucuses. His campaign rallies drew the biggest crowds and his online fundraising abilities were unmatched. Replay   But Biden revived his flagging campaign with a resounding victory in South Carolina, where African Americans form the dominant voting bloc. Two other leading moderates in the contest - former South Bend, Indiana, mayor Pete Buttigieg and Minnesota Senator Amy Klobuchar - swiftly dropped out of the race and endorsed Biden. The former vice-president then put in a formidable performance in the vital ""Super Tuesday"" contests and continued claiming victory in subsequent primaries. One of Biden's next jobs will be to decide who to pick as a running mate for vice-president. He has indicated that person will be a woman, but there are several potential candidates, among them three senators: California's Kamala Harris, who sparred with him in a debate, is seen by many as a logical choice;  Amy Klobuchar, who dropped out of the presidential nomination race to allow Biden to win in her state of Minnesota, and Elizabeth Warren from Massachusetts who overlaps with Sanders on many policies and could help Biden retain some Sanders' supporters. After Sanders' announcement, Trump almost immediately tried to stir up animosity among progressives, tweeting: ""This ended just like the Democrats & the DNC wanted, same as the Crooked Hillary fiasco. The Bernie people should come to the Republican Party, TRADE!"" Matthew Knott is North America correspondent for The Sydney Morning Herald and The Age. Copyright © 2020", Matthew Knott ,"April 9, 2020"
7,/world/north-america/bernie-sanders-ends-his-2020-democratic-presidential-campaign-20200409-p54ifh.html,Bernie Sanders ends his 2020 Democratic presidential campaign,"Washington: Bernie Sanders, who once appeared on the verge of seizing the Democratic Party's presidential nomination, has officially dropped out of the race and declared that former vice-president Joe Biden will be the party's nominee in November. While acknowledging that he would not secure enough delegates to win the party's nomination, Sanders said his progressive movement was winning the ideological and generational fight within the Democratic Party. Replay   In a live-streamed address to supporters, Sanders said it was a ""difficult and painful"" decision to suspend his campaign, but that Biden's substantial delegate lead and the coronavirus pandemic had forced his hand. ""I wish I could give you better news but I think you know the truth and that is that we're now some 300 delegates behind vice-president Biden and the path to victory is virtually impossible,"" Sanders said on Wednesday (Thursday AEST). ""I cannot in good conscience continue to mount a campaign I cannot win and which would interfere with the important work required of all of us in this difficult hour."" He continued: ""If I believed we had a feasible path to the nomination, I would certainly continue the campaign. But it's just not there."" Sanders said he and his supporters had moved ideas recently considered ""radical and fringe"" - such as a universal healthcare system provided by the federal government - to the centre of US political debate. Sanders' withdrawal will pave the way for high-profile Democrats such as former president Barack Obama to endorse Biden, who staged a remarkable comeback after disastrous early performances in Iowa and New Hampshire. The withdrawal by Bernie Sanders, right, means former vice-president Joe Biden, left, will be the Democratic Party's presidential nominee in November. Credit:AP In a statement, Biden praised Sanders for energising young voters and for popularising ideas such as a $US15 ($24) minimum wage and free public college. ""Bernie has done something rare in politics,"" Biden said. ""He hasn’t just run a political campaign; he’s created a movement. And make no mistake about it, I believe it’s a movement that is as powerful today as it was yesterday."" As recently as late February, Sanders appeared the most likely Democratic candidate to secure the party's nomination. He had won the most votes in the Iowa caucuses and the New Hampshire primary, before crushing his competition in the Nevada caucuses. His campaign rallies drew the biggest crowds and his online fundraising abilities were unmatched. Replay   But Biden revived his flagging campaign with a resounding victory in South Carolina, where African Americans form the dominant voting bloc. Two other leading moderates in the contest - former South Bend, Indiana, mayor Pete Buttigieg and Minnesota Senator Amy Klobuchar - swiftly dropped out of the race and endorsed Biden. The former vice-president then put in a formidable performance in the vital ""Super Tuesday"" contests and continued claiming victory in subsequent primaries. One of Biden's next jobs will be to decide who to pick as a running mate for vice-president. He has indicated that person will be a woman, but there are several potential candidates, among them three senators: California's Kamala Harris, who sparred with him in a debate, is seen by many as a logical choice;  Amy Klobuchar, who dropped out of the presidential nomination race to allow Biden to win in her state of Minnesota, and Elizabeth Warren from Massachusetts who overlaps with Sanders on many policies and could help Biden retain some Sanders' supporters. After Sanders' announcement, Trump almost immediately tried to stir up animosity among progressives, tweeting: ""This ended just like the Democrats & the DNC wanted, same as the Crooked Hillary fiasco. The Bernie people should come to the Republican Party, TRADE!"" Matthew Knott is North America correspondent for The Sydney Morning Herald and The Age. Copyright © 2020", Matthew Knott ,"April 9, 2020"
8,/world/asia/trump-is-not-alone-in-criticising-the-who-over-coronavirus-here-s-why-20200409-p54igu.html,Trump is not alone in criticising the WHO over coronavirus. Here's why,"Washington: US President Donald Trump unleashed a tirade against the World Health Organisation on Tuesday, accusing it of acting too slowly to sound the alarm about the coronavirus. It was not the first time in this pandemic that the global health body has faced such criticism. Tedros Adhanom Ghebreyesus, the director general of the World Health Organisation.Credit:Bloomberg Government officials, health experts and analysts have in recent weeks raised concerns about how the organisation has responded to the outbreak. In Japan, Taro Aso, the deputy prime minister and finance minister, recently noted that some people have started referring to the World Health Organisation as the ""Chinese Health Organisation"" because of what he described as its close ties to Beijing. Taiwanese officials say the WHO ignored its early warnings about the virus because China refuses to allow Taiwan, a self-governing island it claims as its territory, to become a member. Critics say the WHO has been too trusting of the Chinese government, which initially tried to conceal the outbreak in Wuhan. Others have faulted the organisation and its leader, Dr Tedros Adhanom Ghebreyesus, for moving too slowly in declaring a global health emergency. The WHO, a UN agency, has defended its response, saying on Wednesday that it alerted the world to the threat posed by the virus in a timely manner and that it was ""committed to ensuring all member states are able to respond effectively to this pandemic"". The agency's defenders say that its powers over any individual government are limited, and that it has done the best it can in dealing with a public health threat with few precedents in history. There will be time later to assess successes and failings, ""this virus and its shattering consequences,"" the United Nations Secretary-General Antonio Guterres said on Wednesday in a statement praising the WHO as ""absolutely critical"" to vanquishing COVID-19. Here's why the WHO is coming under attack. Replay   When cases of a mysterious viral pneumonia first appeared in Wuhan in December, Chinese health officials silenced whistleblowers and repeatedly played down the severity of the outbreak. Even as late as mid-January, as the virus spread beyond China's borders, Chinese officials described it as ""preventable and controllable"" and said there was no evidence it could be transmitted between humans on a broad scale. The WHO endorsed the government's claims, saying in mid-January, for example, that human-to-human transmission had not been proven. Critics say the organisation's repeated deference to Beijing exacerbated the spread of the disease. A group of international experts was not allowed to visit Wuhan until mid-February. ""They could have been more forceful, especially in the initial stages in the crisis when there was a cover-up and there was inaction,"" said Yanzhong Huang, a global health expert specialising in China at Seton Hall University. Chinese health officials in protective suits process Wuhan travellers going into 14-day quarantine on arrival in Beijing on Wednesday.Credit:Getty Images Huang noted that during the SARS epidemic in 2002 and 2003, which killed less than 800 people worldwide, the WHO pushed the Chinese government to be more transparent by publicly criticising it for trying to conceal the outbreak. At one point during the SARS epidemic, officials at hospitals in Beijing forced SARS patients into ambulances and drove them around to avoid their being seen by a visiting delegation of WHO experts, according to reports at the time. Even as the virus spread to more than half a dozen countries and forced China to place parts of Hubei province under lockdown in late January, the WHO was reluctant to declare it a global health emergency. WHO officials said at the time that a committee that discussed the epidemic was divided on whether to call it an emergency but concluded that it was too early. One official added that they weighed the impact such a declaration might have on the people of China. After the United States announced a ban on most foreign citizens who had recently visited China, the WHO again seemed to show deference to Chinese officials, saying that travel restrictions were unnecessary. The group officially called the spread of the coronavirus a pandemic on March 11. Some experts argue that the institution's delay in making such declarations deprived other countries of valuable time to prepare hospitals for an influx of patients. ""It reinforced the reluctance to take early strong measures before the catastrophe had actually landed on other shores,"" said François Godement, senior adviser for Asia at Institut Montaigne, a non-profit group in Paris. ""The WHO's tardiness or reluctance to call out the problem in full helped those who wanted to delay difficult decisions."" The WHO defended its actions, saying on Wednesday that it had ""alerted member states to the significant risks and consequences of COVID-19 and provided them with a continuous flow of information"" ever since Chinese officials first reported the outbreak on December 31. Guterres said, ""It is possible that the same facts have had different readings by different entities. ""Once we have finally turned the page on this epidemic, there must be a time to look back fully to understand how such a disease emerged and spread its devastation so quickly across the globe and how all those involved reacted to the crisis."" President Donald Trump said the WHO is ""very China-centric"".Credit:AP Chinese President Xi Jinping has made it a priority to strengthen Beijing's clout at international institutions, including the WHO, seeing the US-dominated global order as an impediment to his country's rise as a superpower. China contributes only a small fraction of the WHO's $US6 billion ($9.6 billion) budget, while the United States is one of its main benefactors. But in recent years, Beijing has worked in other ways to expand its influence at the organisation. It has lobbied the WHO to promote traditional Chinese medicine, which Xi has worked to harness as a source of national pride and deployed as a soft-power tool in developing countries, despite scepticism from some scientists about its effectiveness. Last year, the WHO offered an endorsement of traditional Chinese medicine, including it in its influential medical compendium. The move was roundly criticised by animal welfare activists, who argued that it could contribute to a surge in illegal trafficking of wildlife whose parts are used in Chinese remedies. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. China has sought to promote traditional Chinese medicine in the treatment of symptoms of the coronavirus both at home and abroad. Last month, the WHO was criticised after it removed a warning against taking traditional herbal remedies to treat the coronavirus from its websites in mainland China. China's role at the WHO will probably continue to grow in the coming years, especially if Western governments retreat from the organisation, as Trump has threatened. ""This is part of China's efforts to more actively engage in international institutions,"" said Huang, the global health expert. ""It will not please every country or every actor, but it's going to affect the agenda of the WHO."" The New York Times Copyright © 2020", Javier C. Hernández ,"April 9, 2020"
9,/world/asia/trump-is-not-alone-in-criticising-the-who-over-coronavirus-here-s-why-20200409-p54igu.html,Trump is not alone in criticising the WHO over coronavirus. Here's why,"Washington: US President Donald Trump unleashed a tirade against the World Health Organisation on Tuesday, accusing it of acting too slowly to sound the alarm about the coronavirus. It was not the first time in this pandemic that the global health body has faced such criticism. Tedros Adhanom Ghebreyesus, the director general of the World Health Organisation.Credit:Bloomberg Government officials, health experts and analysts have in recent weeks raised concerns about how the organisation has responded to the outbreak. In Japan, Taro Aso, the deputy prime minister and finance minister, recently noted that some people have started referring to the World Health Organisation as the ""Chinese Health Organisation"" because of what he described as its close ties to Beijing. Taiwanese officials say the WHO ignored its early warnings about the virus because China refuses to allow Taiwan, a self-governing island it claims as its territory, to become a member. Critics say the WHO has been too trusting of the Chinese government, which initially tried to conceal the outbreak in Wuhan. Others have faulted the organisation and its leader, Dr Tedros Adhanom Ghebreyesus, for moving too slowly in declaring a global health emergency. The WHO, a UN agency, has defended its response, saying on Wednesday that it alerted the world to the threat posed by the virus in a timely manner and that it was ""committed to ensuring all member states are able to respond effectively to this pandemic"". The agency's defenders say that its powers over any individual government are limited, and that it has done the best it can in dealing with a public health threat with few precedents in history. There will be time later to assess successes and failings, ""this virus and its shattering consequences,"" the United Nations Secretary-General Antonio Guterres said on Wednesday in a statement praising the WHO as ""absolutely critical"" to vanquishing COVID-19. Here's why the WHO is coming under attack. Replay   When cases of a mysterious viral pneumonia first appeared in Wuhan in December, Chinese health officials silenced whistleblowers and repeatedly played down the severity of the outbreak. Even as late as mid-January, as the virus spread beyond China's borders, Chinese officials described it as ""preventable and controllable"" and said there was no evidence it could be transmitted between humans on a broad scale. The WHO endorsed the government's claims, saying in mid-January, for example, that human-to-human transmission had not been proven. Critics say the organisation's repeated deference to Beijing exacerbated the spread of the disease. A group of international experts was not allowed to visit Wuhan until mid-February. ""They could have been more forceful, especially in the initial stages in the crisis when there was a cover-up and there was inaction,"" said Yanzhong Huang, a global health expert specialising in China at Seton Hall University. Chinese health officials in protective suits process Wuhan travellers going into 14-day quarantine on arrival in Beijing on Wednesday.Credit:Getty Images Huang noted that during the SARS epidemic in 2002 and 2003, which killed less than 800 people worldwide, the WHO pushed the Chinese government to be more transparent by publicly criticising it for trying to conceal the outbreak. At one point during the SARS epidemic, officials at hospitals in Beijing forced SARS patients into ambulances and drove them around to avoid their being seen by a visiting delegation of WHO experts, according to reports at the time. Even as the virus spread to more than half a dozen countries and forced China to place parts of Hubei province under lockdown in late January, the WHO was reluctant to declare it a global health emergency. WHO officials said at the time that a committee that discussed the epidemic was divided on whether to call it an emergency but concluded that it was too early. One official added that they weighed the impact such a declaration might have on the people of China. After the United States announced a ban on most foreign citizens who had recently visited China, the WHO again seemed to show deference to Chinese officials, saying that travel restrictions were unnecessary. The group officially called the spread of the coronavirus a pandemic on March 11. Some experts argue that the institution's delay in making such declarations deprived other countries of valuable time to prepare hospitals for an influx of patients. ""It reinforced the reluctance to take early strong measures before the catastrophe had actually landed on other shores,"" said François Godement, senior adviser for Asia at Institut Montaigne, a non-profit group in Paris. ""The WHO's tardiness or reluctance to call out the problem in full helped those who wanted to delay difficult decisions."" The WHO defended its actions, saying on Wednesday that it had ""alerted member states to the significant risks and consequences of COVID-19 and provided them with a continuous flow of information"" ever since Chinese officials first reported the outbreak on December 31. Guterres said, ""It is possible that the same facts have had different readings by different entities. ""Once we have finally turned the page on this epidemic, there must be a time to look back fully to understand how such a disease emerged and spread its devastation so quickly across the globe and how all those involved reacted to the crisis."" President Donald Trump said the WHO is ""very China-centric"".Credit:AP Chinese President Xi Jinping has made it a priority to strengthen Beijing's clout at international institutions, including the WHO, seeing the US-dominated global order as an impediment to his country's rise as a superpower. China contributes only a small fraction of the WHO's $US6 billion ($9.6 billion) budget, while the United States is one of its main benefactors. But in recent years, Beijing has worked in other ways to expand its influence at the organisation. It has lobbied the WHO to promote traditional Chinese medicine, which Xi has worked to harness as a source of national pride and deployed as a soft-power tool in developing countries, despite scepticism from some scientists about its effectiveness. Last year, the WHO offered an endorsement of traditional Chinese medicine, including it in its influential medical compendium. The move was roundly criticised by animal welfare activists, who argued that it could contribute to a surge in illegal trafficking of wildlife whose parts are used in Chinese remedies. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. China has sought to promote traditional Chinese medicine in the treatment of symptoms of the coronavirus both at home and abroad. Last month, the WHO was criticised after it removed a warning against taking traditional herbal remedies to treat the coronavirus from its websites in mainland China. China's role at the WHO will probably continue to grow in the coming years, especially if Western governments retreat from the organisation, as Trump has threatened. ""This is part of China's efforts to more actively engage in international institutions,"" said Huang, the global health expert. ""It will not please every country or every actor, but it's going to affect the agenda of the WHO."" The New York Times Copyright © 2020", Javier C. Hernández ,"April 9, 2020"
